angolo,distanza,x,y
0.95,60.84,60.83,1.01
1.90,35.87,35.85,1.19
2.86,35.89,35.84,1.79
3.81,35.89,35.81,2.38
4.76,35.89,35.76,2.98
5.71,35.89,35.71,3.57
6.67,35.89,35.64,4.17
7.62,35.87,35.55,4.76
8.57,36.81,36.39,5.49
9.52,36.79,36.28,6.09
10.48,60.69,59.68,11.04
11.43,61.25,60.04,12.14
12.38,61.27,59.84,13.14
13.33,61.25,59.60,14.13
14.29,35.65,34.55,8.80
15.24,36.11,34.84,9.49
16.19,36.57,35.12,10.20
17.14,61.25,58.53,18.05
18.10,61.25,58.22,19.02
19.05,61.13,57.78,19.95
20.00,61.27,57.57,20.95
20.95,61.68,57.60,22.05
21.90,61.68,57.22,23.01
22.86,61.83,56.97,24.02
23.81,64.19,58.73,25.91
24.76,64.18,58.27,26.88
25.71,63.92,57.59,27.73
26.67,63.90,57.11,28.68
27.62,63.68,56.43,29.52
28.57,64.18,56.36,30.69
29.52,64.18,55.84,31.62
30.48,64.60,55.67,32.76
31.43,65.43,55.83,34.12
32.38,62.80,53.03,33.63
33.33,62.51,52.23,34.35
34.29,63.07,52.11,35.53
35.24,62.80,51.29,36.23
36.19,62.37,50.34,36.83
37.14,63.21,50.38,38.16
38.10,63.21,49.74,39.00
39.05,63.21,49.09,39.82
40.00,62.78,48.09,40.35
40.95,63.29,47.80,41.48
41.90,62.78,46.73,41.93
42.86,62.80,46.03,42.71
43.81,63.34,45.71,43.85
44.76,63.07,44.78,44.41
45.71,63.49,44.33,45.45
46.67,63.49,43.57,46.18
47.62,63.92,43.09,47.22
48.57,64.04,42.37,48.02
49.52,63.22,41.04,48.09
50.48,63.63,40.49,49.08
51.43,63.63,39.67,49.75
52.38,65.04,39.70,51.52
53.33,64.19,38.33,51.49
54.29,64.33,37.55,52.23
55.24,64.89,37.00,53.31
56.19,68.08,37.88,56.57
57.14,67.81,36.79,56.96
58.10,66.69,35.25,56.62
59.05,66.56,34.23,57.08
60.00,67.81,33.91,58.73
60.95,67.83,32.93,59.30
61.90,82.57,38.88,72.84
62.86,82.13,37.47,73.08
63.81,82.94,36.61,74.43
64.76,98.24,41.89,88.87
65.71,75.82,31.18,69.11
66.67,73.80,29.23,67.76
67.62,73.80,28.10,68.24
68.57,73.80,26.96,68.70
69.52,97.73,34.19,91.56
70.48,84.08,28.10,79.25
71.43,83.20,26.50,78.87
72.38,82.74,25.04,78.86
73.33,97.63,28.00,93.53
74.29,98.16,26.59,94.49
75.24,81.68,20.81,78.99
76.19,81.24,19.39,78.89
77.14,81.24,18.08,79.21
78.10,81.58,16.83,79.83
79.05,81.86,15.55,80.36
80.00,81.41,14.14,80.18
80.95,81.41,12.80,80.40
81.90,80.95,11.40,80.15
82.86,81.41,10.12,80.78
83.81,81.41,8.78,80.94
84.76,80.97,7.39,80.63
85.71,80.95,6.05,80.73
86.67,80.51,4.68,80.38
87.62,80.89,3.36,80.82
88.57,80.00,1.99,79.98
89.52,79.56,0.66,79.56
90.48,81.23,-0.68,81.22
91.43,81.58,-2.03,81.56
92.38,82.04,-3.41,81.97
93.33,83.79,-4.87,83.65
94.29,83.81,-6.26,83.58
95.24,82.48,-7.53,82.14
96.19,78.68,-8.48,78.22
97.14,77.71,-9.66,77.10
98.10,76.98,-10.84,76.21
99.05,77.23,-12.14,76.27
100.00,77.26,-13.42,76.09
100.95,77.25,-14.68,75.84
101.90,77.33,-15.95,75.67
102.86,78.66,-17.50,76.69
