s,distanza
0.07,278.53
0.15,279.02
0.22,277.71
0.30,276.20
0.37,275.32
0.45,273.55
0.52,271.58
0.60,269.84
0.67,268.58
0.75,266.76
0.82,265.73
0.90,264.77
0.97,264.16
1.04,263.14
1.12,152.88
1.19,261.00
1.27,258.83
1.34,256.94
1.42,255.36
1.49,253.03
1.57,251.23
1.64,249.56
1.72,248.20
1.79,245.97
1.87,244.21
1.94,242.32
2.01,240.65
2.09,239.79
2.16,207.94
2.24,237.30
2.31,235.74
2.39,235.21
2.46,234.23
2.54,-1.00
2.61,231.40
2.69,228.40
2.76,-1.00
2.84,-1.00
2.91,-1.00
2.99,-1.00
3.06,-1.00
3.13,611.25
3.21,-1.00
3.28,-1.00
3.36,499.87
3.43,-1.00
3.51,-1.00
3.58,-1.00
3.66,-1.00
3.73,486.88
3.81,-1.00
3.88,-1.00
3.96,-1.00
4.03,-1.00
4.10,476.29
4.18,474.05
4.25,472.38
4.33,469.69
4.40,56.41
4.48,56.00
4.55,465.71
4.63,464.25
4.70,461.75
4.78,460.55
4.85,456.42
4.93,-1.00
5.00,452.80
5.07,508.54
5.15,445.77
5.22,118.18
5.30,441.80
5.37,439.84
5.45,437.07
5.52,436.03
5.60,433.62
5.67,430.75
5.75,428.72
5.82,427.46
5.90,425.37
5.97,423.49
6.04,420.38
6.12,418.27
6.19,415.45
6.27,60.47
6.34,413.49
6.42,212.76
6.49,408.42
6.57,208.40
6.64,204.82
6.72,201.99
6.79,202.06
6.87,399.08
6.94,200.75
7.01,396.64
7.09,198.17
7.16,196.55
7.24,194.51
7.31,192.39
7.39,189.91
7.46,188.67
7.54,187.05
7.61,185.61
7.69,184.84
7.76,183.33
7.84,183.23
7.91,376.98
7.99,375.36
8.06,372.71
8.13,370.26
8.21,368.03
8.28,365.47
8.36,363.34
8.43,360.88
8.51,358.60
8.58,356.93
8.66,354.74
8.73,353.09
8.81,351.10
8.88,156.04
8.96,154.87
9.03,152.68
9.10,149.72
9.18,149.18
9.25,148.31
9.33,147.32
9.40,146.00
9.48,144.14
9.55,332.13
9.63,330.34
9.70,327.85
9.78,325.86
9.85,324.12
9.93,321.95
10.00,319.67
10.07,317.46
10.15,315.30
10.22,313.05
10.30,311.17
10.37,308.79
10.45,306.73
10.52,304.71
10.60,302.07
10.67,300.29
10.75,298.25
10.82,296.48
10.90,240.80
10.97,293.44
11.04,292.20
11.12,290.87
11.19,288.64
11.27,286.88
11.34,285.01
11.42,283.29
11.49,281.38
11.57,279.28
11.64,276.54
11.72,274.24
11.79,271.97
11.87,270.16
11.94,268.46
12.01,266.03
12.09,264.10
12.16,58.21
12.24,258.94
12.31,256.38
12.39,253.90
12.46,251.58
12.54,249.36
12.61,247.13
12.69,245.00
12.76,242.86
12.84,240.72
12.91,238.41
12.99,236.27
13.06,213.64
13.13,231.59
13.21,229.24
13.28,227.24
13.36,225.30
13.43,223.41
13.51,221.29
13.58,219.23
13.66,215.90
13.73,213.91
13.81,211.68
13.88,209.97
13.96,207.89
14.03,196.40
14.10,203.42
14.18,201.55
14.25,199.00
14.33,196.50
14.40,193.87
14.48,191.61
14.55,189.38
14.63,187.44
14.70,185.20
14.78,182.70
14.85,180.56
14.93,178.77
15.00,176.51
15.07,174.69
15.15,155.60
15.22,154.09
15.30,56.00
15.37,149.82
15.45,147.76
15.52,146.61
15.60,162.10
15.67,160.40
15.75,158.63
15.82,156.84
15.90,154.97
15.97,153.44
16.04,151.50
16.12,150.16
16.19,147.85
16.27,146.98
16.34,145.10
16.42,143.77
16.49,141.73
16.57,139.62
16.64,137.45
16.72,135.15
16.79,133.02
16.87,130.78
16.94,128.49
17.01,125.54
17.09,123.15
17.16,121.01
17.24,118.61
17.31,116.59
17.39,114.61
17.46,58.79
17.54,109.90
17.61,107.24
17.69,104.57
17.76,102.00
17.84,99.96
17.91,97.38
17.99,95.06
18.06,92.85
18.13,90.80
18.21,88.93
18.28,87.26
18.36,85.20
18.43,85.22
18.51,85.12
18.58,85.19
18.66,85.20
18.73,85.20
18.81,85.19
18.88,85.20
18.96,85.12
19.03,84.76
19.10,85.12
19.18,66.33
19.25,56.81
19.33,78.35
19.40,75.87
19.48,74.19
19.55,73.39
19.63,72.15
19.70,71.59
19.78,70.35
19.85,69.38
19.93,68.00
20.00,67.01
20.07,65.91
20.15,64.38
20.22,62.85
20.30,61.15
20.37,59.62
20.45,57.94
20.52,57.26
20.60,56.12
20.67,55.37
20.75,53.86
20.82,52.48
20.90,51.15
20.97,49.45
21.04,47.55
21.12,47.35
21.19,44.17
21.27,42.38
21.34,39.88
21.42,37.37
21.49,35.75
21.57,33.73
21.64,31.91
21.72,28.76
21.79,27.10
21.87,25.36
21.94,22.49
22.01,20.94
22.09,18.41
22.16,16.66
22.24,15.84
22.31,13.50
22.39,12.14
22.46,10.11
22.54,8.77
22.61,7.77
22.69,5.51
22.76,4.86
22.84,3.59
22.91,3.59
22.99,2.94
23.06,2.30
23.13,0.63
23.21,2.30
23.28,2.30
23.36,2.30
23.43,2.28
23.51,2.28
23.58,2.28
23.66,2.30
23.73,2.30
23.81,2.30
23.88,2.30
23.96,2.30
24.03,2.50
24.10,2.30
24.18,2.30
24.25,2.30
24.33,2.30
24.40,2.31
24.48,2.31
24.55,2.30
24.63,2.30
24.70,2.30
24.78,2.30
24.85,2.30
24.93,2.30
25.00,2.30
