s,distanza
0.06,34.07
0.13,36.11
0.19,36.55
0.26,36.55
0.32,36.11
0.39,36.09
0.45,36.55
0.52,36.55
0.58,36.55
0.64,36.11
0.71,36.11
0.77,36.57
0.84,36.11
0.90,36.11
0.97,36.09
1.03,36.11
1.10,36.11
1.16,36.11
1.22,36.55
1.29,36.09
1.35,36.11
1.42,36.55
1.48,36.55
1.55,36.09
1.61,36.09
1.68,36.11
1.74,36.11
1.80,36.11
1.87,36.11
1.93,36.09
2.00,36.11
2.06,36.11
2.13,36.11
2.19,36.09
2.26,36.11
2.32,36.12
2.38,36.55
2.45,36.55
2.51,36.09
2.58,36.11
2.64,36.11
2.71,36.11
2.77,36.11
2.84,36.09
2.90,36.57
2.96,36.09
3.03,36.09
3.09,36.11
3.16,36.55
3.22,36.55
3.29,36.11
3.35,36.11
3.41,36.11
3.48,36.57
3.54,36.09
3.61,36.09
3.67,36.11
3.74,36.11
3.80,36.55
3.87,36.09
3.93,36.09
3.99,36.11
4.06,36.55
4.12,36.09
4.19,36.11
4.25,36.11
4.32,36.11
4.38,36.11
4.45,36.11
4.51,36.11
4.57,36.11
4.64,36.11
4.70,36.11
4.77,36.09
4.83,36.11
4.90,36.11
4.96,36.11
5.03,36.12
5.09,36.09
5.15,36.12
5.22,36.55
5.28,36.09
5.35,36.11
5.41,36.11
5.48,36.11
5.54,36.09
5.61,36.11
5.67,36.09
5.73,36.55
5.80,36.11
5.86,36.11
5.93,36.11
5.99,36.11
6.06,36.11
6.12,36.11
6.19,36.11
6.25,36.09
6.31,36.11
6.38,36.11
6.44,36.11
6.51,36.11
6.57,36.11
6.64,36.11
6.70,36.09
6.77,36.09
6.83,36.11
6.89,36.11
6.96,36.11
7.02,36.09
7.09,36.11
7.15,36.11
7.22,36.11
7.28,36.11
7.35,36.11
7.41,36.11
7.47,36.09
7.54,36.11
7.60,36.11
7.67,36.11
7.73,36.12
7.80,36.11
7.86,36.11
7.93,36.11
7.99,36.09
8.05,36.11
8.12,36.11
8.18,36.11
8.25,36.11
8.31,36.11
8.38,36.11
8.44,36.11
8.51,36.11
8.57,36.11
8.63,36.11
8.70,36.09
8.76,36.11
8.83,36.11
8.89,36.11
8.96,36.11
9.02,36.09
9.09,36.11
9.15,36.12
9.21,36.11
9.28,36.09
9.34,36.11
9.41,36.12
9.47,36.11
9.54,36.11
9.60,36.11
9.66,36.09
9.73,36.11
9.79,36.11
9.86,36.11
9.92,36.11
9.99,36.11
10.05,36.09
10.12,36.11
10.18,36.11
10.24,36.11
10.31,36.11
10.37,36.11
10.44,36.11
10.50,36.11
10.57,34.58
10.63,36.11
10.70,36.11
10.76,36.11
10.82,36.11
10.89,36.09
10.95,36.11
11.02,36.11
11.08,36.09
11.15,36.11
11.21,36.11
11.28,36.11
11.34,36.11
11.40,36.11
11.47,36.09
11.53,36.09
11.60,36.11
11.66,36.11
11.73,36.11
11.79,36.09
11.86,36.11
11.92,36.11
11.98,36.11
12.05,36.11
12.11,36.09
12.18,36.09
12.24,36.09
12.31,36.09
12.37,36.11
12.44,36.09
12.50,36.09
12.56,36.11
12.63,36.11
12.69,36.11
12.76,36.11
12.82,36.11
12.89,36.09
12.95,36.09
13.02,36.11
13.08,36.11
13.14,36.11
13.21,36.11
13.27,36.55
13.34,36.11
13.40,36.11
13.47,36.11
13.53,36.23
13.60,36.12
13.66,36.09
13.72,36.09
13.79,36.11
13.85,36.11
13.92,36.11
13.98,36.11
14.05,36.09
14.11,36.11
14.18,36.09
14.24,36.11
14.30,36.11
14.37,36.11
14.43,36.11
14.50,36.11
14.56,36.11
14.63,36.11
14.69,36.55
14.76,36.11
14.82,36.09
14.88,36.11
14.95,36.11
15.01,36.11
15.08,36.09
15.14,36.11
15.21,36.11
15.27,36.11
15.34,36.11
15.40,36.11
15.46,36.11
15.53,36.11
15.59,36.11
15.66,36.09
15.72,36.11
15.79,36.11
15.85,36.09
15.91,36.11
15.98,36.11
16.04,36.11
16.11,36.11
16.17,36.11
16.24,36.11
16.30,36.11
16.37,36.11
16.43,36.11
16.49,36.11
16.56,36.09
16.62,36.11
16.69,36.11
16.75,36.11
16.82,36.11
16.88,36.11
16.95,36.11
17.01,36.11
17.07,36.11
17.14,36.11
17.20,36.57
17.27,36.11
17.33,36.11
17.40,36.09
17.46,36.11
17.53,36.11
17.59,36.11
17.65,36.11
17.72,36.11
17.78,36.09
17.85,36.09
17.91,36.11
17.98,36.09
18.04,36.11
18.11,36.11
18.17,36.09
18.23,36.11
18.30,36.11
18.36,36.11
18.43,36.09
18.49,36.11
18.56,36.11
18.62,36.11
18.69,36.11
18.75,36.11
18.81,36.11
18.88,36.09
18.94,36.11
19.01,36.11
19.07,36.11
19.14,36.09
19.20,36.11
19.27,36.11
19.33,36.11
19.39,36.09
19.46,36.11
19.52,36.11
19.59,36.09
19.65,36.09
19.72,36.11
19.78,36.11
19.85,36.11
19.91,36.11
19.97,36.11
20.04,36.09
20.10,36.09
20.17,36.11
20.23,36.11
20.30,35.87
20.36,36.11
20.43,36.09
20.49,36.11
20.55,36.11
20.62,36.11
20.68,36.09
20.75,36.12
20.81,36.55
20.88,36.09
20.94,36.11
21.01,36.11
21.07,36.09
21.13,36.11
21.20,36.11
21.26,36.11
21.33,36.11
21.39,36.09
21.46,36.11
21.52,36.11
21.59,36.09
21.65,36.11
21.71,36.11
21.78,36.19
21.84,36.09
21.91,36.09
21.97,36.09
22.04,36.09
22.10,36.11
22.16,36.11
22.23,36.55
22.29,36.11
22.36,36.11
22.42,36.11
22.49,36.11
22.55,36.11
22.62,36.11
22.68,36.11
22.74,36.11
22.81,36.09
22.87,36.11
22.94,36.09
23.00,36.11
23.07,36.09
23.13,36.11
23.20,36.11
23.26,36.11
23.32,36.11
23.39,36.11
23.45,36.09
23.52,36.06
23.58,36.09
23.65,36.11
23.71,36.11
23.78,36.09
23.84,36.11
23.90,36.11
23.97,36.11
24.03,36.11
24.10,36.11
24.16,36.09
24.23,36.09
24.29,36.11
24.36,36.11
24.42,36.11
24.48,36.11
24.55,36.11
24.61,36.09
24.68,36.11
24.74,36.11
24.81,36.09
24.87,36.11
24.94,36.11
25.00,36.09
