angolo,distanza,x,y
0.95,65.99,65.98,1.10
1.90,65.59,65.55,2.18
2.86,65.16,65.08,3.25
3.81,65.18,65.03,4.33
4.76,64.75,64.53,5.38
5.71,64.75,64.43,6.45
6.67,65.16,64.72,7.56
7.62,64.75,64.18,8.59
8.57,66.35,65.61,9.89
9.52,64.74,63.84,10.71
10.48,65.16,64.07,11.85
11.43,64.74,63.45,12.83
12.38,65.16,63.65,13.97
13.33,65.14,63.39,15.02
14.29,65.16,63.15,16.08
15.24,65.16,62.87,17.13
16.19,65.16,62.58,18.17
17.14,65.16,62.27,19.21
18.10,65.14,61.92,20.23
19.05,65.16,61.59,21.27
20.00,65.16,61.23,22.29
20.95,65.14,60.84,23.29
21.90,65.16,60.46,24.31
22.86,65.14,60.03,25.30
23.81,65.14,59.60,26.30
24.76,65.16,59.17,27.29
25.71,65.16,58.71,28.27
26.67,65.16,58.23,29.24
27.62,65.59,58.11,30.41
28.57,65.86,57.84,31.50
29.52,65.42,56.92,32.24
30.48,65.84,56.74,33.39
31.43,68.22,58.21,35.57
32.38,67.81,57.27,36.32
33.33,67.81,56.66,37.26
34.29,67.81,56.03,38.20
35.24,67.81,55.39,39.13
36.19,67.80,54.72,40.03
37.14,67.81,54.06,40.95
38.10,67.57,53.18,41.69
39.05,67.81,52.67,42.72
40.00,65.16,49.92,41.88
40.95,65.59,49.53,42.99
41.90,67.81,50.47,45.29
42.86,65.57,48.07,44.60
43.81,65.16,47.02,45.11
44.76,65.16,46.27,45.88
45.71,65.60,45.81,46.96
46.67,65.57,45.00,47.69
47.62,64.33,43.36,47.52
48.57,64.74,42.83,48.54
49.52,64.46,41.85,49.04
50.48,64.46,41.02,49.72
51.43,64.75,40.37,50.63
52.38,64.31,39.26,50.94
53.33,64.33,38.41,51.60
54.29,64.33,37.55,52.23
55.24,64.33,36.68,52.85
56.19,64.33,35.79,53.45
57.14,64.33,34.90,54.04
58.10,64.33,34.00,54.61
59.05,64.74,33.30,55.52
60.00,64.87,32.44,56.18
60.95,65.30,31.70,57.08
61.90,65.45,30.82,57.74
62.86,65.03,29.67,57.86
63.81,65.04,28.71,58.36
64.76,65.99,28.14,59.69
65.71,65.59,26.97,59.78
