s,distanza
0.07,61.66
0.13,64.43
0.20,64.02
0.26,64.02
0.33,64.02
0.39,63.60
0.46,63.19
0.53,37.47
0.59,36.09
0.66,37.69
0.72,37.23
0.79,37.23
0.86,37.69
0.92,37.69
0.99,37.23
1.05,36.01
1.12,37.23
1.18,37.25
1.25,37.25
1.32,36.77
1.38,37.23
1.45,61.64
1.51,35.65
1.58,35.63
1.64,36.09
1.71,36.55
1.78,61.37
1.84,61.39
1.91,61.37
1.97,61.39
2.04,61.39
2.11,61.39
2.17,61.39
2.24,61.39
2.30,61.79
2.37,61.39
2.43,61.39
2.50,61.37
2.57,35.87
2.63,35.87
2.70,35.85
2.76,35.87
2.83,61.79
2.89,61.79
2.96,61.52
3.03,61.51
3.09,61.79
3.16,61.37
3.22,61.39
3.29,61.78
3.36,61.52
3.42,61.95
3.49,61.81
3.55,61.79
3.62,61.51
3.68,61.79
3.75,61.39
3.82,61.51
3.88,61.52
3.95,61.52
4.01,61.51
4.08,61.52
4.14,61.52
4.21,61.52
4.28,61.52
4.34,61.93
4.41,61.52
4.47,61.51
4.54,61.52
4.61,61.51
4.67,61.52
4.74,61.52
4.80,61.51
4.87,61.52
4.93,61.66
5.00,61.64
5.07,61.66
5.13,61.66
5.20,61.66
5.26,61.66
5.33,61.66
5.39,61.66
5.46,61.66
5.53,61.66
5.59,61.64
5.66,61.66
5.72,61.66
5.79,61.64
5.86,61.66
5.92,61.66
5.99,61.66
6.05,61.66
6.12,61.66
6.18,61.66
6.25,61.66
6.32,61.68
6.38,61.66
6.45,61.25
6.51,61.23
6.58,61.66
6.64,61.64
6.71,61.68
6.78,61.66
6.84,61.66
6.91,61.25
6.97,61.64
7.04,61.66
7.11,61.66
7.17,61.64
7.24,61.66
7.30,61.64
7.37,61.66
7.43,61.66
7.50,61.66
7.57,61.66
7.63,61.66
7.70,61.93
7.76,61.51
7.83,61.51
7.89,61.52
7.96,61.37
8.03,36.55
8.09,61.23
8.16,35.85
8.22,35.65
8.29,35.41
8.36,36.09
8.42,35.63
8.49,35.63
8.55,35.63
8.62,37.25
8.68,35.41
8.75,59.76
8.82,59.84
8.88,60.26
8.95,60.25
9.01,60.13
9.08,60.13
9.14,60.13
9.21,60.11
9.28,60.13
9.34,60.13
9.41,60.13
9.47,60.13
9.54,60.13
9.61,60.11
9.67,60.13
9.74,60.13
9.80,60.13
9.87,60.11
9.93,60.13
10.00,60.13
10.07,60.11
10.13,60.11
10.20,60.13
10.26,60.11
10.33,36.09
10.39,36.09
10.46,60.13
10.53,60.13
10.59,36.11
10.66,36.11
10.72,60.13
10.79,36.11
10.86,60.15
10.92,60.13
10.99,60.13
11.05,36.04
11.12,60.13
