angolo,distanza,x,y
0.95,80.95,80.94,1.35
1.90,79.70,79.65,2.65
2.86,80.24,80.14,4.00
3.81,144.99,144.67,9.63
4.76,120.60,120.18,10.01
5.71,144.09,143.38,14.35
6.67,144.41,143.44,16.77
7.62,143.99,142.72,19.09
8.57,143.97,142.36,21.46
9.52,120.60,118.94,19.95
10.48,120.60,118.59,21.93
11.43,128.60,126.06,25.48
12.38,129.40,126.39,27.75
13.33,128.96,125.49,29.74
14.29,128.98,124.99,31.83
15.24,130.66,126.07,34.34
16.19,128.96,123.85,35.96
17.14,128.50,122.79,37.88
18.10,128.54,122.18,39.92
19.05,128.52,121.48,41.94
20.00,120.16,112.91,41.10
20.95,129.57,121.01,46.33
21.90,129.15,119.83,48.18
22.86,120.24,110.80,46.71
23.81,123.01,112.54,49.66
24.76,120.68,109.59,50.55
25.71,120.43,108.50,52.25
26.67,120.77,107.92,54.20
27.62,121.50,107.65,56.33
28.57,120.96,106.23,57.85
29.52,121.31,105.56,59.78
30.48,121.33,104.57,61.54
31.43,121.77,103.91,63.50
32.38,122.91,103.80,65.82
33.33,129.05,107.82,70.91
34.29,128.59,106.24,72.44
35.24,121.58,99.31,70.15
36.19,122.01,98.47,72.04
37.14,120.70,96.21,72.88
38.10,120.16,94.56,74.13
39.05,120.16,93.32,75.69
40.00,120.14,92.03,77.22
40.95,120.09,90.70,78.71
41.90,119.97,89.29,80.13
42.86,119.80,87.82,81.48
43.81,119.37,86.15,82.64
44.76,119.36,84.75,84.05
45.71,119.36,83.34,85.44
46.67,119.37,81.92,86.83
47.62,119.36,80.45,88.17
48.57,118.81,78.62,89.08
49.52,118.73,77.07,90.31
50.48,119.19,75.85,91.94
51.43,71.88,44.81,56.19
52.38,71.89,43.88,56.95
53.33,119.19,71.17,95.60
54.29,119.54,69.78,97.06
55.24,120.43,68.66,98.94
56.19,120.53,67.07,100.15
57.14,120.51,65.38,101.23
58.10,120.43,63.65,102.23
59.05,120.44,61.95,103.29
60.00,120.53,60.26,104.38
60.95,120.96,58.73,105.74
61.90,71.37,33.61,62.96
62.86,56.00,25.55,49.83
63.81,70.55,31.14,63.31
64.76,70.91,30.23,64.14
65.71,50.64,20.83,46.16
66.67,51.00,20.20,46.83
67.62,49.98,19.03,46.22
68.57,49.47,18.07,46.05
69.52,50.64,17.72,47.44
70.48,49.28,16.47,46.45
71.43,50.13,15.97,47.52
72.38,49.62,15.02,47.30
73.33,46.56,13.35,44.61
74.29,46.58,12.62,44.84
75.24,43.59,11.11,42.15
76.19,43.59,10.40,42.33
77.14,43.98,9.79,42.88
78.10,43.98,9.07,43.03
79.05,44.37,8.43,43.56
80.00,43.59,7.57,42.93
80.95,54.37,8.55,53.69
81.90,53.86,7.58,53.32
82.86,53.02,6.59,52.61
83.81,53.52,5.77,53.20
84.76,53.53,4.89,53.31
85.71,53.35,3.99,53.20
86.67,52.70,3.06,52.61
87.62,52.17,2.17,52.13
88.57,52.17,1.30,52.16
89.52,52.34,0.44,52.34
90.48,52.17,-0.43,52.17
91.43,51.66,-1.29,51.65
92.38,51.66,-2.15,51.62
93.33,51.85,-3.01,51.76
94.29,52.00,-3.89,51.86
95.24,51.49,-4.70,51.28
96.19,51.32,-5.53,51.02
97.14,51.32,-6.38,50.92
98.10,51.31,-7.22,50.79
99.05,51.31,-8.07,50.67
100.00,51.32,-8.91,50.54
100.95,51.32,-9.75,50.39
101.90,51.66,-10.66,50.55
102.86,51.32,-11.42,50.04
103.81,51.32,-12.25,49.84
104.76,51.32,-13.08,49.63
105.71,51.32,-13.90,49.40
106.67,51.31,-14.71,49.15
107.62,51.66,-15.64,49.24
108.57,51.15,-16.29,48.49
109.52,51.65,-17.26,48.68
110.48,51.65,-18.07,48.38
111.43,51.65,-18.87,48.08
112.38,51.66,-19.67,47.77
113.33,51.66,-20.46,47.44
114.29,51.66,-21.25,47.09
115.24,51.65,-22.02,46.72
116.19,51.66,-22.80,46.36
117.14,51.66,-23.57,45.97
118.10,51.66,-24.33,45.58
119.05,51.65,-25.08,45.15
120.00,51.66,-25.83,44.74
120.95,51.31,-26.39,44.00
121.90,51.32,-27.12,43.57
122.86,51.32,-27.85,43.11
123.81,51.32,-28.56,42.64
124.76,51.83,-29.55,42.58
125.71,51.49,-30.06,41.81
126.67,51.49,-30.75,41.30
127.62,51.99,-31.73,41.18
128.57,51.65,-32.20,40.38
129.52,52.51,-33.42,40.51
130.48,52.17,-33.87,39.69
131.43,52.16,-34.51,39.11
132.38,52.17,-35.17,38.54
133.33,52.17,-35.80,37.95
134.29,52.16,-36.42,37.34
135.24,52.17,-37.04,36.74
136.19,52.34,-37.77,36.24
137.14,52.34,-38.37,35.60
138.10,52.34,-38.96,34.96
139.05,52.33,-39.52,34.30
140.00,52.34,-40.10,33.65
140.95,52.34,-40.65,32.97
141.90,52.34,-41.19,32.29
142.86,53.35,-42.52,32.21
143.81,52.67,-42.50,31.10
144.76,53.18,-43.43,30.68
145.71,53.02,-43.81,29.87
146.67,52.68,-44.02,28.95
147.62,54.54,-46.06,29.21
148.57,36.67,-31.29,19.12
149.52,37.37,-32.20,18.95
150.48,36.45,-31.72,17.96
151.43,35.99,-31.61,17.21
152.38,35.53,-31.48,16.47
153.33,35.53,-31.75,15.95
154.29,35.53,-32.01,15.42
155.24,37.13,-33.71,15.55
156.19,36.23,-33.14,14.62
157.14,31.67,-29.18,12.30
158.10,31.67,-29.38,11.82
159.05,31.42,-29.34,11.23
160.00,31.28,-29.39,10.70
160.95,31.40,-29.68,10.25
161.90,32.20,-30.61,10.00
162.86,30.38,-29.03,8.95
163.81,31.14,-29.91,8.68
164.76,30.63,-29.56,8.05
165.71,30.62,-29.67,7.55
166.67,30.11,-29.30,6.94
167.62,30.38,-29.67,6.51
168.57,29.85,-29.26,5.92
169.52,29.87,-29.37,5.43
170.48,29.34,-28.94,4.85
171.43,28.83,-28.51,4.30
172.38,29.09,-28.83,3.86
173.33,28.82,-28.62,3.35
174.29,28.83,-28.69,2.87
175.24,28.83,-28.73,2.39
176.19,29.61,-29.55,1.97
177.14,29.60,-29.56,1.48
178.10,28.25,-28.24,0.94
179.05,28.25,-28.25,0.47
180.00,28.25,-28.25,-0.00
180.95,28.25,-28.25,-0.47
181.90,28.25,-28.24,-0.94
182.86,28.25,-28.22,-1.41
183.81,28.27,-28.21,-1.88
184.76,28.25,-28.16,-2.35
185.71,29.09,-28.94,-2.90
186.67,28.56,-28.37,-3.32
187.62,27.68,-27.43,-3.67
188.57,28.54,-28.22,-4.25
189.52,28.54,-28.15,-4.72
190.48,28.54,-28.07,-5.19
191.43,28.54,-27.98,-5.66
192.38,27.68,-27.03,-5.93
193.33,27.68,-26.93,-6.38
194.29,27.68,-26.82,-6.83
195.24,27.68,-26.70,-7.27
196.19,27.68,-26.58,-7.72
197.14,28.54,-27.27,-8.41
198.10,28.54,-27.13,-8.87
199.05,29.09,-27.49,-9.49
200.00,28.25,-26.55,-9.66
200.95,28.83,-26.93,-10.31
201.90,28.83,-26.75,-10.76
202.86,29.34,-27.04,-11.40
