angolo,distanza,x,y
0.94,56.85,56.84,0.93
1.87,49.18,49.15,1.60
2.81,49.71,49.65,2.43
3.74,49.35,49.25,3.22
4.68,61.30,61.10,5.00
5.61,71.26,70.92,6.97
6.55,70.94,70.48,8.09
7.48,70.94,70.34,9.24
8.42,60.62,59.97,8.87
9.35,70.67,69.73,11.48
10.29,59.92,58.96,10.70
11.22,61.18,60.01,11.91
12.16,60.20,58.85,12.68
13.09,61.05,59.46,13.83
14.03,61.74,59.90,14.96
14.96,59.18,57.17,15.28
15.90,58.94,56.69,16.14
16.83,58.82,56.30,17.03
17.77,59.94,57.08,18.29
18.70,58.53,55.44,18.77
19.64,59.23,55.78,19.90
20.57,57.56,53.89,20.23
21.51,60.91,56.67,22.33
22.44,58.12,53.72,22.19
23.38,56.29,51.67,22.33
24.31,55.74,50.80,22.95
25.25,56.44,51.05,24.07
26.18,54.88,49.25,24.21
27.12,56.03,49.87,25.54
28.05,55.86,49.30,26.27
28.99,55.44,48.49,26.87
29.92,55.45,48.06,27.66
30.86,55.45,47.60,28.44
31.79,54.94,46.70,28.95
32.73,55.28,46.51,29.89
33.66,55.11,45.87,30.55
34.60,54.60,44.95,31.00
35.53,54.43,44.30,31.64
36.47,54.25,43.63,32.24
37.40,54.09,42.97,32.86
38.34,53.91,42.28,33.44
39.27,53.75,41.61,34.03
40.21,53.77,41.07,34.71
41.14,53.75,40.48,35.37
42.08,53.75,39.90,36.02
43.01,54.26,39.68,37.02
43.95,54.43,39.19,37.78
44.88,54.42,38.56,38.40
45.82,54.43,37.94,39.04
46.75,54.43,37.30,39.65
47.69,54.77,36.87,40.51
48.62,54.72,36.17,41.06
49.56,54.42,35.30,41.42
50.49,55.44,35.27,42.77
51.43,55.90,34.85,43.70
52.36,57.38,35.04,45.44
53.30,56.44,33.73,45.25
54.23,56.87,33.24,46.14
55.17,56.87,32.48,46.68
56.10,57.00,31.79,47.31
57.04,57.15,31.10,47.95
57.97,57.70,30.60,48.92
58.91,61.05,31.52,52.28
59.84,59.64,29.96,51.56
60.78,70.24,34.29,61.31
61.71,67.47,31.97,59.42
62.65,68.56,31.50,60.90
63.58,67.47,30.02,60.43
64.52,68.44,29.44,61.78
65.45,76.01,31.57,69.14
66.39,79.90,32.00,73.21
67.32,75.46,29.09,69.63
68.26,75.46,27.95,70.10
69.19,75.57,26.84,70.64
70.13,80.61,27.40,75.81
71.06,88.88,28.84,84.07
72.00,88.79,27.44,84.45
72.94,94.72,27.80,90.55
73.87,94.72,26.32,91.00
74.81,94.72,24.83,91.41
75.74,25.04,6.17,24.27
76.68,27.91,6.43,27.16
77.61,26.20,5.62,25.59
78.55,25.31,5.03,24.81
79.48,24.46,4.47,24.05
80.42,24.31,4.05,23.97
81.35,24.46,3.68,24.18
82.29,29.53,3.96,29.26
83.22,29.55,3.49,29.34
84.16,29.55,3.01,29.39
85.09,29.53,2.53,29.42
86.03,29.55,2.05,29.47
86.96,29.55,1.57,29.50
87.90,27.18,1.00,27.16
88.83,28.19,0.57,28.18
89.77,25.62,0.10,25.62
90.70,24.77,-0.30,24.77
91.64,23.89,-0.68,23.88
92.57,23.89,-1.07,23.86
93.51,23.89,-1.46,23.84
94.44,23.89,-1.85,23.81
95.38,25.04,-2.35,24.93
96.31,24.17,-2.66,24.03
97.25,24.17,-3.05,23.98
98.18,24.17,-3.44,23.93
99.12,24.17,-3.83,23.87
100.05,24.17,-4.22,23.80
100.99,24.17,-4.61,23.73
101.92,24.17,-4.99,23.65
102.86,27.91,-6.21,27.21
103.79,23.61,-5.63,22.93
104.73,24.45,-6.21,23.64
105.66,23.61,-6.37,22.74
106.60,23.60,-6.74,22.61
107.53,23.61,-7.11,22.52
108.47,23.61,-7.48,22.40
109.40,24.74,-8.22,23.33
110.34,23.02,-8.00,21.58
111.27,23.89,-8.67,22.26
112.21,24.17,-9.14,22.38
