s,distanza
0.08,62.24
0.15,61.83
0.23,170.75
0.30,170.39
0.38,169.24
0.45,167.98
0.53,56.80
0.61,166.48
0.68,168.18
0.76,55.56
0.83,55.96
0.91,164.29
0.98,310.15
1.06,308.72
1.14,159.95
1.21,159.58
1.29,158.87
1.36,158.17
1.44,157.10
1.52,156.18
1.59,155.45
1.67,153.92
1.74,152.07
1.82,150.72
1.89,150.35
1.97,148.70
2.05,148.14
2.12,293.85
2.20,292.77
2.27,145.67
2.35,290.94
2.42,290.14
2.50,289.14
2.58,288.05
2.65,286.84
2.73,285.28
2.80,283.49
2.88,282.06
2.95,280.89
3.03,279.77
3.11,133.20
3.18,131.66
3.26,129.51
3.33,128.28
3.41,126.96
3.48,124.81
3.56,124.01
3.64,122.88
3.71,121.52
3.79,266.44
3.86,265.03
3.94,264.30
4.02,264.30
4.09,263.96
4.17,262.70
4.24,261.99
4.32,261.29
4.39,260.95
4.47,259.95
4.55,258.69
4.62,257.28
4.70,255.71
4.77,253.91
4.85,251.67
4.92,249.92
5.00,248.66
5.08,247.38
5.15,246.01
5.23,245.05
5.30,243.59
5.38,241.79
5.45,240.84
5.53,239.14
5.61,237.90
5.68,236.61
5.76,235.77
5.83,234.18
5.91,233.46
5.98,232.39
6.06,230.72
6.14,229.84
6.21,228.33
6.29,226.64
6.36,224.93
6.44,223.16
6.52,221.63
6.59,219.62
6.67,218.30
6.74,217.41
6.82,216.15
6.89,214.12
6.97,213.64
7.05,212.36
7.12,210.61
7.20,209.56
7.27,208.16
7.35,206.82
7.42,205.87
7.50,205.21
7.58,202.96
7.65,202.28
7.73,200.26
7.80,198.73
7.88,197.66
7.95,195.79
8.03,69.38
8.11,68.54
8.18,585.38
8.26,583.81
8.33,62.12
8.41,271.95
8.48,-1.00
8.56,61.56
8.64,58.16
8.71,60.03
8.79,578.48
8.86,576.67
8.94,574.85
9.02,-1.00
9.09,-1.00
9.17,569.41
9.24,-1.00
9.32,513.79
9.39,-1.00
9.47,-1.00
9.55,-1.00
9.62,505.72
9.70,504.44
9.77,502.59
9.85,500.29
9.92,498.71
10.00,497.47
10.08,495.06
10.15,492.03
10.23,489.72
10.30,487.14
10.38,485.20
10.45,482.90
10.53,481.05
10.61,479.43
10.68,478.55
10.76,476.14
10.83,474.59
10.91,473.81
10.98,473.23
11.06,473.72
11.14,60.59
11.21,470.41
11.29,469.11
11.36,56.68
11.44,209.39
11.52,206.53
11.59,203.63
11.67,202.03
11.74,199.44
11.82,197.57
11.89,195.87
11.97,194.29
12.05,192.97
12.12,191.27
12.20,190.35
12.27,189.65
12.35,188.77
12.42,188.16
12.50,186.56
12.58,185.57
12.65,184.09
12.73,183.24
12.80,182.14
12.88,180.88
12.95,179.86
13.03,179.11
13.11,432.46
13.18,430.42
13.26,428.50
13.33,427.26
13.41,425.88
13.48,424.47
13.56,423.21
13.64,421.11
13.71,418.29
13.79,417.13
13.86,415.90
13.94,414.34
14.02,158.83
14.09,412.52
14.17,157.06
14.24,155.11
14.32,153.43
14.39,152.00
14.47,150.57
14.55,148.70
14.62,147.30
14.70,146.13
14.77,144.28
14.85,142.92
14.92,141.54
15.00,140.71
15.08,139.65
15.15,138.57
15.23,137.97
15.30,137.79
15.38,136.54
15.45,135.29
15.53,384.22
15.61,382.31
15.68,380.97
15.76,372.84
15.83,370.17
15.91,368.68
15.98,367.49
16.06,366.32
16.14,370.31
16.21,278.97
16.29,367.00
16.36,365.02
16.44,274.87
16.52,270.79
16.59,230.88
16.67,266.44
16.74,264.15
16.82,262.70
16.89,262.07
16.97,260.22
17.05,258.79
17.12,256.56
17.20,255.75
17.27,253.69
17.35,253.76
17.42,251.68
17.50,251.16
17.58,249.10
17.65,248.95
17.73,246.35
17.80,244.21
17.88,242.69
17.95,241.21
18.03,332.08
18.11,238.26
18.18,236.13
18.26,233.84
18.33,232.39
18.41,230.06
18.48,228.24
18.56,226.00
18.64,224.67
18.71,222.97
18.79,220.85
18.86,218.74
18.94,216.41
19.02,213.89
19.09,211.24
19.17,208.83
19.24,207.42
19.32,206.45
19.39,204.87
19.47,202.90
19.55,200.24
19.62,196.93
19.70,193.66
19.77,190.64
19.85,187.80
19.92,184.50
20.00,180.78
20.08,177.05
20.15,173.04
20.23,169.32
20.30,165.94
20.38,162.49
20.45,160.67
20.53,158.47
20.61,155.89
20.68,153.51
20.76,150.91
20.83,148.53
20.91,145.42
20.98,142.22
21.06,139.38
21.14,136.53
21.21,133.96
21.29,131.46
21.36,128.47
21.44,125.68
21.52,123.37
21.59,120.89
21.67,118.59
21.74,116.11
21.82,113.95
21.89,112.46
21.97,109.89
22.05,107.93
22.12,106.23
22.20,104.28
22.27,101.88
22.35,100.03
22.42,97.63
22.50,94.78
22.58,92.19
22.65,89.98
22.73,87.12
22.80,58.75
22.88,83.21
22.95,80.99
23.03,78.23
23.11,75.67
23.18,73.08
23.26,70.35
23.33,68.25
23.41,65.33
23.48,63.68
23.56,60.88
23.64,58.75
23.71,57.36
23.79,55.83
23.86,53.50
23.94,50.76
24.02,49.27
24.09,46.55
24.17,44.35
24.24,41.70
24.32,39.63
24.39,37.11
24.47,35.26
24.55,32.93
24.62,31.38
24.70,28.82
24.77,27.08
24.85,27.10
24.92,23.63
25.00,22.18
