angolo,distanza,x,y
0.94,87.86,87.84,1.45
1.89,89.93,89.88,2.97
2.83,89.93,89.82,4.45
3.78,89.95,89.75,5.93
4.72,89.95,89.64,7.41
5.67,89.95,89.51,8.89
6.61,90.01,89.42,10.37
7.56,89.95,89.17,11.83
8.50,89.95,88.96,13.30
9.45,89.95,88.73,14.77
10.39,89.93,88.45,16.22
11.34,89.93,88.17,17.68
12.28,89.95,87.89,19.14
13.23,89.95,87.56,20.58
14.17,89.93,87.19,22.02
15.12,90.00,86.88,23.47
16.06,89.93,86.42,24.88
17.01,89.57,85.66,26.20
17.95,89.91,85.54,27.71
18.90,89.93,85.08,29.13
19.84,89.93,84.59,30.53
20.79,89.95,84.09,31.92
21.73,89.88,83.49,33.28
22.68,63.83,58.90,24.61
23.62,63.41,58.10,25.41
24.57,89.95,81.80,37.40
25.51,63.83,57.61,27.49
26.46,89.95,80.53,40.07
27.40,63.83,56.67,29.38
28.35,89.93,79.15,42.70
29.29,89.93,78.43,44.00
30.24,89.93,77.70,45.29
31.18,89.95,76.95,46.57
32.13,89.91,76.15,47.81
33.07,89.93,75.36,49.07
34.02,63.55,52.67,35.55
34.96,62.27,51.03,35.68
35.91,90.03,72.92,52.80
36.85,90.01,72.03,53.98
37.80,89.68,70.86,54.96
38.74,89.74,70.00,56.16
39.69,89.83,69.13,57.36
40.63,89.85,68.19,58.50
41.57,89.88,67.24,59.64
42.52,89.79,66.18,60.69
43.46,90.54,65.72,62.28
44.41,90.56,64.69,63.37
45.35,91.10,64.02,64.82
46.30,91.17,62.99,65.91
47.24,91.19,61.91,66.96
48.19,91.17,60.78,67.95
49.13,91.27,59.72,69.02
50.08,91.27,58.57,70.00
51.02,91.38,57.47,71.04
51.97,91.36,56.29,71.96
52.91,91.46,55.15,72.96
53.86,91.99,54.25,74.29
54.80,92.00,53.03,75.18
55.75,91.73,51.63,75.82
56.69,92.16,50.61,77.02
57.64,92.17,49.34,77.86
58.58,92.17,48.05,78.66
59.53,92.24,46.78,79.50
60.47,92.33,45.50,80.34
61.42,92.34,44.18,81.09
62.36,91.95,42.66,81.46
63.31,93.33,41.92,83.38
64.25,93.48,40.61,84.20
65.20,93.69,39.30,85.04
66.14,94.28,38.13,86.23
67.09,94.47,36.78,87.01
68.03,95.88,35.87,88.92
68.98,95.90,34.40,89.51
69.92,96.78,33.23,90.90
70.87,154.82,50.75,146.27
71.81,154.39,48.19,146.68
72.76,154.39,45.77,147.45
73.70,153.95,43.21,147.76
74.65,154.38,40.88,148.87
75.59,135.20,33.64,130.95
76.54,122.21,28.46,118.85
77.48,122.20,26.49,119.29
78.43,123.00,24.68,120.49
79.37,123.81,22.84,121.69
80.31,122.01,20.53,120.27
81.26,122.65,18.64,121.23
82.20,123.37,16.73,122.23
83.15,134.47,16.04,133.51
84.09,155.29,15.98,154.47
85.04,121.06,10.47,120.60
85.98,120.60,8.45,120.30
86.93,120.17,6.44,120.00
87.87,120.61,4.47,120.53
88.82,120.44,2.48,120.42
89.76,119.71,0.49,119.71
90.71,119.90,-1.48,119.89
91.65,119.44,-3.45,119.39
92.60,119.46,-5.42,119.34
93.54,119.46,-7.38,119.23
94.49,119.08,-9.32,118.72
95.43,119.10,-11.28,118.57
96.38,119.08,-13.23,118.35
97.32,119.10,-15.18,118.13
98.27,119.02,-17.11,117.78
99.21,119.02,-19.05,117.48
100.16,119.00,-20.99,117.13
101.10,118.92,-22.90,116.69
102.05,118.92,-24.82,116.30
102.99,118.92,-26.73,115.87
103.94,119.19,-28.71,115.68
104.88,118.93,-30.54,114.94
105.83,71.89,-19.61,69.17
106.77,72.69,-20.98,69.60
107.72,72.25,-21.99,68.82
108.66,72.39,-23.16,68.58
109.61,72.68,-24.39,68.46
110.55,71.35,-25.05,66.81
111.50,72.59,-26.60,67.54
112.44,118.12,-45.09,109.17
113.39,37.15,-14.74,34.09
114.33,37.83,-15.58,34.47
115.28,36.69,-15.66,33.17
116.22,37.59,-16.61,33.72
117.17,35.53,-16.22,31.61
118.11,38.06,-17.93,33.57
119.06,35.53,-17.26,31.06
120.00,35.53,-17.77,30.77
120.94,35.99,-18.51,30.87
121.89,35.99,-19.01,30.56
122.83,35.99,-19.51,30.24
123.78,35.99,-20.01,29.91
124.72,36.45,-20.76,29.96
125.67,36.47,-21.26,29.62
126.61,36.47,-21.75,29.27
127.56,36.47,-22.23,28.91
128.50,36.91,-22.98,28.88
129.45,36.92,-23.46,28.51
130.39,36.91,-23.92,28.11
131.34,37.37,-24.68,28.06
132.28,51.49,-34.64,38.10
133.23,51.82,-35.49,37.75
134.17,35.75,-24.91,25.64
135.12,51.66,-36.61,36.46
136.06,50.30,-36.22,34.90
137.01,48.96,-35.81,33.39
137.95,49.81,-36.99,33.36
138.90,50.81,-38.29,33.40
139.84,50.32,-38.46,32.45
140.79,50.30,-38.98,31.80
141.73,50.30,-39.49,31.15
142.68,50.30,-40.00,30.50
143.62,49.79,-40.09,29.53
144.57,49.79,-40.57,28.87
145.51,49.79,-41.04,28.19
146.46,49.79,-41.50,27.51
147.40,50.47,-42.52,27.19
148.35,49.96,-42.53,26.22
149.29,50.30,-43.25,25.69
150.24,50.30,-43.67,24.97
151.18,38.05,-33.33,18.34
152.13,37.13,-32.82,17.36
153.07,36.91,-32.91,16.71
154.02,35.99,-32.35,15.77
154.96,36.67,-33.22,15.52
155.91,35.77,-32.65,14.60
156.85,35.75,-32.87,14.05
157.80,35.53,-32.90,13.43
158.74,35.53,-33.11,12.88
159.69,35.77,-33.54,12.42
160.63,35.77,-33.74,11.86
161.57,35.75,-33.92,11.30
162.52,35.28,-33.65,10.60
163.46,36.45,-34.94,10.37
164.41,35.02,-33.73,9.41
165.35,34.51,-33.39,8.73
166.30,34.51,-33.53,8.17
167.24,34.51,-33.66,7.62
168.19,35.28,-34.53,7.22
169.13,34.75,-34.12,6.55
170.08,35.02,-34.50,6.03
171.02,33.73,-33.31,5.26
171.97,34.51,-34.17,4.82
172.91,34.51,-34.25,4.26
173.86,34.51,-34.31,3.69
174.80,34.51,-34.37,3.13
175.75,33.63,-33.53,2.49
176.69,33.47,-33.42,1.93
177.64,33.46,-33.43,1.38
178.58,33.47,-33.46,0.83
179.53,33.47,-33.47,0.28
180.47,34.26,-34.25,-0.28
181.42,33.74,-33.73,-0.83
182.36,33.22,-33.19,-1.37
183.31,34.00,-33.94,-1.96
184.25,33.47,-33.38,-2.48
185.20,33.47,-33.34,-3.03
186.14,32.95,-32.76,-3.52
187.09,32.95,-32.69,-4.06
188.03,32.95,-32.62,-4.60
188.98,32.95,-32.54,-5.14
189.92,33.73,-33.22,-5.81
190.87,32.44,-31.85,-6.11
191.81,32.44,-31.75,-6.64
192.76,32.44,-31.64,-7.16
193.70,33.73,-32.77,-7.99
194.65,32.96,-31.89,-8.33
195.59,32.96,-31.75,-8.86
196.54,32.95,-31.58,-9.38
197.48,32.96,-31.44,-9.90
198.43,32.96,-31.27,-10.42
199.37,32.96,-31.10,-10.93
200.31,32.98,-30.93,-11.45
201.26,32.96,-30.72,-11.95
202.20,32.96,-30.52,-12.46
203.15,32.96,-30.31,-12.96
204.09,32.91,-30.04,-13.44
205.04,33.47,-30.33,-14.17
205.98,32.96,-29.63,-14.44
206.93,32.96,-29.39,-14.93
207.87,32.96,-29.14,-15.41
208.82,33.47,-29.33,-16.14
209.76,33.98,-29.50,-16.87
210.71,34.00,-29.23,-17.36
211.65,34.00,-28.94,-17.84
212.60,34.00,-28.64,-18.32
213.54,34.00,-28.34,-18.79
214.49,33.98,-28.01,-19.24
215.43,33.98,-27.69,-19.70
216.38,33.98,-27.36,-20.16
217.32,33.98,-27.02,-20.60
218.27,34.26,-26.89,-21.22
219.21,34.51,-26.74,-21.82
220.16,35.02,-26.76,-22.58
221.10,35.02,-26.39,-23.02
222.05,35.02,-26.01,-23.45
222.99,34.76,-25.43,-23.71
223.94,35.28,-25.40,-24.48
224.88,36.23,-25.67,-25.56
225.83,35.53,-24.76,-25.48
226.77,35.53,-24.33,-25.89
227.72,37.81,-25.44,-27.97
228.66,36.67,-24.22,-27.53
229.61,35.99,-23.32,-27.41
230.55,36.45,-23.16,-28.14
231.50,39.19,-24.40,-30.66
232.44,35.53,-21.66,-28.17
233.39,47.57,-28.37,-38.18
234.33,38.28,-22.32,-31.10
235.28,36.23,-20.64,-29.78
236.22,36.89,-20.51,-30.66
237.17,42.16,-22.86,-35.42
238.11,48.16,-25.44,-40.89
239.06,35.53,-18.27,-30.47
240.00,35.77,-17.88,-30.98
240.94,34.26,-16.64,-29.94
241.89,33.73,-15.89,-29.75
242.83,33.73,-15.40,-30.01
243.78,33.20,-14.67,-29.78
244.72,33.22,-14.18,-30.04
245.67,32.18,-13.26,-29.32
246.61,32.45,-12.88,-29.79
247.56,32.44,-12.38,-29.98
248.50,32.44,-11.89,-30.18
249.45,32.45,-11.39,-30.39
250.39,31.93,-10.71,-30.07
251.34,32.16,-10.29,-30.47
252.28,31.65,-9.63,-30.15
253.23,31.67,-9.14,-30.32
254.17,31.67,-8.64,-30.47
255.12,31.14,-8.00,-30.10
256.06,30.63,-7.38,-29.73
257.01,30.89,-6.94,-30.10
257.95,30.87,-6.44,-30.19
258.90,29.85,-5.75,-29.29
259.84,30.11,-5.31,-29.64
260.79,30.38,-4.86,-29.99
261.73,29.85,-4.29,-29.54
262.68,29.87,-3.81,-29.63
263.62,29.87,-3.32,-29.68
264.57,29.85,-2.83,-29.72
265.51,29.85,-2.34,-29.76
266.46,29.85,-1.84,-29.79
267.40,29.87,-1.35,-29.84
268.35,29.33,-0.85,-29.31
269.29,29.34,-0.36,-29.34
270.24,29.34,0.12,-29.34
271.18,29.34,0.60,-29.34
272.13,29.34,1.09,-29.32
273.07,29.34,1.57,-29.30
274.02,29.34,2.05,-29.27
274.96,29.34,2.54,-29.23
275.91,29.34,3.02,-29.19
276.85,29.34,3.50,-29.13
277.80,29.34,3.98,-29.07
278.74,29.34,4.46,-29.00
279.69,29.34,4.94,-28.92
280.63,29.34,5.41,-28.84
281.57,29.36,5.89,-28.76
282.52,29.36,6.36,-28.66
283.46,29.34,6.83,-28.54
284.41,29.85,7.43,-28.91
285.35,29.85,7.90,-28.79
286.30,29.09,8.16,-27.92
287.24,15.88,4.71,-15.16
288.19,15.86,4.95,-15.07
289.13,29.34,9.62,-27.72
290.08,29.34,10.07,-27.56
291.02,29.34,10.53,-27.39
291.97,29.36,10.98,-27.23
292.91,29.34,11.42,-27.03
293.86,29.34,11.87,-26.83
294.80,29.87,12.53,-27.11
295.75,29.85,12.97,-26.89
296.69,29.09,13.07,-25.99
297.64,29.09,13.49,-25.77
298.58,29.60,14.16,-25.99
299.53,29.60,14.59,-25.75
300.47,30.11,15.27,-25.95
301.42,30.62,15.96,-26.13
302.36,30.63,16.40,-25.88
303.31,30.62,16.81,-25.59
304.25,30.63,17.24,-25.32
305.20,30.63,17.66,-25.03
306.14,30.63,18.07,-24.74
