angolo,distanza,x,y
181.40,9.08,-9.08,-0.22
182.34,10.10,-10.09,-0.41
183.27,8.59,-8.57,-0.49
184.21,8.74,-8.71,-0.64
185.14,9.08,-9.04,-0.81
186.08,10.08,-10.02,-1.07
187.01,10.10,-10.02,-1.23
187.95,9.76,-9.66,-1.35
188.88,9.42,-9.31,-1.45
189.82,10.44,-10.29,-1.78
190.75,10.44,-10.25,-1.95
191.69,10.08,-9.87,-2.04
192.62,10.10,-9.85,-2.21
193.56,11.10,-10.79,-2.60
194.49,10.76,-10.42,-2.69
195.43,12.12,-11.68,-3.22
196.36,11.46,-10.99,-3.23
197.30,12.46,-11.90,-3.71
198.23,12.46,-11.84,-3.90
199.17,12.44,-11.75,-4.09
200.10,12.44,-11.69,-4.28
201.04,13.46,-12.57,-4.83
201.97,13.12,-12.17,-4.91
202.91,13.14,-12.10,-5.12
203.84,12.80,-11.71,-5.17
204.78,16.78,-15.23,-7.03
205.71,33.90,-30.54,-14.71
206.65,33.90,-30.30,-15.20
207.58,15.81,-14.01,-7.32
208.52,15.83,-13.91,-7.56
209.45,31.59,-27.50,-15.53
210.39,22.17,-19.12,-11.21
211.32,15.83,-13.52,-8.23
212.26,16.78,-14.19,-8.96
213.19,30.04,-25.14,-16.45
214.13,30.82,-25.51,-17.29
215.06,30.29,-24.80,-17.40
216.00,29.77,-24.08,-17.50
216.94,29.78,-23.81,-17.90
217.87,29.27,-23.11,-17.97
218.81,30.04,-23.41,-18.82
219.74,29.26,-22.50,-18.70
220.68,28.75,-21.80,-18.74
221.61,29.51,-22.07,-19.60
222.55,29.53,-21.76,-19.97
223.48,29.51,-21.41,-20.31
224.42,28.75,-20.53,-20.12
225.35,29.51,-20.74,-21.00
226.29,29.00,-20.04,-20.96
227.22,29.02,-19.71,-21.30
228.16,28.46,-18.98,-21.20
229.09,28.46,-18.64,-21.51
230.03,28.75,-18.47,-22.03
230.96,28.75,-18.11,-22.33
231.90,28.17,-17.38,-22.17
232.83,28.75,-17.37,-22.91
233.77,27.90,-16.49,-22.50
234.70,27.93,-16.14,-22.80
235.64,27.90,-15.75,-23.03
236.57,28.19,-15.53,-23.52
237.51,28.19,-15.14,-23.77
238.44,27.61,-14.45,-23.52
239.38,27.90,-14.21,-24.01
240.31,27.32,-13.53,-23.73
241.25,27.32,-13.14,-23.95
242.18,27.32,-12.75,-24.16
243.12,27.32,-12.35,-24.37
244.05,27.32,-11.95,-24.57
244.99,27.32,-11.55,-24.76
245.92,27.32,-11.15,-24.94
246.86,27.32,-10.74,-25.12
247.79,27.61,-10.43,-25.56
248.73,15.83,-5.74,-14.75
249.66,27.32,-9.49,-25.62
250.60,27.90,-9.27,-26.31
251.53,27.88,-8.83,-26.44
252.47,28.76,-8.67,-27.43
253.40,27.32,-7.80,-26.18
254.34,28.19,-7.61,-27.14
255.27,27.61,-7.02,-26.70
256.21,27.05,-6.45,-26.27
257.14,27.88,-6.20,-27.18
258.08,27.32,-5.64,-26.73
259.01,26.76,-5.10,-26.27
259.95,27.61,-4.82,-27.18
260.88,27.61,-4.37,-27.26
261.82,26.74,-3.81,-26.47
262.75,27.05,-3.41,-26.83
263.69,28.17,-3.10,-28.00
264.62,27.90,-2.61,-27.77
265.56,27.88,-2.16,-27.80
266.49,27.88,-1.71,-27.83
267.43,28.75,-1.29,-28.72
268.36,29.27,-0.84,-29.26
269.30,28.48,-0.35,-28.47
270.23,28.46,0.12,-28.46
271.17,28.17,0.57,-28.16
272.10,29.00,1.06,-28.98
273.04,28.75,1.52,-28.71
273.97,28.76,1.99,-28.69
274.91,29.53,2.53,-29.42
275.84,29.53,3.01,-29.38
276.78,29.72,3.51,-29.51
277.71,28.75,3.86,-28.49
278.65,29.00,4.36,-28.67
279.58,30.04,5.00,-29.62
280.52,30.55,5.58,-30.04
281.45,30.04,5.97,-29.44
282.39,30.55,6.55,-29.84
283.32,30.29,6.98,-29.48
284.26,31.33,7.72,-30.37
285.19,31.59,8.28,-30.48
