s,distanza
0.07,57.90
0.13,60.55
0.20,60.55
0.26,60.55
0.33,60.55
0.40,60.55
0.46,60.55
0.53,60.54
0.59,60.54
0.66,60.54
0.73,60.55
0.79,60.55
0.86,60.54
0.92,60.55
0.99,60.54
1.06,60.55
1.12,60.54
1.19,60.54
1.25,60.54
1.32,60.55
1.39,60.55
1.45,59.06
1.52,60.55
1.58,60.55
1.65,60.55
1.72,60.55
1.78,60.54
1.85,60.55
1.91,60.55
1.98,60.55
2.04,60.54
2.11,60.55
2.18,60.57
2.24,60.54
2.31,60.55
2.37,60.55
2.44,60.54
2.51,60.55
2.57,60.55
2.64,60.66
2.70,60.55
2.77,60.55
2.84,60.54
2.90,60.55
2.97,60.54
3.03,60.54
3.10,60.55
3.17,60.55
3.23,60.55
3.30,60.55
3.36,59.86
3.43,60.55
3.50,60.55
3.56,60.54
3.63,60.55
3.69,60.55
3.76,60.54
3.83,60.54
3.89,60.55
3.96,60.55
4.02,60.54
4.09,60.55
4.16,60.55
4.22,60.55
4.29,61.17
4.35,60.55
4.42,60.55
4.49,60.55
4.55,60.55
4.62,60.55
4.68,60.55
4.75,60.55
4.82,60.55
4.88,60.67
4.95,60.54
5.01,60.45
5.08,60.60
5.15,60.55
5.21,60.55
5.28,60.54
5.34,60.55
5.41,60.74
5.47,60.54
5.54,62.15
5.61,60.54
5.67,60.55
5.74,60.55
5.80,59.55
5.87,60.55
5.94,60.54
6.00,60.55
6.07,60.55
6.13,60.55
6.20,60.55
6.27,61.69
6.33,60.55
6.40,60.55
6.46,60.54
6.53,60.55
6.60,60.55
6.66,60.57
6.73,60.55
6.79,60.54
6.86,60.55
6.93,60.54
6.99,60.54
7.06,60.55
7.12,60.54
7.19,60.55
7.26,60.55
7.32,60.54
7.39,60.54
7.45,60.54
7.52,60.54
7.59,60.55
7.65,60.60
7.72,61.66
7.78,60.55
7.85,60.54
7.92,60.55
7.98,60.55
8.05,60.55
8.11,60.55
8.18,60.55
8.25,60.54
8.31,60.54
8.38,60.55
8.44,60.55
8.51,60.55
8.58,60.55
8.64,60.55
8.71,60.55
8.77,60.54
8.84,60.54
8.91,60.55
8.97,61.42
9.04,60.54
9.10,60.54
9.17,60.55
9.23,60.55
9.30,60.55
9.37,60.54
9.43,60.54
9.50,60.55
9.56,60.54
9.63,60.54
9.70,60.55
9.76,60.54
9.83,60.55
9.89,60.55
9.96,60.54
10.03,60.55
10.09,60.55
10.16,60.55
10.22,60.55
10.29,60.55
10.36,60.55
10.42,60.55
10.49,60.55
10.55,60.55
10.62,60.55
10.69,60.54
10.75,60.55
10.82,60.55
10.88,60.55
10.95,60.54
11.02,60.54
11.08,60.55
11.15,60.57
11.21,60.55
11.28,60.55
11.35,60.55
11.41,60.54
11.48,60.55
11.54,60.54
11.61,60.55
11.68,60.55
11.74,60.54
11.81,60.54
11.87,61.61
11.94,60.54
12.01,60.54
12.07,60.55
12.14,60.55
12.20,60.55
12.27,60.55
12.34,60.55
12.40,60.54
12.47,60.54
12.53,60.55
12.60,60.55
12.66,60.55
12.73,60.55
12.80,60.60
12.86,60.69
12.93,60.72
12.99,60.55
13.06,60.57
13.13,60.38
13.19,60.55
13.26,60.54
13.32,60.55
13.39,60.55
13.46,60.55
13.52,60.55
13.59,60.55
13.65,60.54
13.72,60.55
13.79,59.98
13.85,60.55
13.92,60.54
13.98,60.55
14.05,60.55
14.12,60.54
14.18,60.55
14.25,60.54
14.31,60.06
14.38,60.55
14.45,60.55
14.51,60.55
14.58,60.54
14.64,60.54
14.71,60.54
14.78,60.54
14.84,60.55
14.91,60.55
14.97,60.54
15.04,60.55
15.11,60.55
15.17,60.54
15.24,60.55
15.30,60.54
15.37,60.55
15.44,60.64
15.50,60.55
15.57,60.55
15.63,60.55
15.70,60.54
15.77,60.54
15.83,60.54
15.90,59.42
15.96,60.55
16.03,60.54
16.09,60.54
16.16,60.54
16.23,60.54
16.29,60.55
16.36,60.54
16.42,61.05
16.49,60.54
16.56,60.55
16.62,60.54
16.69,60.54
16.75,60.55
16.82,60.55
16.89,60.55
16.95,60.55
17.02,60.03
17.08,60.54
17.15,60.55
17.22,60.55
17.28,60.54
17.35,60.54
17.41,60.55
17.48,60.55
17.55,60.54
17.61,60.54
17.68,60.55
17.74,60.55
17.81,60.55
17.88,60.55
17.94,60.54
18.01,60.54
18.07,60.55
18.14,60.55
18.21,60.54
18.27,60.54
18.34,60.55
18.40,60.55
18.47,60.55
18.54,60.55
18.60,60.55
18.67,60.55
18.73,60.54
18.80,60.55
18.87,60.54
18.93,60.54
19.00,60.54
19.06,61.10
19.13,60.55
19.20,60.55
19.26,60.54
19.33,60.55
19.39,60.57
19.46,60.54
19.53,60.55
19.59,60.55
19.66,60.55
19.72,60.54
19.79,60.55
19.85,60.54
19.92,60.55
19.99,60.54
20.05,60.54
20.12,60.54
20.18,60.54
20.25,60.55
20.32,60.55
20.38,60.55
20.45,61.86
20.51,60.55
20.58,60.55
20.65,60.54
20.71,60.54
20.78,60.55
20.84,60.55
20.91,60.59
20.98,60.54
21.04,60.37
21.11,60.54
21.17,60.45
21.24,60.55
21.31,60.38
21.37,60.47
21.44,60.40
21.50,60.37
21.57,60.54
21.64,60.54
21.70,60.47
21.77,60.38
21.83,60.47
21.90,60.54
21.97,60.55
22.03,60.55
22.10,61.79
22.16,60.54
22.23,60.55
22.30,60.55
22.36,60.55
22.43,60.55
22.49,60.54
22.56,60.54
22.63,60.54
22.69,60.55
22.76,60.54
22.82,60.54
22.89,60.55
22.96,60.54
23.02,60.55
23.09,61.15
23.15,60.54
23.22,60.54
23.28,60.55
23.35,60.55
23.42,60.55
23.48,60.55
23.55,60.54
23.61,60.55
23.68,60.55
23.75,60.54
23.81,60.55
23.88,60.54
23.94,60.54
24.01,60.55
24.08,59.98
24.14,60.54
24.21,60.54
24.27,60.55
24.34,60.59
24.41,60.54
24.47,60.32
24.54,60.62
24.60,60.64
24.67,60.55
24.74,60.55
24.80,60.54
24.87,60.54
24.93,60.54
25.00,60.55
