angolo,distanza,x,y
0.95,75.17,75.16,1.25
1.90,73.20,73.16,2.43
2.86,72.78,72.69,3.63
3.81,72.86,72.70,4.84
4.76,72.86,72.61,6.05
5.71,72.85,72.48,7.25
6.67,72.86,72.37,8.46
7.62,72.95,72.30,9.67
8.57,73.39,72.57,10.94
9.52,73.47,72.46,12.16
10.48,73.56,72.33,13.38
11.43,73.58,72.12,14.58
12.38,74.02,72.30,15.87
13.33,74.02,72.02,17.07
14.29,74.10,71.81,18.29
15.24,74.54,71.92,19.59
16.19,75.07,72.09,20.93
17.14,74.80,71.48,22.05
18.10,74.46,70.78,23.13
19.05,74.54,70.46,24.33
20.00,74.54,70.05,25.50
20.95,74.21,69.30,26.54
21.90,77.57,71.97,28.94
22.86,78.11,71.98,30.34
23.81,86.46,79.10,34.90
24.76,86.48,78.53,36.22
25.71,86.46,77.90,37.51
26.67,87.79,78.45,39.40
27.62,80.68,71.49,37.40
28.57,80.68,70.86,38.59
29.52,80.68,70.21,39.76
30.48,81.12,69.92,41.14
31.43,144.14,123.00,75.16
32.38,143.90,121.53,77.07
33.33,143.36,119.78,78.78
34.29,143.36,118.45,80.76
35.24,143.04,116.83,82.53
36.19,143.28,115.63,84.60
37.14,122.21,97.42,73.79
38.10,129.95,102.27,80.17
39.05,143.62,111.54,90.47
40.00,121.75,93.27,78.26
40.95,122.20,92.29,80.09
41.90,130.65,97.23,87.26
42.86,121.77,89.26,82.83
43.81,121.84,87.92,84.34
44.76,122.30,86.84,86.12
45.71,123.18,86.01,88.18
46.67,121.84,83.61,88.62
47.62,121.12,81.65,89.47
48.57,121.04,80.09,90.75
49.52,121.50,78.87,92.42
50.48,121.92,77.59,94.05
51.43,122.20,76.19,95.54
52.38,121.31,74.05,96.09
53.33,120.77,72.12,96.87
54.29,121.57,70.96,98.70
55.24,121.92,69.52,100.16
56.19,121.67,67.70,101.09
57.14,121.11,65.71,101.73
58.10,120.80,63.84,102.55
59.05,120.77,62.11,103.57
60.00,120.85,60.43,104.66
60.95,120.96,58.73,105.74
61.90,120.87,56.92,106.63
62.86,120.85,55.13,107.54
63.81,120.85,53.34,108.45
64.76,121.19,51.67,109.62
65.71,121.29,49.89,110.56
66.67,121.23,48.02,111.31
67.62,121.65,46.32,112.49
68.57,121.65,44.44,113.24
69.52,121.69,42.57,114.00
70.48,121.29,40.54,114.32
71.43,121.33,38.64,115.01
72.38,121.29,36.71,115.61
73.33,121.31,34.79,116.22
74.29,121.31,32.86,116.78
75.24,121.31,30.91,117.31
76.19,121.31,28.96,117.81
77.14,121.21,26.97,118.17
78.10,120.96,24.95,118.35
79.05,120.96,22.98,118.75
80.00,120.94,21.00,119.10
80.95,120.94,19.02,119.43
81.90,120.94,17.03,119.73
82.86,120.94,15.04,120.00
83.81,120.96,13.04,120.25
84.76,120.58,11.01,120.08
85.71,120.51,9.01,120.18
86.67,120.79,7.02,120.58
87.62,120.77,5.02,120.66
88.57,120.77,3.01,120.73
89.52,120.33,1.00,120.32
90.48,120.33,-1.00,120.32
91.43,120.80,-3.01,120.76
92.38,120.31,-5.00,120.21
93.33,120.22,-6.99,120.02
