angolo,distanza,x,y
0.95,51.32,51.32,0.86
1.91,51.31,51.28,1.71
2.86,51.31,51.24,2.56
3.82,51.32,51.21,3.42
4.77,51.32,51.14,4.27
5.73,51.32,51.07,5.12
6.68,51.32,50.97,5.97
7.64,51.32,50.87,6.82
8.59,51.32,50.75,7.67
9.55,51.31,50.60,8.51
10.50,51.32,50.46,9.36
11.46,51.31,50.28,10.19
12.41,51.31,50.11,11.03
13.37,51.31,49.92,11.86
14.32,51.31,49.71,12.69
15.28,51.32,49.51,13.52
16.23,51.31,49.26,14.34
17.19,51.15,48.87,15.12
18.14,51.32,48.77,15.98
19.10,51.31,48.48,16.79
20.05,51.31,48.20,17.59
21.01,51.31,47.90,18.39
21.96,51.31,47.58,19.19
22.92,51.32,47.27,19.99
23.87,51.31,46.92,20.76
24.83,51.32,46.58,21.55
25.78,51.31,46.20,22.32
26.74,51.31,45.82,23.08
27.69,51.31,45.43,23.84
28.65,51.20,44.94,24.55
29.60,51.31,44.61,25.34
30.56,51.32,44.20,26.09
31.51,51.31,43.74,26.82
32.47,51.32,43.30,27.55
33.42,51.32,42.84,28.27
34.38,51.32,42.36,28.98
35.33,51.32,41.87,29.68
36.29,51.31,41.36,30.36
37.24,51.32,40.86,31.06
38.20,51.31,40.32,31.73
39.15,51.31,39.79,32.39
40.11,52.16,39.89,33.60
41.06,51.14,38.56,33.59
42.02,51.14,37.99,34.23
42.97,51.49,37.68,35.10
43.93,51.99,37.44,36.06
44.88,51.49,36.49,36.34
45.84,51.15,35.64,36.69
46.79,51.15,35.02,37.28
47.75,51.65,34.73,38.23
48.70,51.65,34.09,38.80
49.66,51.65,33.43,39.36
50.61,51.65,32.77,39.91
51.56,51.63,32.09,40.44
52.52,51.65,31.43,40.98
53.47,51.66,30.75,41.52
54.43,51.65,30.04,42.01
55.38,51.66,29.35,42.52
56.34,51.65,28.63,42.99
57.29,51.14,27.63,43.03
58.25,51.48,27.09,43.77
59.20,50.97,26.09,43.78
60.16,50.98,25.37,44.22
61.11,50.98,24.63,44.64
62.07,50.98,23.88,45.04
63.02,51.32,23.28,45.74
63.98,51.32,22.52,46.12
64.93,51.66,21.89,46.80
65.89,51.14,20.89,46.67
66.84,50.98,20.05,46.88
67.80,51.08,19.30,47.30
68.75,51.32,18.60,47.83
69.71,51.97,18.02,48.74
70.66,78.47,25.98,74.05
71.62,78.27,24.68,74.27
72.57,78.11,23.39,74.53
73.53,78.46,22.25,75.24
74.48,78.46,20.99,75.60
75.44,78.47,19.73,75.95
76.39,78.64,18.50,76.43
77.35,78.91,17.29,77.00
78.30,78.73,15.96,77.09
79.26,79.17,14.76,77.78
80.21,79.15,13.46,78.00
81.17,79.08,12.14,78.15
82.12,79.44,10.89,78.69
83.08,79.41,9.57,78.83
84.03,79.42,8.26,78.99
84.99,79.00,6.90,78.70
85.94,79.70,5.64,79.50
86.90,80.15,4.34,80.04
87.85,80.94,3.03,80.88
88.81,86.17,1.80,86.15
89.76,84.85,0.35,84.85
90.72,82.28,-1.03,82.27
91.67,83.06,-2.42,83.03
92.63,84.30,-3.86,84.21
93.58,155.70,-9.72,155.40
94.54,155.53,-12.30,155.05
95.49,154.89,-14.82,154.18
96.45,154.80,-17.38,153.82
97.40,155.07,-19.97,153.78
98.36,154.99,-22.52,153.34
99.31,154.82,-25.05,152.78
100.27,154.22,-27.48,151.76
101.22,153.24,-29.82,150.31
102.18,149.24,-31.48,145.89
103.13,149.51,-33.96,145.61
104.08,150.21,-36.56,145.70
105.04,150.04,-38.93,144.90
105.99,149.94,-41.32,144.14
106.95,148.44,-43.28,142.00
107.90,147.83,-45.45,140.67
108.86,55.95,-18.08,52.94
109.81,55.81,-18.92,52.51
110.77,55.66,-19.74,52.04
111.72,55.51,-20.54,51.56
112.68,55.81,-21.52,51.50
113.63,55.66,-22.31,50.99
114.59,147.46,-61.36,134.09
115.54,55.52,-23.94,50.10
116.50,55.52,-24.77,49.69
117.45,55.93,-25.79,49.63
118.41,55.93,-26.61,49.19
119.36,55.81,-27.37,48.64
120.32,53.67,-27.09,46.33
121.27,55.67,-28.90,47.59
122.23,104.12,-55.53,88.08
123.18,55.95,-30.62,46.82
124.14,55.79,-31.31,46.18
125.09,55.79,-32.08,45.65
126.05,55.66,-32.75,45.00
127.00,52.67,-31.70,42.06
127.96,53.52,-32.92,42.20
128.91,52.65,-33.07,40.97
129.87,53.52,-34.30,41.08
130.82,52.65,-34.42,39.84
131.78,52.67,-35.09,39.28
132.73,52.65,-35.73,38.67
133.69,53.50,-36.95,38.69
134.64,53.52,-37.60,38.08
135.60,55.66,-39.76,38.94
136.55,101.92,-73.99,70.09
137.51,53.01,-39.08,35.81
138.46,53.84,-40.30,35.70
139.42,55.52,-42.17,36.12
140.37,101.13,-77.89,64.50
141.33,101.03,-78.88,63.13
142.28,100.52,-79.51,61.50
143.24,100.52,-80.53,60.16
144.19,100.88,-81.81,59.02
145.15,100.33,-82.34,57.34
146.10,100.33,-83.28,55.96
147.06,100.33,-84.20,54.56
148.01,100.18,-84.97,53.07
148.97,100.16,-85.83,51.64
149.92,99.99,-86.53,50.12
150.88,99.89,-87.26,48.62
151.83,99.81,-87.99,47.12
152.79,99.64,-88.61,45.57
153.74,99.65,-89.37,44.09
154.69,99.62,-90.06,42.58
155.65,99.64,-90.77,41.08
156.60,99.54,-91.35,39.52
157.56,99.89,-92.33,38.13
158.51,99.81,-92.87,36.56
159.47,99.81,-93.47,35.00
160.42,99.72,-93.96,33.41
161.38,99.64,-94.42,31.81
162.33,99.64,-94.94,30.24
163.29,100.08,-95.85,28.78
164.24,100.16,-96.40,27.20
165.20,100.06,-96.74,25.56
166.15,106.90,-103.79,25.58
167.11,102.37,-99.79,22.84
168.06,106.73,-104.42,22.07
169.02,101.76,-99.90,19.38
169.97,106.64,-105.01,18.57
170.93,101.85,-100.57,16.06
171.88,102.65,-101.62,14.49
172.84,108.24,-107.39,13.49
173.79,108.66,-108.03,11.75
174.75,101.05,-100.62,9.25
175.70,123.01,-122.67,9.22
176.66,122.74,-122.53,7.16
177.61,122.50,-122.40,5.10
178.57,105.20,-105.16,2.63
179.52,104.75,-104.75,0.87
180.48,122.13,-122.12,-1.02
181.43,116.91,-116.87,-2.92
182.39,84.13,-84.06,-3.50
183.34,82.35,-82.21,-4.80
184.30,40.19,-40.08,-3.01
185.25,80.41,-80.07,-7.36
186.21,40.43,-40.19,-4.37
187.16,39.07,-38.76,-4.87
188.12,38.15,-37.77,-5.39
189.07,39.75,-39.25,-6.27
190.03,38.83,-38.23,-6.76
190.98,38.37,-37.67,-7.31
191.94,38.39,-37.56,-7.94
192.89,70.14,-68.37,-15.65
193.85,70.48,-68.43,-16.87
194.80,39.05,-37.75,-9.98
195.76,37.69,-36.27,-10.23
196.71,39.73,-38.05,-11.42
197.67,37.93,-36.14,-11.51
198.62,37.47,-35.51,-11.96
199.58,37.01,-34.87,-12.40
200.53,39.51,-37.00,-13.86
201.49,39.05,-36.34,-14.30
202.44,38.13,-35.24,-14.56
203.40,38.15,-35.01,-15.15
204.35,37.69,-34.34,-15.54
205.31,37.69,-34.07,-16.11
206.26,67.78,-60.78,-29.99
207.21,67.63,-60.14,-30.93
208.17,78.01,-68.77,-36.83
209.12,67.35,-58.84,-32.78
210.08,67.64,-58.53,-33.90
211.03,68.05,-58.31,-35.08
211.99,67.51,-57.26,-35.76
212.94,66.52,-55.82,-36.18
213.90,65.48,-54.35,-36.52
214.85,65.84,-54.03,-37.63
215.81,66.23,-53.71,-38.75
216.76,66.71,-53.44,-39.93
217.72,66.10,-52.28,-40.44
218.67,65.69,-51.28,-41.05
219.63,65.55,-50.49,-41.81
220.58,66.39,-50.42,-43.19
221.54,67.12,-50.24,-44.51
222.49,65.57,-48.35,-44.29
223.45,65.40,-47.48,-44.97
224.40,64.99,-46.43,-45.47
225.36,64.99,-45.67,-46.24
226.31,64.45,-44.51,-46.60
227.27,64.86,-44.01,-47.64
228.22,65.13,-43.39,-48.57
229.18,65.14,-42.59,-49.30
230.13,64.99,-41.66,-49.88
231.09,64.84,-40.73,-50.45
232.04,64.57,-39.71,-50.91
233.00,63.61,-38.29,-50.80
233.95,64.02,-37.67,-51.76
234.91,65.84,-37.85,-53.87
235.86,63.46,-35.61,-52.53
236.82,63.89,-34.97,-53.47
237.77,63.87,-34.06,-54.03
238.73,63.46,-32.94,-54.24
239.68,63.48,-32.04,-54.80
240.64,63.46,-31.12,-55.31
241.59,63.87,-30.39,-56.18
242.55,64.00,-29.51,-56.80
243.50,63.89,-28.50,-57.17
244.46,63.89,-27.55,-57.64
245.41,63.89,-26.58,-58.09
246.37,63.90,-25.62,-58.54
247.32,63.89,-24.63,-58.95
248.28,64.16,-23.75,-59.60
249.23,63.73,-22.60,-59.59
250.19,63.90,-21.66,-60.12
251.14,63.80,-20.62,-60.38
252.10,63.33,-19.47,-60.26
253.05,62.78,-18.30,-60.05
254.01,62.78,-17.30,-60.35
254.96,62.63,-16.25,-60.48
255.92,63.05,-15.34,-61.16
256.87,63.48,-14.42,-61.82
257.82,63.46,-13.38,-62.03
258.78,64.31,-12.51,-63.08
259.73,66.25,-11.81,-65.19
260.69,66.67,-10.79,-65.80
261.64,66.25,-9.63,-65.55
262.60,66.59,-8.58,-66.03
263.55,35.65,-4.00,-35.42
264.51,66.62,-6.37,-66.32
265.46,67.92,-5.37,-67.70
266.42,67.51,-4.22,-67.38
267.37,71.64,-3.28,-71.56
268.33,72.44,-2.11,-72.41
269.28,72.45,-0.91,-72.45
270.24,74.12,0.31,-74.12
271.19,80.68,1.68,-80.66
272.15,80.51,3.02,-80.46
273.10,80.77,4.37,-80.65
