s,distanza
0.07,289.00
0.14,287.76
0.22,287.05
0.29,285.43
0.36,283.68
0.43,282.32
0.51,280.74
0.58,279.51
0.65,277.46
0.72,276.10
0.80,127.50
0.87,124.93
0.94,270.52
1.01,121.92
1.09,267.12
1.16,265.35
1.23,263.08
1.30,115.09
1.38,261.58
1.45,259.67
1.52,259.35
1.59,257.07
1.67,256.11
1.74,254.86
1.81,254.98
1.88,253.28
1.96,252.14
2.03,250.55
2.10,248.73
2.17,246.74
2.25,246.26
2.32,243.61
2.39,241.89
2.46,240.24
2.54,238.46
2.61,236.83
2.68,235.54
2.75,232.93
2.83,232.02
2.90,-1.00
2.97,-1.00
3.04,-1.00
3.12,-1.00
3.19,-1.00
3.26,-1.00
3.33,60.62
3.41,-1.00
3.48,-1.00
3.55,602.79
3.62,601.36
3.70,598.84
3.77,597.21
3.84,594.95
3.91,592.06
3.99,590.34
4.06,587.78
4.13,584.77
4.20,62.83
4.28,582.03
4.35,56.00
4.42,56.98
4.49,524.74
4.57,523.19
4.64,519.84
4.71,-1.00
4.78,-1.00
4.86,-1.00
4.93,509.90
5.00,507.33
5.07,503.91
5.14,458.03
5.22,114.00
5.29,497.61
5.36,494.58
5.43,492.66
5.51,489.62
5.58,486.15
5.65,484.72
5.72,482.32
5.80,478.94
5.87,476.37
5.94,270.98
6.01,59.28
6.09,58.46
6.16,54.88
6.23,208.64
6.30,205.46
6.38,203.69
6.45,201.11
6.52,198.44
6.59,196.74
6.67,193.80
6.74,191.13
6.81,189.46
6.88,188.48
6.96,185.83
7.03,184.72
7.10,182.24
7.17,179.96
7.25,433.21
7.32,429.96
7.39,429.27
7.46,426.84
7.54,421.68
7.61,420.10
7.68,417.27
7.75,415.33
7.83,412.64
7.90,409.26
7.97,407.54
8.04,151.25
8.12,149.65
8.19,148.21
8.26,145.47
8.33,144.04
8.41,143.05
8.48,140.30
8.55,390.49
8.62,387.57
8.70,134.62
8.77,239.39
8.84,290.05
8.91,287.23
8.99,284.46
9.06,364.82
9.13,282.00
9.20,277.47
9.28,364.43
9.35,361.69
9.42,228.74
9.49,358.21
9.57,355.71
9.64,353.53
9.71,351.29
9.78,258.14
9.86,255.26
9.93,333.76
10.00,331.57
10.07,246.36
10.14,243.78
10.22,241.47
10.29,238.09
10.36,234.70
10.43,233.29
10.51,231.61
10.58,228.51
10.65,226.98
10.72,224.81
10.80,223.21
10.87,221.48
10.94,219.90
11.01,218.72
11.09,216.48
11.16,214.23
11.23,212.30
11.30,210.09
11.38,90.27
11.45,206.53
11.52,203.47
11.59,201.20
11.67,198.59
11.74,195.87
11.81,193.83
11.88,191.69
11.96,188.31
12.03,185.79
12.10,184.02
12.17,180.83
12.25,178.07
12.32,66.06
12.39,50.30
12.46,54.88
12.54,170.09
12.61,82.21
12.68,164.56
12.75,162.10
12.83,159.53
12.90,157.01
12.97,154.27
13.04,151.52
13.12,62.13
13.19,59.91
13.26,143.33
13.33,141.18
13.41,138.28
13.48,136.49
13.55,134.08
13.62,131.70
13.70,129.12
13.77,127.25
13.84,124.49
13.91,122.64
13.99,120.84
14.06,118.37
14.13,116.57
14.20,114.99
14.28,113.66
14.35,58.65
14.42,109.57
14.49,107.80
14.57,106.01
14.64,103.96
14.71,101.93
14.78,99.79
14.86,97.75
14.93,95.78
15.00,94.10
15.07,92.60
15.14,90.88
15.22,89.23
15.29,87.89
15.36,61.15
15.43,84.32
15.51,56.42
15.58,80.95
15.65,79.87
15.72,78.00
15.80,76.52
15.87,74.73
15.94,73.47
16.01,70.91
16.09,68.43
16.16,65.77
16.23,63.67
16.30,61.17
16.38,57.26
16.45,55.56
16.52,53.86
16.59,52.00
16.67,50.30
16.74,48.55
16.81,46.95
16.88,46.17
16.96,44.57
17.03,42.98
17.10,40.78
17.17,38.51
17.25,37.35
17.32,36.45
17.39,35.02
17.46,33.20
17.54,31.93
17.61,29.58
17.68,28.54
17.75,28.25
17.83,25.38
17.90,23.07
17.97,22.22
18.04,20.62
18.12,18.39
18.19,16.49
18.26,15.86
18.33,13.50
18.41,11.81
18.48,9.77
18.55,8.41
18.62,6.48
18.70,6.15
18.77,5.83
18.84,4.88
18.91,4.56
18.99,3.59
19.06,3.57
19.13,3.26
19.20,2.62
19.28,3.59
19.35,2.30
19.42,2.86
19.49,2.62
19.57,4.88
19.64,3.59
19.71,3.59
19.78,3.59
19.86,5.18
19.93,5.18
20.00,3.91
20.07,5.51
20.14,5.53
20.22,5.53
20.29,5.53
20.36,5.53
20.43,5.51
20.51,5.51
20.58,5.53
20.65,5.51
20.72,5.51
20.80,5.51
20.87,5.51
20.94,5.51
21.01,5.51
21.09,5.51
21.16,5.51
21.23,5.51
21.30,5.51
21.38,5.51
21.45,5.53
21.52,5.53
21.59,5.51
21.67,5.51
21.74,5.53
21.81,5.51
21.88,5.51
21.96,5.51
22.03,5.51
22.10,5.53
22.17,5.51
22.25,5.51
22.32,5.53
22.39,5.51
22.46,5.51
22.54,5.51
22.61,5.64
22.68,5.51
22.75,5.51
22.83,5.51
22.90,5.51
22.97,5.53
23.04,5.51
23.12,5.51
23.19,5.51
23.26,5.53
23.33,5.51
23.41,5.51
23.48,5.53
23.55,5.53
23.62,5.51
23.70,5.51
23.77,5.51
23.84,5.51
23.91,5.51
23.99,5.51
24.06,5.51
24.13,5.51
24.20,5.53
24.28,5.51
24.35,5.51
24.42,5.53
24.49,5.51
24.57,5.51
24.64,5.51
24.71,5.51
24.78,5.51
24.86,5.53
24.93,5.53
25.00,5.53
