angolo,distanza,x,y
0.94,50.66,50.65,0.84
1.89,48.37,48.34,1.59
2.83,48.55,48.49,2.40
3.78,50.32,50.21,3.32
4.72,103.65,103.30,8.54
5.67,103.72,103.21,10.25
6.61,103.67,102.98,11.94
7.56,104.11,103.20,13.70
8.50,103.56,102.43,15.31
9.45,103.63,102.23,17.01
10.39,103.21,101.51,18.62
11.34,103.63,101.61,20.37
12.28,103.21,100.84,21.96
13.23,103.65,100.90,23.72
14.17,103.29,100.15,25.29
15.12,103.26,99.68,26.93
16.06,103.26,99.23,28.57
17.01,103.28,98.76,30.21
17.95,103.28,98.25,31.83
18.90,103.31,97.74,33.46
19.84,103.29,97.16,35.06
20.79,103.29,96.57,36.66
21.73,103.26,95.92,38.23
22.68,103.29,95.31,39.82
23.62,103.29,94.64,41.39
24.57,103.67,94.28,43.10
25.51,103.19,93.13,44.44
26.46,103.63,92.78,46.17
27.40,103.21,91.63,47.50
28.35,103.21,90.83,49.00
29.29,103.21,90.01,50.49
30.24,103.65,89.55,52.19
31.18,103.63,88.66,53.65
32.13,103.67,87.79,55.13
33.07,103.63,86.84,56.55
34.02,103.65,85.91,57.98
34.96,103.63,84.93,59.38
35.91,103.63,83.94,60.78
36.85,103.65,82.94,62.16
37.80,103.21,81.55,63.25
38.74,103.63,80.83,64.85
39.69,103.22,79.44,65.92
40.63,103.21,78.33,67.21
41.57,103.19,77.20,68.48
42.52,103.21,76.07,69.75
43.46,103.19,74.90,70.99
44.41,103.21,73.73,72.22
45.35,103.21,72.53,73.43
46.30,103.21,71.30,74.61
47.24,103.19,70.05,75.77
48.19,103.21,68.81,76.93
49.13,103.65,67.82,78.38
50.08,103.21,66.23,79.15
51.02,103.63,65.18,80.56
51.97,103.21,63.59,81.29
52.91,103.22,62.25,82.34
53.86,103.21,60.87,83.35
54.80,103.21,59.49,84.34
55.75,103.21,58.09,85.31
56.69,103.21,56.67,86.25
57.64,103.63,55.47,87.54
58.58,103.22,53.81,88.09
59.53,103.19,52.33,88.94
60.47,103.63,51.07,90.17
61.42,103.22,49.39,90.64
62.36,103.67,48.09,91.84
63.31,103.63,46.55,92.59
64.25,103.67,45.03,93.37
65.20,103.65,43.48,94.09
66.14,103.63,41.92,94.78
67.09,103.28,40.21,95.13
68.03,103.67,38.78,96.14
68.98,103.65,37.18,96.75
69.92,104.09,35.74,97.76
70.87,104.07,34.11,98.32
71.81,104.09,32.49,98.89
72.76,104.07,30.85,99.40
73.70,104.09,29.21,99.91
74.65,103.65,27.44,99.95
75.59,103.65,25.79,100.39
76.54,104.09,24.24,101.23
77.48,104.09,22.56,101.62
78.43,103.63,20.79,101.52
79.37,103.63,19.12,101.85
80.31,103.65,17.44,102.17
81.26,103.29,15.70,102.09
82.20,103.28,14.01,102.32
83.15,103.29,12.32,102.55
84.09,103.29,10.63,102.74
85.04,103.65,8.96,103.26
85.98,103.11,7.22,102.85
86.93,103.63,5.55,103.48
87.87,103.65,3.85,103.58
88.82,103.63,2.14,103.61
89.76,46.97,0.19,46.97
90.71,46.97,-0.58,46.97
91.65,46.97,-1.36,46.95
92.60,49.13,-2.23,49.08
93.54,104.07,-6.43,103.88
94.49,49.13,-3.84,48.98
95.43,104.09,-9.86,103.62
96.38,103.63,-11.51,102.99
97.32,103.09,-13.14,102.25
98.27,103.11,-14.83,102.03
99.21,103.09,-16.50,101.76
100.16,103.11,-18.18,101.49
101.10,103.12,-19.86,101.19
102.05,103.11,-21.52,100.83
102.99,103.09,-23.18,100.45
103.94,103.11,-24.83,100.07
104.88,103.11,-26.48,99.65
105.83,103.04,-28.10,99.13
106.77,102.68,-29.63,98.31
107.72,102.68,-31.25,97.81
108.66,102.66,-32.85,97.27
109.61,102.66,-34.45,96.71
110.55,103.11,-36.19,96.54
111.50,102.66,-37.62,95.52
112.44,103.11,-39.36,95.30
113.39,103.04,-40.90,94.57
114.33,103.11,-42.48,93.95
115.28,102.68,-43.84,92.85
116.22,102.68,-45.37,92.11
117.17,102.66,-46.87,91.34
118.11,102.68,-48.38,90.57
119.06,102.68,-49.87,89.76
120.00,102.66,-51.33,88.91
120.94,102.65,-52.78,88.04
121.89,102.68,-54.24,87.18
122.83,102.66,-55.67,86.26
123.78,102.66,-57.08,85.33
124.72,103.11,-58.73,84.74
125.67,81.68,-47.63,66.36
126.61,41.12,-24.53,33.01
127.56,33.44,-20.38,26.51
128.50,35.53,-22.12,27.80
129.45,35.55,-22.59,27.45
130.39,36.01,-23.33,27.42
