s,distanza
0.06,34.46
0.13,36.11
0.19,36.09
0.26,36.11
0.32,36.11
0.39,36.11
0.45,36.11
0.52,36.09
0.58,36.11
0.64,36.11
0.71,36.11
0.77,36.09
0.84,36.09
0.90,36.09
0.97,36.09
1.03,36.11
1.10,36.11
1.16,36.11
1.22,36.55
1.29,36.11
1.35,36.11
1.42,36.11
1.48,36.09
1.55,36.11
1.61,36.11
1.68,36.57
1.74,36.11
1.80,36.11
1.87,36.11
1.93,36.11
2.00,36.11
2.06,36.11
2.13,36.09
2.19,36.11
2.26,36.55
2.32,36.11
2.38,36.09
2.45,36.11
2.51,36.11
2.58,36.11
2.64,36.11
2.71,36.09
2.77,36.11
2.84,36.12
2.90,36.11
2.96,36.11
3.03,36.11
3.09,36.11
3.16,36.11
3.22,36.09
3.29,36.11
3.35,36.11
3.41,36.11
3.48,36.11
3.54,36.09
3.61,36.11
3.67,36.11
3.74,36.09
3.80,36.11
3.87,36.09
3.93,36.11
3.99,36.55
4.06,36.55
4.12,36.11
4.19,36.11
4.25,36.09
4.32,36.11
4.38,36.11
4.45,36.11
4.51,36.09
4.57,36.09
4.64,36.09
4.70,36.11
4.77,36.11
4.83,36.09
4.90,36.11
4.96,36.09
5.03,36.11
5.09,36.11
5.15,36.11
5.22,36.11
5.28,36.11
5.35,36.11
5.41,36.11
5.48,36.11
5.54,36.11
5.61,36.11
5.67,36.11
5.73,36.11
5.80,36.11
5.86,36.11
5.93,36.09
5.99,36.01
6.06,36.11
6.12,36.11
6.19,36.11
6.25,36.09
6.31,36.11
6.38,36.11
6.44,36.11
6.51,36.11
6.57,36.09
6.64,36.11
6.70,36.11
6.77,36.11
6.83,36.09
6.89,36.09
6.96,36.09
7.02,36.11
7.09,36.11
7.15,36.11
7.22,36.09
7.28,36.11
7.35,36.11
7.41,36.09
7.47,36.11
7.54,36.11
7.60,36.09
7.67,36.09
7.73,36.11
7.80,36.55
7.86,36.11
7.93,36.09
7.99,36.11
8.05,36.11
8.12,36.11
8.18,36.11
8.25,36.11
8.31,36.11
8.38,36.11
8.44,36.11
8.51,36.09
8.57,36.09
8.63,36.09
8.70,36.09
8.76,36.11
8.83,36.11
8.89,36.55
8.96,36.09
9.02,36.11
9.09,36.11
9.15,36.09
9.21,36.11
9.28,36.57
9.34,36.11
9.41,36.11
9.47,36.11
9.54,36.11
9.60,36.09
9.66,36.09
9.73,36.55
9.79,36.11
9.86,36.11
9.92,36.11
9.99,36.11
10.05,36.09
10.12,36.11
10.18,36.11
10.24,36.11
10.31,36.11
10.37,36.11
10.44,36.09
10.50,36.11
10.57,36.11
10.63,36.11
10.70,36.12
10.76,36.09
10.82,36.11
10.89,36.11
10.95,36.11
11.02,36.11
11.08,36.11
11.15,36.09
11.21,36.11
11.28,36.11
11.34,36.11
11.40,36.11
11.47,36.09
11.53,36.11
11.60,36.11
11.66,36.11
11.73,35.92
11.79,36.11
11.86,36.11
11.92,36.11
11.98,36.11
12.05,36.11
12.11,36.11
12.18,36.11
12.24,36.09
12.31,36.12
12.37,36.11
12.44,36.09
12.50,36.11
12.56,36.11
12.63,36.09
12.69,36.11
12.76,36.11
12.82,36.09
12.89,36.09
12.95,36.11
13.02,36.55
13.08,36.11
13.14,36.09
13.21,36.12
13.27,36.09
13.34,36.11
13.40,36.11
13.47,36.11
13.53,36.11
13.60,36.57
13.66,36.09
13.72,36.11
13.79,36.09
13.85,36.11
13.92,36.11
13.98,36.11
14.05,36.11
14.11,36.11
14.18,36.11
14.24,36.11
14.30,36.09
14.37,36.11
14.43,36.11
14.50,36.57
14.56,36.11
14.63,36.09
14.69,36.09
14.76,36.11
14.82,36.11
14.88,36.11
14.95,36.09
15.01,36.11
15.08,36.09
15.14,36.11
15.21,36.11
15.27,36.09
15.34,36.11
15.40,36.09
15.46,36.11
15.53,36.09
15.59,36.11
15.66,36.09
15.72,36.11
15.79,36.11
15.85,36.57
15.91,36.11
15.98,36.11
16.04,36.11
16.11,36.11
16.17,36.11
16.24,36.11
16.30,36.09
16.37,36.12
16.43,36.11
16.49,36.11
16.56,36.11
16.62,36.11
16.69,36.11
16.75,36.11
16.82,36.11
16.88,36.11
16.95,36.11
17.01,36.09
17.07,36.55
17.14,36.11
17.20,36.09
17.27,36.11
17.33,36.11
17.40,36.11
17.46,36.11
17.53,36.09
17.59,36.11
17.65,36.11
17.72,36.11
17.78,36.11
17.85,36.11
17.91,36.11
17.98,36.12
18.04,36.11
18.11,36.11
18.17,36.11
18.23,36.11
18.30,36.09
18.36,36.11
18.43,36.11
18.49,36.09
18.56,36.11
18.62,36.11
18.69,36.11
18.75,36.09
18.81,36.11
18.88,36.11
18.94,36.09
19.01,36.09
19.07,36.11
19.14,36.11
19.20,36.11
19.27,36.11
19.33,36.11
19.39,36.11
19.46,36.55
19.52,36.11
19.59,36.11
19.65,36.09
19.72,36.57
19.78,36.09
19.85,36.11
