angolo,distanza
211.03,59.82
211.99,59.26
212.94,59.84
213.90,60.25
214.85,60.67
215.81,60.38
216.76,60.25
217.72,59.84
218.67,59.98
219.63,59.70
220.58,59.70
221.54,60.25
222.49,60.94
223.45,60.11
224.40,60.67
225.36,60.79
226.31,61.51
227.27,61.23
228.22,61.78
229.18,61.78
230.13,61.35
231.09,61.37
232.04,61.37
233.00,61.51
233.95,61.44
234.91,61.51
235.86,63.04
236.82,70.38
237.77,70.38
238.73,70.82
239.68,70.84
240.64,70.38
241.59,70.84
242.55,70.84
243.50,71.42
244.46,70.82
245.41,70.84
246.37,70.40
247.32,70.40
248.28,70.84
249.23,70.82
250.19,70.86
251.14,70.84
252.10,70.48
253.05,70.40
254.01,70.82
254.96,70.82
255.92,70.48
256.87,70.84
257.82,70.84
258.78,70.84
259.73,70.82
260.69,70.84
261.64,70.48
262.60,70.46
263.55,70.02
264.51,70.46
265.46,70.82
266.42,70.46
267.37,70.46
268.33,70.46
269.28,70.46
270.24,70.48
271.19,70.46
272.15,70.48
273.10,70.48
274.06,70.46
275.01,70.46
275.97,70.48
276.92,70.46
277.88,70.41
278.83,70.46
279.79,70.02
280.74,70.82
281.70,70.46
282.65,70.46
283.61,70.46
284.56,70.84
285.52,70.48
286.47,70.46
287.43,70.48
288.38,70.46
289.34,70.46
290.29,70.84
291.25,70.84
292.20,70.48
293.16,70.84
294.11,70.46
295.07,70.46
296.02,70.46
296.98,70.48
297.93,70.84
298.89,70.72
299.84,70.84
300.80,70.84
301.75,70.84
302.71,70.84
303.66,70.46
304.62,70.46
305.57,70.84
306.53,70.48
307.48,70.84
308.44,70.82
309.39,70.84
310.34,70.46
311.30,70.48
312.25,70.46
313.21,70.46
314.16,70.82
315.12,70.82
316.07,70.82
317.03,70.84
317.98,70.82
318.94,70.46
319.89,70.82
320.85,70.82
321.80,70.84
322.76,70.75
323.71,70.40
324.67,70.84
325.62,70.82
326.58,70.46
327.53,70.84
328.49,70.82
329.44,70.84
330.40,70.84
331.35,70.82
332.31,70.40
333.26,70.46
334.22,70.82
335.17,70.46
336.13,70.84
337.08,70.81
338.04,70.82
338.99,70.46
339.95,70.82
340.90,70.46
341.86,70.84
342.81,70.46
343.77,70.82
344.72,70.82
345.68,70.84
346.63,70.40
347.59,70.48
348.54,70.84
349.50,70.82
350.45,70.40
351.41,70.84
352.36,70.82
353.32,70.82
354.27,70.82
355.23,70.46
356.18,70.84
357.14,70.82
358.09,70.38
359.05,70.82
360.00,70.87
