angolo,distanza
0.95,89.54
1.91,89.18
2.86,89.13
3.82,88.71
4.77,89.15
5.73,89.17
6.68,89.52
7.64,89.15
8.59,89.17
9.55,89.96
10.50,89.52
11.46,89.52
12.41,89.15
13.37,89.96
14.32,89.52
15.28,89.52
16.23,89.15
17.19,88.72
18.14,89.50
19.10,89.17
20.05,89.52
21.01,89.17
21.96,89.17
22.92,88.28
23.87,88.81
24.83,88.72
25.78,88.72
26.74,88.71
27.69,89.50
28.65,89.17
29.60,89.50
30.56,89.96
31.51,89.50
32.47,89.88
33.42,89.93
34.38,91.46
35.33,90.75
36.29,90.58
37.24,90.03
38.20,90.68
39.15,90.03
40.11,62.32
41.06,62.19
42.02,60.62
42.97,61.51
43.93,60.11
44.88,59.55
45.84,59.30
46.79,59.28
47.75,59.13
48.70,59.55
49.66,59.13
50.61,60.37
51.56,59.30
52.52,59.43
53.47,59.82
54.43,60.25
55.38,59.70
56.34,60.11
57.29,59.82
58.25,61.18
59.20,85.00
60.16,86.94
61.11,87.67
62.07,87.92
63.02,88.45
63.98,88.89
64.93,91.29
65.89,93.06
66.84,158.42
67.80,158.34
68.75,158.15
69.71,157.54
70.66,157.37
71.62,148.14
72.57,97.75
73.53,96.70
74.48,148.24
75.44,95.27
76.39,95.18
77.35,95.17
78.30,94.64
79.26,94.01
80.21,93.14
81.17,91.90
82.12,91.71
83.08,49.11
84.03,49.44
84.99,48.94
85.94,48.94
86.90,48.57
87.85,48.18
88.81,17.39
89.76,15.83
90.72,48.19
91.67,48.18
92.63,48.19
93.58,48.77
94.54,49.45
95.49,49.28
96.45,88.69
97.40,88.91
98.36,89.17
99.31,89.42
100.27,89.71
101.22,89.96
102.18,90.05
103.13,90.05
104.08,90.03
105.04,90.05
105.99,90.07
106.95,90.07
107.90,90.13
108.86,90.24
109.81,90.32
110.77,90.39
111.72,90.41
112.68,90.39
113.63,90.93
114.59,91.10
115.54,90.47
116.50,91.02
117.45,91.29
118.41,91.54
119.36,60.79
120.32,59.42
121.27,58.85
122.23,58.70
123.18,59.28
124.14,59.98
125.09,56.35
126.05,16.75
127.00,16.44
127.96,16.12
128.91,16.76
129.87,16.12
130.82,15.49
131.78,15.81
132.73,15.49
133.69,14.47
134.64,13.45
135.60,14.14
136.55,14.81
137.51,13.79
138.46,14.47
139.42,13.46
140.37,13.79
141.33,14.13
142.28,15.81
143.24,15.79
144.19,15.81
145.15,16.12
146.10,16.13
147.06,16.12
148.01,53.33
148.97,55.42
149.92,55.54
150.88,55.35
151.83,55.66
152.79,55.93
153.74,60.66
154.69,55.51
155.65,61.22
156.60,61.37
157.56,58.31
158.51,53.33
159.47,52.31
160.42,53.35
161.38,52.65
162.33,51.82
163.29,38.13
164.24,37.45
165.20,36.77
166.15,36.55
167.11,35.85
168.06,35.63
169.02,37.01
169.97,35.85
170.93,57.46
171.88,56.76
172.84,59.98
173.79,56.08
174.75,55.66
175.70,55.66
176.66,55.81
177.61,55.52
178.57,55.66
179.52,55.33
180.48,55.20
181.43,44.23
182.39,56.78
183.34,55.79
184.30,55.52
185.25,55.66
186.21,38.15
187.16,38.15
188.12,37.69
189.07,36.31
190.03,36.33
190.98,36.33
191.94,35.65
192.89,35.65
193.85,35.41
194.80,35.16
195.76,34.90
196.71,35.16
197.67,35.39
198.62,35.16
199.58,34.14
200.53,34.88
201.49,35.41
202.44,61.37
203.40,35.65
204.35,62.34
205.31,62.07
206.26,35.63
207.21,36.67
208.17,60.38
209.12,59.84
210.08,59.69
