s,distanza
0.08,283.42
0.15,281.84
0.23,280.65
0.30,279.48
0.38,279.07
0.45,278.51
0.53,128.95
0.61,126.55
0.68,125.39
0.76,124.24
0.83,270.08
0.91,268.23
0.98,266.97
1.06,265.73
1.14,264.23
1.21,263.09
1.29,262.26
1.36,261.31
1.44,259.86
1.52,258.30
1.59,256.16
1.67,255.15
1.74,251.72
1.82,251.26
1.89,249.03
1.97,247.26
2.05,245.41
2.12,244.87
2.20,243.17
2.27,240.77
2.35,-1.00
2.42,-1.00
2.50,236.35
2.58,235.35
2.65,234.02
2.73,232.07
2.80,230.55
2.88,229.74
2.95,228.75
3.03,227.26
3.11,-1.00
3.18,-1.00
3.26,-1.00
3.33,-1.00
3.41,218.89
3.48,-1.00
3.56,-1.00
3.64,608.65
3.71,-1.00
3.79,-1.00
3.86,604.06
3.94,602.36
4.02,-1.00
4.09,597.99
4.17,597.09
4.24,592.88
4.32,591.70
4.39,588.39
4.47,586.18
4.55,584.12
4.62,532.90
4.70,-1.00
4.77,369.55
4.85,-1.00
4.92,-1.00
5.00,521.98
5.08,-1.00
5.15,-1.00
5.23,-1.00
5.30,-1.00
5.38,-1.00
5.45,-1.00
5.53,505.94
5.61,504.10
5.68,502.50
5.76,501.13
5.83,497.17
5.91,496.20
5.98,494.12
6.06,483.48
6.14,491.88
6.21,487.54
6.29,484.94
6.36,481.68
6.44,479.65
6.52,476.14
6.59,474.27
6.67,141.73
6.74,471.58
6.82,470.98
6.89,475.52
6.97,211.34
7.05,207.60
7.12,205.56
7.20,204.05
7.27,201.37
7.35,200.68
7.42,200.41
7.50,198.02
7.58,197.30
7.65,452.49
7.73,192.76
7.80,446.76
7.88,186.98
7.95,440.88
8.03,55.98
8.11,436.42
8.18,434.28
8.26,432.72
8.33,430.20
8.41,428.60
8.48,426.43
8.56,425.10
8.64,422.64
8.71,420.78
8.79,419.05
8.86,419.34
8.94,417.62
9.02,413.97
9.09,412.98
9.17,260.85
9.24,409.34
9.32,406.32
9.39,151.40
9.47,403.31
9.55,401.03
9.62,147.05
9.70,397.80
9.77,395.59
9.85,393.79
9.92,301.63
10.00,388.81
10.08,386.21
10.15,379.03
10.23,159.78
10.30,290.94
10.38,373.20
10.45,369.67
10.53,285.11
10.61,283.07
10.68,281.37
10.76,360.20
10.83,357.73
10.91,273.27
10.98,361.79
11.06,359.80
11.14,358.09
11.21,355.84
11.29,346.09
11.36,352.83
11.44,350.10
11.52,257.45
11.59,254.61
11.67,344.22
11.74,343.08
11.82,340.22
11.89,338.44
11.97,243.97
12.05,242.44
12.12,332.28
12.20,330.99
12.27,62.83
12.35,99.08
12.42,313.73
12.50,230.86
12.58,228.99
12.65,226.49
12.73,223.87
12.80,222.05
12.88,219.23
12.95,217.74
13.03,214.79
13.11,212.74
13.18,292.11
13.26,208.64
13.33,196.13
13.41,58.38
13.48,84.25
13.56,201.30
13.64,197.47
13.71,197.18
13.79,194.21
13.86,191.96
13.94,191.61
14.02,71.18
14.09,185.74
14.17,183.80
14.24,181.75
14.32,178.89
14.39,59.23
14.47,58.38
14.55,56.15
14.62,170.73
14.70,166.65
14.77,164.99
14.85,162.06
14.92,160.51
15.00,158.37
15.08,156.01
15.15,153.51
15.23,151.01
15.30,148.68
15.38,146.68
15.45,57.26
15.53,141.22
15.61,138.63
15.68,136.87
15.76,135.18
15.83,133.65
15.91,131.78
15.98,130.03
16.06,128.06
16.14,125.41
16.21,123.35
16.29,121.12
16.36,118.35
16.44,117.13
16.52,115.00
16.59,114.73
16.67,114.72
16.74,115.09
16.82,114.63
16.89,115.00
16.97,114.92
17.05,114.92
17.12,114.92
17.20,114.90
17.27,114.90
17.35,115.18
17.42,114.90
17.50,115.38
17.58,57.12
17.65,110.36
17.73,108.43
17.80,107.00
17.88,105.30
17.95,103.97
18.03,102.80
18.11,102.00
18.18,101.03
18.26,99.79
18.33,98.38
18.41,96.78
18.48,95.00
18.56,93.13
18.64,91.09
18.71,89.03
18.79,87.41
18.86,86.00
18.94,85.14
19.02,56.42
19.09,55.86
19.17,80.87
19.24,79.53
19.32,77.30
19.39,75.26
19.47,73.64
19.55,71.88
19.62,70.28
19.70,69.31
19.77,66.89
19.85,65.21
19.92,63.26
20.00,61.28
20.08,59.76
20.15,58.11
20.23,56.41
20.30,55.71
20.38,56.00
20.45,56.00
20.53,55.56
20.61,55.54
20.68,55.54
20.76,55.54
20.83,55.56
20.91,55.71
20.98,55.86
21.06,55.73
21.14,55.71
21.21,55.71
21.29,52.84
21.36,48.94
21.44,47.74
21.52,45.95
21.59,45.37
21.67,43.76
21.74,43.78
21.82,43.38
21.89,43.18
21.97,42.38
22.05,43.18
22.12,41.24
22.20,39.87
22.27,39.66
22.35,37.81
22.42,37.13
22.50,35.02
22.58,32.71
22.65,30.89
22.73,29.34
22.80,28.25
22.88,26.52
22.95,24.51
23.03,22.78
23.11,21.27
23.18,19.36
23.26,17.12
23.33,16.18
23.41,14.86
23.48,12.15
23.56,10.45
23.64,9.44
23.71,6.48
23.79,5.18
23.86,4.54
23.94,4.54
24.02,3.89
24.09,2.30
24.17,1.65
24.24,2.62
24.32,2.62
24.39,2.62
24.47,2.63
24.55,2.62
24.62,2.62
24.70,2.62
24.77,2.60
24.85,2.62
24.92,2.62
25.00,2.62
