angolo,distanza,x,y
0.95,64.19,64.18,1.07
1.90,64.16,64.12,2.13
2.86,64.31,64.23,3.21
3.81,64.29,64.15,4.27
4.76,64.45,64.22,5.35
5.71,63.61,63.30,6.33
6.67,64.29,63.86,7.46
7.62,63.60,63.04,8.43
8.57,63.75,63.04,9.50
9.52,64.72,63.83,10.71
10.48,65.28,64.19,11.87
11.43,64.45,63.17,12.77
12.38,65.84,64.31,14.12
13.33,65.82,64.05,15.18
14.29,68.97,66.84,17.02
15.24,66.13,63.80,17.38
16.19,77.84,74.76,21.71
17.14,77.15,73.72,22.74
18.10,76.79,72.99,23.85
19.05,76.79,72.58,25.06
20.00,76.16,71.57,26.05
20.95,76.09,71.06,27.21
21.90,76.25,70.74,28.44
22.86,76.36,70.37,29.66
23.81,75.97,69.51,30.67
24.76,75.99,69.00,31.83
25.71,75.97,68.45,32.96
26.67,75.99,67.91,34.10
27.62,75.79,67.15,35.13
28.57,76.01,66.75,36.35
29.52,75.99,66.12,37.45
30.48,75.90,65.42,38.50
31.43,75.90,64.77,39.58
32.38,75.89,64.09,40.64
33.33,75.90,63.42,41.71
34.29,75.46,62.35,42.51
35.24,75.82,61.93,43.75
36.19,75.80,61.18,44.76
37.14,75.46,60.15,45.56
38.10,75.89,59.72,46.82
39.05,75.46,58.61,47.54
40.00,75.45,57.79,48.50
40.95,75.48,57.01,49.47
41.90,75.46,56.16,50.40
42.86,75.45,55.31,51.32
43.81,75.46,54.46,52.24
44.76,75.38,53.52,53.08
45.71,74.94,52.32,53.64
46.67,74.83,51.35,54.43
47.62,75.19,50.68,55.54
48.57,75.28,49.81,56.44
49.52,75.63,49.10,57.53
50.48,75.65,48.14,58.35
51.43,75.63,47.16,59.13
52.38,75.28,45.95,59.63
53.33,75.19,44.90,60.31
54.29,74.90,43.72,60.82
55.24,74.85,42.68,61.49
56.19,74.94,41.70,62.26
57.14,74.92,40.65,62.93
58.10,74.92,39.60,63.60
59.05,74.58,38.36,63.96
60.00,74.58,37.29,64.59
60.95,74.68,36.26,65.29
61.90,74.75,35.20,65.94
62.86,74.83,34.14,66.59
63.81,74.83,33.03,67.15
64.76,75.28,32.10,68.09
65.71,75.46,31.04,68.78
66.67,75.90,30.06,69.70
67.62,75.99,28.93,70.27
68.57,76.87,28.09,71.56
69.52,77.13,26.98,72.26
70.48,76.87,25.69,72.45
71.43,75.94,24.19,71.98
72.38,77.04,23.32,73.43
73.33,77.06,22.10,73.82
74.29,77.15,20.89,74.26
75.24,77.67,19.79,75.11
76.19,76.52,18.26,74.31
77.14,76.52,17.03,74.60
78.10,76.69,15.82,75.04
79.05,76.69,14.57,75.29
80.00,77.04,13.38,75.87
80.95,76.62,12.05,75.67
81.90,77.50,10.91,76.73
82.86,77.23,9.60,76.63
83.81,77.35,8.34,76.90
84.76,76.87,7.02,76.55
85.71,77.83,5.82,77.61
86.67,77.93,4.53,77.80
87.62,78.91,3.28,78.85
88.57,77.86,1.94,77.84
89.52,90.17,0.75,90.16
90.48,64.86,-0.54,64.85
91.43,64.86,-1.62,64.83
92.38,77.94,-3.24,77.88
93.33,64.04,-3.72,63.93
94.29,63.48,-4.74,63.30
95.24,62.92,-5.74,62.65
96.19,63.05,-6.80,62.69
97.14,62.34,-7.75,61.86
98.10,62.36,-8.78,61.73
99.05,61.66,-9.70,60.89
100.00,61.52,-10.68,60.59
100.95,61.52,-11.69,60.40
101.90,60.81,-12.54,59.50
102.86,61.10,-13.60,59.57
103.81,60.67,-14.48,58.92
104.76,60.69,-15.46,58.69
105.71,60.69,-16.44,58.42
106.67,60.67,-17.40,58.12
107.62,60.69,-18.37,57.84
108.57,60.69,-19.33,57.53
109.52,60.69,-20.28,57.20
110.48,60.69,-21.23,56.86
111.43,60.67,-22.17,56.48
112.38,60.98,-23.22,56.39
113.33,60.40,-23.92,55.46
114.29,60.40,-24.84,55.06
115.24,59.99,-25.58,54.27
116.19,60.26,-26.60,54.08
117.14,59.86,-27.31,53.27
118.10,59.86,-28.19,52.80
119.05,59.86,-29.06,52.33
120.00,59.86,-29.93,51.84
120.95,59.84,-30.78,51.32
121.90,59.86,-31.63,50.81
122.86,59.86,-32.48,50.28
123.81,59.84,-33.30,49.72
124.76,59.86,-34.13,49.17
125.71,59.86,-34.94,48.60
126.67,60.13,-35.91,48.23
127.62,60.13,-36.70,47.63
128.57,59.70,-37.22,46.68
129.52,59.72,-38.01,46.07
130.48,59.70,-38.76,45.42
131.43,59.70,-39.51,44.76
132.38,60.13,-40.53,44.42
133.33,59.70,-40.97,43.43
134.29,60.13,-41.98,43.04
135.24,59.72,-42.40,42.05
136.19,60.15,-43.40,41.64
137.14,60.13,-44.08,40.90
138.10,60.13,-44.75,40.16
139.05,60.13,-45.41,39.41
140.00,59.86,-45.85,38.48
140.95,59.84,-46.47,37.70
141.90,59.86,-47.11,36.93
142.86,60.26,-48.04,36.39
143.81,59.99,-48.42,35.42
144.76,60.40,-49.33,34.85
145.71,60.55,-50.03,34.11
146.67,60.54,-50.58,33.27
147.62,60.69,-51.25,32.50
148.57,60.83,-51.90,31.72
149.52,60.83,-52.42,30.85
150.48,60.96,-53.05,30.04
151.43,61.10,-53.66,29.22
152.38,61.23,-54.26,28.39
153.33,61.79,-55.22,27.73
154.29,61.44,-55.35,26.66
155.24,62.65,-56.89,26.24
156.19,62.65,-57.31,25.29
157.14,62.92,-57.98,24.44
158.10,63.07,-58.52,23.53
159.05,64.58,-60.31,23.09
160.00,64.74,-60.83,22.14
160.95,63.89,-60.39,20.85
161.90,65.42,-62.18,20.32
162.86,73.41,-70.14,21.64
163.81,72.61,-69.73,20.25
164.76,72.81,-70.25,19.14
165.71,72.71,-70.46,17.94
166.67,72.10,-70.15,16.63
167.62,72.27,-70.59,15.49
168.57,71.38,-69.97,14.14
169.52,72.18,-70.98,13.12
170.48,69.73,-68.77,11.54
171.43,71.38,-70.59,10.64
172.38,71.13,-70.50,9.43
173.33,70.94,-70.46,8.24
174.29,70.29,-69.95,7.00
175.24,70.14,-69.90,5.82
176.19,69.87,-69.72,4.64
177.14,69.79,-69.70,3.48
178.10,69.70,-69.66,2.32
179.05,69.60,-69.59,1.16
180.00,69.61,-69.61,-0.00
180.95,69.51,-69.50,-1.16
181.90,69.09,-69.05,-2.30
182.86,69.00,-68.92,-3.44
183.81,68.90,-68.75,-4.58
184.76,55.66,-55.47,-4.62
185.71,68.76,-68.42,-6.85
186.67,68.76,-68.30,-7.98
187.62,68.75,-68.14,-9.12
188.57,68.63,-67.86,-10.23
189.52,57.48,-56.68,-9.51
190.48,57.48,-56.52,-10.45
191.43,56.22,-55.10,-11.14
192.38,68.90,-67.30,-14.77
193.33,68.92,-67.06,-15.89
194.29,68.90,-66.77,-17.00
195.24,68.49,-66.08,-18.00
196.19,55.67,-53.47,-15.52
197.14,55.67,-53.20,-16.41
198.10,55.67,-52.92,-17.29
199.05,55.67,-52.63,-18.17
200.00,55.67,-52.32,-19.04
200.95,68.48,-63.95,-24.49
201.90,68.90,-63.93,-25.70
202.86,68.90,-63.49,-26.76
203.81,55.67,-50.94,-22.48
204.76,55.67,-50.56,-23.32
205.71,68.75,-61.94,-29.83
206.67,68.76,-61.45,-30.86
207.62,68.90,-61.05,-31.94
208.57,68.90,-60.51,-32.95
209.52,68.90,-59.95,-33.95
210.48,68.99,-59.45,-34.99
211.43,68.99,-58.87,-35.97
212.38,68.99,-58.26,-36.95
213.33,68.63,-57.34,-37.71
214.29,68.63,-56.70,-38.66
215.24,69.00,-56.36,-39.81
216.19,69.09,-55.76,-40.79
217.14,69.19,-55.15,-41.78
218.10,69.16,-54.42,-42.67
219.05,69.17,-53.72,-43.58
220.00,69.34,-53.12,-44.57
220.95,69.34,-52.37,-45.45
221.90,69.44,-51.68,-46.38
222.86,69.60,-51.02,-47.34
223.81,69.70,-50.30,-48.25
