angolo,distanza,x,y
0.95,57.77,57.76,0.96
1.90,57.77,57.73,1.92
2.86,57.75,57.68,2.88
3.81,57.75,57.62,3.84
4.76,57.75,57.55,4.79
5.71,57.32,57.04,5.71
6.67,57.75,57.36,6.70
7.62,57.34,56.83,7.60
8.57,57.32,56.68,8.54
9.52,57.75,56.95,9.56
10.48,57.32,56.37,10.42
11.43,57.75,56.60,11.44
12.38,57.77,56.42,12.39
13.33,57.32,55.78,13.22
14.29,57.27,55.50,14.13
15.24,57.34,55.33,15.07
16.19,57.32,55.05,15.98
17.14,57.32,54.78,16.90
18.10,57.77,54.91,17.94
19.05,57.77,54.60,18.85
20.00,57.34,53.88,19.61
20.95,57.32,53.53,20.50
21.90,57.75,53.58,21.54
22.86,57.95,53.40,22.51
23.81,57.32,52.45,23.14
24.76,57.77,52.45,24.20
25.71,57.75,52.03,25.06
26.67,57.32,51.23,25.73
27.62,57.32,50.79,26.57
28.57,57.77,50.73,27.63
29.52,57.32,49.88,28.25
30.48,57.34,49.42,29.08
31.43,57.34,48.93,29.90
32.38,57.75,48.77,30.93
33.33,57.77,48.26,31.74
34.29,57.32,47.36,32.29
35.24,57.75,47.17,33.32
36.19,57.77,46.62,34.11
37.14,57.34,45.71,34.62
38.10,57.77,45.46,35.64
39.05,57.34,44.53,36.12
40.00,57.75,44.24,37.12
40.95,57.19,43.19,37.48
41.90,58.99,43.90,39.40
42.86,57.19,41.92,38.90
43.81,57.21,41.28,39.60
44.76,56.44,40.07,39.74
45.71,57.19,39.93,40.94
46.67,57.19,39.24,41.60
47.62,57.61,38.83,42.56
48.57,57.19,37.84,42.88
49.52,57.61,37.40,43.82
50.48,57.19,36.39,44.11
51.43,57.21,35.67,44.72
52.38,57.19,34.91,45.30
53.33,57.19,34.15,45.87
54.29,57.19,33.38,46.43
55.24,57.75,32.93,47.44
56.19,57.32,31.90,47.63
57.14,57.75,31.33,48.51
58.10,56.90,30.07,48.30
59.05,56.92,29.27,48.81
60.00,57.32,28.66,49.64
60.95,58.60,28.45,51.23
61.90,57.61,27.13,50.82
62.86,57.05,26.03,50.77
63.81,57.34,25.31,51.45
64.76,56.78,24.21,51.36
65.71,56.64,23.30,51.63
66.67,56.22,22.27,51.62
67.62,57.48,21.89,53.15
68.57,56.51,20.64,52.60
69.52,58.31,20.40,54.63
70.48,59.57,19.91,56.14
71.43,56.49,17.99,53.55
72.38,57.75,17.48,55.04
73.33,57.75,16.56,55.32
74.29,57.34,15.53,55.20
75.24,58.17,14.82,56.25
76.19,57.32,13.68,55.67
77.14,57.34,12.76,55.90
78.10,57.75,11.91,56.51
79.05,57.75,10.97,56.70
80.00,57.75,10.03,56.87
80.95,58.19,9.15,57.47
81.90,57.32,8.07,56.75
82.86,57.75,7.18,57.30
83.81,57.77,6.23,57.43
84.76,57.75,5.27,57.51
85.71,56.78,4.24,56.62
86.67,57.61,3.35,57.52
87.62,57.88,2.40,57.84
88.57,56.49,1.41,56.47
89.52,83.69,0.70,83.69
90.48,56.78,-0.47,56.78
91.43,57.48,-1.43,57.46
92.38,83.69,-3.48,83.62
93.33,83.49,-4.85,83.35
94.29,83.74,-6.26,83.51
95.24,83.95,-7.66,83.60
96.19,84.54,-9.12,84.05
97.14,84.22,-10.47,83.56
98.10,86.17,-12.13,85.31
99.05,86.34,-13.58,85.27
100.00,85.19,-14.79,83.89
100.95,86.17,-16.37,84.60
101.90,166.06,-34.25,162.48
102.86,165.00,-36.72,160.87
103.81,165.17,-39.43,160.40
104.76,165.02,-42.05,159.57
105.71,164.37,-44.52,158.23
106.67,164.29,-47.12,157.39
107.62,156.88,-47.48,149.52
108.57,157.66,-50.21,149.45
109.52,157.11,-52.51,148.08
110.48,110.87,-38.79,103.87
111.43,109.45,-39.99,101.88
112.38,108.73,-41.40,100.54
113.33,63.73,-25.24,58.52
114.29,62.22,-25.59,56.71
115.24,62.07,-26.46,56.14
116.19,61.64,-27.21,55.31
117.14,62.47,-28.50,55.59
118.10,61.93,-29.17,54.63
119.05,61.51,-29.86,53.77
120.00,61.51,-30.75,53.27
120.95,61.91,-31.84,53.10
121.90,62.58,-33.07,53.12
122.86,60.94,-33.07,51.20
123.81,60.96,-33.92,50.65
124.76,60.78,-34.65,49.93
125.71,60.81,-35.50,49.37
126.67,61.22,-36.56,49.10
127.62,62.07,-37.89,49.16
128.57,62.07,-38.70,48.53
129.52,62.05,-39.49,47.86
130.48,62.47,-40.55,47.52
131.43,62.90,-41.62,47.16
132.38,60.67,-40.90,44.82
133.33,60.67,-41.64,44.13
134.29,61.10,-42.66,43.74
135.24,61.93,-43.97,43.61
136.19,60.54,-43.69,41.91
137.14,59.99,-43.98,40.81
138.10,60.26,-44.85,40.25
139.05,60.67,-45.82,39.77
140.00,59.94,-45.92,38.53
140.95,62.20,-48.31,39.19
141.90,62.07,-48.85,38.29
142.86,59.98,-47.81,36.21
143.81,59.31,-47.87,35.02
144.76,61.91,-50.57,35.72
145.71,60.11,-49.67,33.86
146.67,60.11,-50.22,33.03
147.62,61.93,-52.30,33.17
148.57,61.51,-52.48,32.07
149.52,61.08,-52.64,30.98
150.48,103.36,-89.94,50.93
151.43,103.24,-90.67,49.38
152.38,103.26,-91.49,47.87
153.33,103.17,-92.20,46.30
154.29,103.17,-92.96,44.77
155.24,103.09,-93.61,43.18
156.19,103.09,-94.31,41.62
157.14,103.09,-94.99,40.04
158.10,103.09,-95.65,38.46
159.05,102.99,-96.18,36.83
160.00,103.00,-96.79,35.23
160.95,102.90,-97.27,33.58
161.90,102.90,-97.81,31.96
162.86,102.68,-98.12,30.27
163.81,102.82,-98.74,28.67
164.76,102.73,-99.12,27.00
165.71,102.73,-99.55,25.35
166.67,102.66,-99.90,23.68
167.62,102.65,-100.26,22.01
168.57,103.09,-101.04,20.43
169.52,103.11,-101.39,18.75
170.48,102.82,-101.40,17.01
171.43,102.65,-101.50,15.30
172.38,103.28,-102.36,13.69
173.33,103.26,-102.56,11.99
174.29,103.34,-102.83,10.29
175.24,103.34,-102.99,8.58
176.19,103.89,-103.66,6.90
177.14,83.33,-83.23,4.15
178.10,81.99,-81.95,2.73
179.05,73.32,-73.31,1.22
180.00,71.74,-71.74,-0.00
180.95,72.88,-72.87,-1.21
181.90,72.00,-71.96,-2.39
182.86,71.55,-71.46,-3.57
183.81,72.88,-72.72,-4.84
184.76,93.16,-92.84,-7.73
185.71,72.27,-71.91,-7.20
186.67,71.67,-71.19,-8.32
187.62,70.48,-69.86,-9.34
188.57,70.04,-69.26,-10.44
189.52,69.96,-68.99,-11.57
190.48,69.51,-68.35,-12.64
191.43,69.51,-68.13,-13.77
192.38,69.43,-67.81,-14.89
193.33,29.24,-28.45,-6.74
194.29,29.24,-28.34,-7.22
195.24,28.73,-27.72,-7.55
196.19,28.71,-27.57,-8.01
197.14,29.51,-28.20,-8.70
198.10,28.99,-27.55,-9.00
199.05,29.24,-27.64,-9.54
200.00,29.24,-27.48,-10.00
200.95,28.73,-26.83,-10.27
201.90,29.24,-27.13,-10.91
202.86,29.24,-26.94,-11.36
203.81,29.24,-26.75,-11.80
204.76,28.71,-26.07,-12.03
205.71,29.24,-26.34,-12.69
206.67,29.24,-26.13,-13.12
207.62,29.24,-25.91,-13.56
208.57,28.99,-25.46,-13.86
209.52,60.13,-52.32,-29.63
210.48,59.98,-51.69,-30.42
211.43,59.69,-50.93,-31.12
212.38,55.66,-47.00,-29.81
213.33,56.22,-46.97,-30.89
214.29,55.03,-45.47,-31.00
215.24,54.18,-44.25,-31.26
216.19,55.01,-44.40,-32.48
217.14,48.94,-39.01,-29.55
218.10,55.52,-43.70,-34.26
219.05,54.69,-42.47,-34.45
220.00,45.61,-34.94,-29.32
220.95,45.20,-34.14,-29.63
221.90,44.81,-33.35,-29.93
222.86,45.61,-33.44,-31.02
223.81,46.02,-33.21,-31.86
224.76,45.20,-32.10,-31.83
225.71,44.42,-31.02,-31.80
226.67,55.35,-37.98,-40.26
227.62,54.84,-36.97,-40.51
228.57,45.02,-29.79,-33.75
229.52,45.00,-29.21,-34.23
230.48,43.23,-27.51,-33.35
231.43,42.84,-26.71,-33.49
232.38,43.23,-26.39,-34.24
233.33,43.62,-26.05,-34.99
234.29,42.43,-24.77,-34.45
235.24,42.01,-23.95,-34.51
236.19,42.01,-23.37,-34.90
237.14,42.02,-22.80,-35.30
238.10,42.01,-22.20,-35.66
239.05,42.01,-21.61,-36.03
