s,distanza
0.07,129.00
0.14,127.94
0.22,126.60
0.29,125.71
0.36,125.10
0.43,124.92
0.51,124.32
0.58,123.32
0.65,122.16
0.72,121.82
0.80,268.77
0.87,267.27
0.94,119.24
1.01,265.51
1.09,117.35
1.16,116.93
1.23,262.87
1.30,261.34
1.38,260.12
1.45,258.42
1.52,257.18
1.59,255.19
1.67,253.79
1.74,251.84
1.81,249.97
1.88,248.35
1.96,246.74
2.03,245.60
2.10,244.51
2.17,242.20
2.25,241.25
2.32,239.94
2.39,238.66
2.46,238.60
2.54,236.44
2.61,-1.00
2.68,-1.00
2.75,230.03
2.83,227.12
2.90,224.54
2.97,222.50
3.04,-1.00
3.12,-1.00
3.19,608.97
3.26,212.53
3.33,210.07
3.41,602.65
3.48,601.24
3.55,599.18
3.62,597.60
3.70,593.62
3.77,591.23
3.84,588.59
3.91,586.11
3.99,583.47
4.06,473.50
4.13,471.53
4.20,57.95
4.28,466.89
4.35,463.74
4.42,460.72
4.49,457.86
4.57,456.60
4.64,453.30
4.71,450.92
4.78,449.72
4.86,446.81
4.93,443.90
5.00,406.05
5.07,439.02
5.14,436.41
5.22,433.89
5.29,431.53
5.36,429.39
5.43,427.28
5.51,425.75
5.58,423.67
5.65,421.01
5.72,418.52
5.80,415.94
5.87,214.78
5.94,214.27
6.01,210.99
6.09,209.20
6.16,206.98
6.23,205.56
6.30,203.24
6.38,201.09
6.45,199.43
6.52,197.57
6.59,196.23
6.67,194.89
6.74,191.96
6.81,191.42
6.88,189.99
6.96,188.21
7.03,186.44
7.10,184.38
7.17,183.16
7.25,181.73
7.32,180.03
7.39,178.26
7.46,176.66
7.54,370.43
7.61,367.32
7.68,365.16
7.75,362.58
7.83,359.91
7.90,358.12
7.97,356.46
8.04,353.92
8.12,352.17
8.19,159.24
8.26,99.79
8.33,153.97
8.41,151.67
8.48,150.20
8.55,147.58
8.62,145.47
8.70,144.21
8.77,142.68
8.84,140.93
8.91,140.13
8.99,138.98
9.06,325.16
9.13,323.10
9.20,320.54
9.28,317.92
9.35,315.95
9.42,313.16
9.49,310.95
9.57,307.79
9.64,305.08
9.71,302.65
9.78,300.02
9.86,297.62
9.93,295.15
10.00,292.30
10.07,290.45
10.14,288.32
10.22,285.89
10.29,284.73
10.36,282.81
10.43,280.45
10.51,277.88
10.58,275.47
10.65,273.00
10.72,270.83
10.80,268.36
10.87,266.25
10.94,264.21
11.01,261.90
11.09,259.93
11.16,257.69
11.23,255.53
11.30,252.57
11.38,248.39
11.45,245.70
11.52,242.25
11.59,238.93
11.67,236.18
11.74,62.99
11.81,232.22
11.88,230.18
11.96,228.58
12.03,226.51
12.10,224.38
12.17,221.93
12.25,219.79
12.32,217.57
12.39,215.30
12.46,213.30
12.54,211.12
12.61,208.66
12.68,205.63
12.75,203.69
12.83,57.66
12.90,56.83
12.97,195.79
13.04,192.85
13.12,189.92
13.19,187.27
13.26,184.67
13.33,182.09
13.41,179.79
13.48,176.87
13.55,173.84
13.62,170.53
13.70,168.13
13.77,165.55
13.84,163.17
13.91,161.47
13.99,159.24
14.06,157.10
14.13,155.18
14.20,152.76
14.28,150.38
14.35,147.30
14.42,144.77
14.49,140.95
14.57,138.01
14.64,135.27
14.71,132.57
14.78,129.83
14.86,127.33
14.93,124.95
15.00,122.79
15.07,120.67
15.14,118.27
15.22,58.51
15.29,114.17
15.36,112.30
15.43,110.89
15.51,109.11
15.58,107.78
15.65,106.18
15.72,104.58
15.80,102.61
15.87,100.93
15.94,98.87
16.01,97.21
16.09,95.34
16.16,93.58
16.23,92.24
16.30,90.54
16.38,88.94
16.45,87.26
16.52,85.85
16.59,58.92
16.67,82.91
16.74,81.29
16.81,79.63
16.88,78.20
16.96,76.69
17.03,74.73
17.10,72.69
17.17,70.53
17.25,68.85
17.32,67.18
17.39,65.21
17.46,62.97
17.54,61.59
17.61,59.21
17.68,57.80
17.75,56.27
17.83,54.52
17.90,53.18
17.97,51.49
18.04,48.94
18.12,47.36
18.19,45.78
18.26,43.78
18.33,42.38
18.41,39.88
18.48,36.67
18.55,35.53
18.62,32.69
18.70,30.87
18.77,29.34
18.84,27.68
18.91,26.52
18.99,25.08
19.06,23.38
19.13,21.57
19.20,19.36
19.28,17.76
19.35,16.17
19.42,15.20
19.49,13.52
19.57,11.48
19.64,9.44
19.71,9.11
19.78,7.45
19.86,6.15
19.93,4.86
20.00,3.91
20.07,2.62
20.14,2.62
20.22,1.97
20.29,3.26
20.36,3.26
20.43,3.26
20.51,3.26
20.58,3.26
20.65,3.26
20.72,3.26
20.80,3.26
20.87,3.25
20.94,3.25
21.01,3.26
21.09,3.26
21.16,3.26
21.23,3.26
21.30,3.26
21.38,3.26
21.45,3.26
21.52,3.26
21.59,3.26
21.67,3.25
21.74,3.25
21.81,3.26
21.88,3.26
21.96,3.25
22.03,3.26
22.10,3.26
22.17,3.26
22.25,3.26
22.32,3.26
22.39,3.26
22.46,3.25
22.54,3.26
22.61,3.26
22.68,3.25
22.75,3.26
22.83,3.26
22.90,3.26
22.97,3.25
23.04,3.25
23.12,3.26
23.19,3.26
23.26,3.25
23.33,3.26
23.41,3.26
23.48,3.26
23.55,3.26
23.62,3.26
23.70,3.26
23.77,3.26
23.84,3.26
23.91,3.26
23.99,3.26
24.06,3.26
24.13,3.26
24.20,3.26
24.28,3.26
24.35,3.26
24.42,3.25
24.49,3.26
24.57,3.26
24.64,3.26
24.71,3.25
24.78,3.26
24.86,3.25
24.93,3.26
25.00,3.25
