angolo,distanza
5.14,55.81
10.29,55.93
15.43,55.81
20.57,57.46
25.71,55.81
30.86,55.81
36.00,56.34
41.14,84.86
46.29,85.20
51.43,84.85
56.57,85.65
61.71,66.69
66.86,21.50
72.00,58.46
77.14,7.43
82.29,5.17
87.43,8.21
92.57,7.11
97.71,6.14
102.86,7.41
108.00,6.46
113.14,81.04
118.29,80.87
123.43,38.85
128.57,33.63
133.71,30.28
138.86,28.99
144.00,27.01
149.14,28.73
154.29,44.23
159.43,38.85
164.57,29.50
169.71,410.89
174.86,410.60
180.00,410.21
185.14,-1.00
190.29,-1.00
195.43,-1.00
200.57,-1.00
205.71,-1.00
210.86,-1.00
216.00,371.06
221.14,368.63
226.29,368.29
231.43,369.26
236.57,370.07
241.71,-1.00
246.86,199.22
252.00,199.14
257.14,80.07
262.29,79.00
267.43,79.25
272.57,78.78
277.71,77.69
282.86,78.22
288.00,79.64
293.14,79.46
298.29,78.40
303.43,78.66
308.57,79.17
313.71,79.25
318.86,76.07
324.00,79.71
329.14,47.41
334.29,80.87
339.43,81.75
344.57,82.36
349.71,81.94
354.86,81.84
360.00,81.40
