angolo,distanza,x,y
0.95,61.86,61.85,1.03
1.91,61.86,61.83,2.06
2.86,59.23,59.15,2.96
3.82,58.94,58.81,3.93
4.77,72.95,72.69,6.07
5.73,72.25,71.89,7.21
6.68,72.25,71.76,8.41
7.64,72.32,71.68,9.61
8.59,72.78,71.96,10.88
9.55,72.78,71.77,12.07
10.50,72.35,71.14,13.19
11.46,73.13,71.68,14.53
12.41,72.69,70.99,15.63
13.37,72.68,70.71,16.80
14.32,73.22,70.94,18.11
15.28,122.21,117.89,32.20
16.23,122.20,117.32,34.16
17.19,73.49,70.21,21.72
18.14,122.03,115.96,38.00
19.10,121.94,115.23,39.90
20.05,121.86,114.47,41.78
21.01,121.82,113.72,43.67
21.96,121.77,112.93,45.54
22.92,121.31,111.74,47.24
23.87,121.21,110.84,49.05
24.83,121.12,109.93,50.86
25.78,121.12,109.07,52.68
26.74,120.68,107.78,54.30
27.69,120.70,106.87,56.09
28.65,120.68,105.91,57.86
29.60,120.70,104.95,59.62
30.56,120.68,103.92,61.35
31.51,120.67,102.87,63.07
32.47,120.70,101.83,64.79
33.42,120.68,100.73,66.47
34.38,120.70,99.62,68.15
35.33,120.70,98.47,69.80
36.29,120.70,97.29,71.43
37.24,120.61,96.02,72.99
38.20,120.61,94.79,74.58
39.15,120.60,93.52,76.14
40.11,120.53,92.19,77.65
41.06,120.61,90.94,79.23
42.02,120.60,89.60,80.72
42.97,120.58,88.23,82.19
43.93,120.51,86.80,83.60
44.88,120.51,85.39,85.04
45.84,120.50,83.95,86.44
46.79,120.50,82.50,87.82
47.75,120.51,81.04,89.20
48.70,120.51,79.54,90.54
49.66,120.51,78.02,91.85
50.61,120.50,76.47,93.12
51.56,120.50,74.90,94.39
52.52,120.43,73.28,95.57
53.47,120.33,71.62,96.69
54.43,120.24,69.94,97.80
55.38,120.16,68.26,98.89
56.34,120.16,66.60,100.01
57.29,120.17,64.93,101.12
58.25,120.17,63.24,102.19
59.20,120.16,61.52,103.21
60.16,120.17,59.80,104.24
61.11,120.34,58.13,105.37
62.07,120.34,56.37,106.32
63.02,120.41,54.62,107.31
63.98,120.41,52.82,108.21
64.93,120.43,51.02,109.09
65.89,120.44,49.20,109.94
66.84,120.50,47.38,110.79
67.80,120.53,45.54,111.59
68.75,120.51,43.67,112.32
69.71,120.60,41.82,113.11
70.66,120.60,39.93,113.79
71.62,120.60,38.03,114.44
72.57,120.61,36.12,115.08
73.53,120.68,34.22,115.73
74.48,120.68,32.29,116.28
75.44,121.14,30.46,117.25
76.39,120.79,28.42,117.39
77.35,121.19,26.55,118.25
78.30,121.19,24.57,118.68
79.26,121.24,22.60,119.12
80.21,121.40,20.64,119.63
81.17,121.48,18.65,120.04
82.12,121.58,16.66,120.44
83.08,121.74,14.67,120.85
84.03,122.38,12.72,121.72
84.99,61.03,5.33,60.80
85.94,61.03,4.32,60.88
86.90,84.25,4.56,84.13
87.85,79.02,2.96,78.96
88.81,78.47,1.63,78.45
89.76,78.47,0.33,78.47
90.72,78.46,-0.98,78.45
91.67,67.32,-1.96,67.29
92.63,66.06,-3.03,65.99
93.58,66.47,-4.15,66.34
94.54,66.47,-5.26,66.26
95.49,66.06,-6.32,65.76
96.45,60.66,-6.81,60.27
97.40,59.77,-7.70,59.27
