angolo,distanza,x,y
0.95,70.99,70.98,1.18
1.90,59.21,59.18,1.96
2.85,58.38,58.31,2.90
3.80,58.11,57.98,3.85
4.75,58.09,57.89,4.81
5.70,58.53,58.24,5.81
6.65,72.69,72.20,8.42
7.60,58.94,58.42,7.79
8.55,58.51,57.86,8.70
9.50,71.89,70.91,11.86
10.45,71.88,70.68,13.03
11.40,71.89,70.48,14.21
12.35,72.33,70.66,15.47
13.30,71.88,69.95,16.53
14.25,58.51,56.71,14.40
15.20,58.51,56.47,15.34
16.15,72.96,70.09,20.29
17.10,72.96,69.74,21.45
18.05,72.86,69.28,22.57
19.00,60.59,57.29,19.72
19.95,72.25,67.92,24.65
20.90,73.05,68.24,26.06
21.85,72.61,67.39,27.02
22.80,73.03,67.33,28.30
23.75,73.03,66.85,29.41
24.70,73.47,66.75,30.70
25.65,73.49,66.25,31.81
26.60,73.47,65.70,32.89
27.55,73.92,65.54,34.18
28.50,73.47,64.57,35.05
29.45,74.12,64.55,36.44
30.40,123.27,106.32,62.37
31.35,123.27,105.28,64.12
32.30,123.25,104.18,65.85
33.25,123.27,103.09,67.58
34.20,123.25,101.94,69.27
35.15,123.17,100.71,70.90
36.09,122.74,99.18,72.31
37.04,122.47,97.75,73.78
37.99,122.03,96.16,75.12
38.94,122.38,95.18,76.93
39.89,121.99,93.60,78.24
40.84,121.92,92.23,79.74
41.79,121.82,90.82,81.19
42.74,121.70,89.38,82.60
43.69,121.67,87.97,84.05
44.64,121.58,86.51,85.44
45.59,121.58,85.08,86.86
46.54,121.48,83.56,88.18
47.49,121.50,82.09,89.57
48.44,121.23,80.42,90.71
49.39,120.60,78.49,91.56
50.34,120.41,76.85,92.70
51.29,120.43,75.31,93.98
52.24,120.41,73.73,95.20
53.19,120.33,72.09,96.34
54.14,120.24,70.43,97.45
55.09,120.14,68.75,98.52
56.04,120.16,67.12,99.66
56.99,120.16,65.46,100.76
57.94,120.16,63.78,101.83
58.89,43.18,22.31,36.97
59.84,43.20,21.70,37.35
60.79,43.18,21.07,37.69
61.74,43.18,20.44,38.03
62.69,43.57,19.99,38.71
63.64,42.58,18.91,38.16
64.59,120.17,51.56,108.55
65.54,120.17,49.76,109.39
66.49,120.16,47.93,110.18
67.44,120.26,46.14,111.06
68.39,120.24,44.28,111.79
69.34,120.34,42.46,112.60
70.29,120.87,40.76,113.79
71.24,120.96,38.90,114.53
72.19,120.96,37.00,115.16
73.14,121.06,35.11,115.85
74.09,121.60,33.33,116.94
75.04,121.67,31.41,117.54
75.99,122.20,29.58,118.56
76.94,121.75,27.51,118.60
77.89,60.20,12.63,58.86
78.84,60.33,11.68,59.19
79.79,63.68,11.29,62.67
80.74,61.88,9.96,61.07
81.69,59.91,8.66,59.28
82.64,57.26,7.34,56.78
83.59,57.10,6.38,56.75
84.54,57.26,5.45,57.00
85.49,56.83,4.47,56.65
86.44,57.26,3.56,57.15
87.39,57.12,2.60,57.06
88.34,57.10,1.66,57.08
89.29,57.10,0.71,57.10
90.24,57.12,-0.24,57.12
91.19,57.56,-1.19,57.55
92.14,57.95,-2.16,57.91
93.09,58.09,-3.13,58.00
94.04,57.68,-4.06,57.54
94.99,58.09,-5.05,57.87
95.94,59.08,-6.11,58.76
96.89,60.04,-7.20,59.61
97.84,59.23,-8.08,58.67
98.79,62.02,-9.47,61.29
99.74,61.61,-10.42,60.72
100.69,63.41,-11.76,62.31
101.64,63.39,-12.79,62.09
102.59,58.67,-12.78,57.26
103.54,58.24,-13.63,56.62
104.49,60.33,-15.09,58.42
105.44,68.99,-18.36,66.50
106.39,68.58,-19.35,65.79
107.34,68.31,-20.35,65.20
108.28,68.58,-21.52,65.12
109.23,68.31,-22.50,64.49
110.18,68.58,-23.66,64.37
111.13,68.85,-24.82,64.22
112.08,68.85,-25.89,63.80
113.03,68.85,-26.94,63.36
113.98,68.99,-28.04,63.03
114.93,69.14,-29.15,62.69
115.88,69.12,-30.18,62.19
116.83,69.31,-31.29,61.85
117.78,69.39,-32.35,61.39
118.73,69.48,-33.40,60.92
119.68,69.48,-34.41,60.36
120.63,69.48,-35.40,59.78
121.58,69.41,-36.35,59.13
122.53,69.22,-37.23,58.36
123.48,69.22,-38.19,57.74
124.43,69.22,-39.14,57.10
125.38,69.22,-40.08,56.44
126.33,69.22,-41.01,55.77
127.28,69.21,-41.92,55.07
128.23,69.22,-42.84,54.38
129.18,69.31,-43.79,53.72
130.13,69.56,-44.84,53.19
131.08,69.77,-45.85,52.59
132.03,69.92,-46.81,51.94
132.98,69.92,-47.67,51.15
133.93,70.02,-48.58,50.43
134.88,70.04,-49.42,49.63
135.83,70.01,-50.21,48.78
136.78,70.02,-51.03,47.95
137.73,70.02,-51.82,47.10
138.68,70.02,-52.59,46.23
139.63,70.12,-53.43,45.42
140.58,69.85,-53.96,44.36
141.53,70.29,-55.04,43.73
142.48,70.55,-55.96,42.97
143.43,70.82,-56.88,42.20
144.38,70.65,-57.43,41.15
145.33,71.09,-58.47,40.44
146.28,70.91,-58.98,39.36
147.23,70.67,-59.42,38.25
148.18,70.57,-59.96,37.21
149.13,70.55,-60.55,36.20
150.08,70.92,-61.47,35.38
151.03,70.91,-62.03,34.34
151.98,70.55,-62.28,33.14
152.93,71.01,-63.23,32.32
153.88,71.81,-64.47,31.62
154.83,71.62,-64.82,30.46
155.78,71.81,-65.49,29.46
156.73,71.81,-65.97,28.37
157.68,72.86,-67.40,27.67
158.63,72.69,-67.69,26.49
159.58,72.86,-68.28,25.42
160.53,74.12,-69.88,24.71
161.48,74.73,-70.86,23.74
162.43,74.27,-70.81,22.42
163.38,43.98,-42.14,12.58
164.33,42.40,-40.82,11.45
165.28,42.60,-41.20,10.83
166.23,42.60,-41.38,10.14
167.18,42.58,-41.52,9.45
168.13,42.58,-41.67,8.76
169.08,41.72,-40.96,7.91
170.03,42.18,-41.54,7.30
170.98,31.14,-30.76,4.88
171.93,31.14,-30.84,4.37
172.88,31.14,-30.90,3.86
173.83,30.63,-30.46,3.29
174.78,30.63,-30.51,2.79
175.73,30.91,-30.82,2.30
176.68,31.16,-31.11,1.81
177.63,30.58,-30.56,1.27
178.58,31.42,-31.41,0.78
179.53,31.16,-31.16,0.26
180.47,29.34,-29.34,-0.24
181.42,29.60,-29.59,-0.74
182.37,29.09,-29.06,-1.21
183.32,28.54,-28.49,-1.66
184.27,28.83,-28.75,-2.15
185.22,27.68,-27.56,-2.52
186.17,29.09,-28.92,-3.13
187.12,27.98,-27.77,-3.47
188.07,29.60,-29.30,-4.16
189.02,27.97,-27.62,-4.39
189.97,27.68,-27.26,-4.79
190.92,26.81,-26.32,-5.08
191.87,27.68,-27.08,-5.69
192.82,27.68,-26.99,-6.14
193.77,29.09,-28.25,-6.92
194.72,29.09,-28.13,-7.39
195.67,28.24,-27.19,-7.63
196.62,27.39,-26.24,-7.83
197.57,27.40,-26.13,-8.27
198.52,27.28,-25.87,-8.67
199.47,27.39,-25.82,-9.13
200.42,27.39,-25.67,-9.56
201.37,27.39,-25.50,-9.98
202.32,28.82,-26.66,-10.94
203.27,27.97,-25.69,-11.05
204.22,27.10,-24.71,-11.12
205.17,27.10,-24.52,-11.53
206.12,27.97,-25.11,-12.31
207.07,27.97,-24.90,-12.73
208.02,27.97,-24.69,-13.14
208.97,27.97,-24.47,-13.55
209.92,28.82,-24.97,-14.37
210.87,27.54,-23.64,-14.13
211.82,27.68,-23.52,-14.59
212.77,27.66,-23.26,-14.97
213.72,27.68,-23.02,-15.36
214.67,27.40,-22.54,-15.59
215.62,28.25,-22.97,-16.46
216.57,28.82,-23.14,-17.17
217.52,28.83,-22.87,-17.56
218.47,27.97,-21.89,-17.40
219.42,28.82,-22.26,-18.30
220.37,28.82,-21.95,-18.66
221.32,28.83,-21.65,-19.04
222.27,28.83,-21.34,-19.39
223.22,28.82,-21.00,-19.73
224.17,28.83,-20.68,-20.09
225.12,28.83,-20.35,-20.43
226.07,28.83,-20.00,-20.76
227.02,28.54,-19.46,-20.88
227.97,29.09,-19.47,-21.61
228.92,29.09,-19.11,-21.92
229.87,29.09,-18.75,-22.24
230.82,29.09,-18.38,-22.55
231.77,29.09,-18.00,-22.85
232.72,29.09,-17.62,-23.14
233.67,29.09,-17.23,-23.43
234.62,30.12,-17.44,-24.56
235.57,29.85,-16.88,-24.62
236.52,30.38,-16.76,-25.34
237.47,30.89,-16.61,-26.04
238.42,30.89,-16.18,-26.31
239.37,31.42,-16.01,-27.03
240.32,42.99,-21.29,-37.35
241.27,42.99,-20.67,-37.70
242.22,42.99,-20.04,-38.04
243.17,42.98,-19.40,-38.35
244.12,42.98,-18.76,-38.66
245.07,42.98,-18.12,-38.97
246.02,42.99,-17.48,-39.28
246.97,42.99,-16.82,-39.57
247.92,62.42,-23.47,-57.84
248.87,228.28,-82.31,-212.92
249.82,63.56,-21.93,-59.66
250.77,42.40,-13.97,-40.03
251.72,42.79,-13.42,-40.63
252.66,42.81,-12.75,-40.86
253.61,43.18,-12.18,-41.43
254.56,56.01,-14.91,-53.99
255.51,55.86,-13.97,-54.09
256.46,56.98,-13.34,-55.40
257.41,46.17,-10.06,-45.06
258.36,46.17,-9.31,-45.22
259.31,45.78,-8.49,-44.99
260.26,44.98,-7.61,-44.33
261.21,44.98,-6.87,-44.45
262.16,44.98,-6.13,-44.56
263.11,44.57,-5.34,-44.25
264.06,44.59,-4.61,-44.35
265.01,44.57,-3.87,-44.41
265.96,44.18,-3.11,-44.07
266.91,44.18,-2.38,-44.12
267.86,45.58,-1.70,-45.55
268.81,46.97,-0.97,-46.96
269.76,55.22,-0.23,-55.22
270.71,54.72,0.68,-54.72
271.66,53.36,1.55,-53.34
272.61,54.03,2.46,-53.97
273.56,49.28,3.06,-49.19
274.51,48.96,3.85,-48.81
275.46,49.47,4.71,-49.25
276.41,49.62,5.54,-49.31
277.36,49.28,6.31,-48.88
278.31,49.81,7.20,-49.29
279.26,55.56,8.94,-54.83
280.21,49.47,8.77,-48.69
281.16,56.00,10.84,-54.94
282.11,56.00,11.75,-54.75
283.06,55.06,12.44,-53.64
284.01,52.51,12.71,-50.95
284.96,52.51,13.56,-50.73
285.91,52.50,14.39,-50.48
286.86,52.85,15.33,-50.58
287.81,53.19,16.27,-50.64
288.76,53.02,17.05,-50.21
289.71,51.65,17.42,-48.62
290.66,51.32,18.11,-48.02
291.61,51.83,19.09,-48.19
292.56,52.34,20.08,-48.34
293.51,53.19,21.22,-48.78
294.46,53.18,22.02,-48.40
295.41,52.68,22.61,-47.59
296.36,51.83,23.01,-46.44
297.31,51.85,23.79,-46.07
298.26,51.83,24.54,-45.66
299.21,51.49,25.13,-44.95
300.16,52.68,26.47,-45.55
301.11,52.51,27.13,-44.96
302.06,51.49,27.33,-43.64
303.01,51.82,28.23,-43.45
303.96,51.65,28.85,-42.84
304.91,51.66,29.56,-42.37
305.86,51.32,30.06,-41.60
306.81,51.32,30.75,-41.09
307.76,51.31,31.42,-40.56
308.71,51.32,32.09,-40.05
309.66,51.32,32.75,-39.51
310.61,51.32,33.40,-38.96
311.56,51.32,34.05,-38.40
312.51,51.49,34.79,-37.96
313.46,51.49,35.42,-37.38
314.41,52.00,36.39,-37.15
315.36,51.66,36.76,-36.30
316.31,51.49,37.23,-35.57
317.26,51.49,37.82,-34.95
318.21,51.83,38.64,-34.54
319.16,51.32,38.83,-33.57
320.11,51.32,39.38,-32.92
321.06,51.83,40.31,-32.58
322.01,52.00,40.98,-32.01
322.96,51.66,41.24,-31.12
323.91,51.66,41.75,-30.44
324.85,51.66,42.24,-29.74
325.80,51.68,42.75,-29.04
326.75,51.68,43.22,-28.33
327.70,51.66,43.67,-27.60
328.65,51.66,44.12,-26.88
329.60,51.66,44.56,-26.14
330.55,51.66,44.99,-25.40
331.50,51.66,45.40,-24.65
332.45,51.66,45.81,-23.89
333.40,51.66,46.20,-23.13
334.35,51.66,46.57,-22.36
335.30,51.66,46.94,-21.59
336.25,51.66,47.29,-20.80
337.20,51.68,47.64,-20.02
