angolo,distanza,x,y
0.95,63.41,63.40,1.05
1.90,90.39,90.34,3.00
2.86,90.37,90.26,4.50
3.81,90.39,90.19,6.01
4.76,90.39,90.08,7.50
5.71,90.03,89.58,8.96
6.67,90.03,89.42,10.45
7.62,90.03,89.24,11.94
8.57,89.95,88.94,13.41
9.52,90.39,89.14,14.96
10.48,90.37,88.87,16.43
11.43,90.01,88.23,17.84
12.38,89.76,87.67,19.25
13.33,90.01,87.59,20.76
14.29,90.03,87.25,22.22
15.24,90.03,86.87,23.66
16.19,90.03,86.46,25.10
17.14,90.03,86.03,26.54
18.10,90.03,85.58,27.96
19.05,90.03,85.10,29.38
20.00,90.01,84.59,30.79
20.95,90.01,84.06,32.19
21.90,90.03,83.53,33.59
22.86,90.39,83.29,35.11
23.81,90.03,82.37,36.35
24.76,90.03,81.75,37.71
25.71,90.03,81.12,39.06
26.67,89.93,80.36,40.36
27.62,89.95,79.70,41.70
28.57,90.39,79.38,43.23
29.52,90.41,78.67,44.55
30.48,90.39,77.90,45.84
31.43,90.03,76.82,46.95
32.38,90.39,76.33,48.41
33.33,90.39,75.52,49.67
34.29,90.03,74.39,50.72
35.24,90.05,73.55,51.96
36.19,90.03,72.66,53.16
37.14,90.05,71.78,54.37
38.10,90.05,70.87,55.56
39.05,90.49,70.28,57.01
40.00,90.47,69.31,58.16
40.95,90.12,68.06,59.07
41.90,90.56,67.40,60.48
42.86,90.22,66.14,61.36
43.81,90.20,65.09,62.44
44.76,90.20,64.05,63.52
45.71,90.66,63.30,64.90
46.67,90.75,62.27,66.01
47.62,90.83,61.23,67.09
48.57,91.27,60.39,68.43
49.52,91.26,59.24,69.42
50.48,91.36,58.14,70.47
51.43,91.46,57.02,71.51
52.38,91.46,55.83,72.44
53.33,91.51,54.65,73.40
54.29,91.99,53.70,74.69
55.24,90.15,51.40,74.06
56.19,91.73,51.04,76.22
57.14,91.73,49.77,77.06
58.10,92.26,48.76,78.32
59.05,92.36,47.50,79.21
60.00,92.43,46.21,80.05
60.95,92.53,44.93,80.89
61.90,93.06,43.82,82.09
62.86,93.06,42.45,82.81
63.81,93.50,41.27,83.90
64.76,93.58,39.90,84.65
65.71,93.69,38.53,85.40
66.67,94.11,37.28,86.42
67.62,154.75,58.92,143.09
68.57,154.24,56.35,143.58
69.52,154.56,54.07,144.80
70.48,154.58,51.66,145.69
71.43,124.29,39.58,117.82
72.38,122.49,37.07,116.74
73.33,122.47,35.12,117.32
74.29,122.91,33.29,118.32
75.24,122.04,31.10,118.01
76.19,122.04,29.13,118.52
77.14,122.04,27.16,118.98
78.10,122.86,25.34,120.22
79.05,123.73,23.51,121.47
80.00,122.03,21.19,120.17
80.95,120.97,19.02,119.47
81.90,121.41,17.10,120.20
82.86,120.96,15.04,120.02
83.81,120.97,13.04,120.27
84.76,120.51,11.00,120.01
85.71,120.17,8.98,119.84
86.67,120.31,7.00,120.11
87.62,120.26,5.00,120.15
88.57,120.26,3.00,120.22
89.52,120.21,1.00,120.20
90.48,120.26,-1.00,120.25
91.43,120.26,-3.00,120.22
92.38,120.26,-5.00,120.15
93.33,120.16,-6.99,119.95
94.29,119.99,-8.97,119.65
95.24,120.00,-10.96,119.50
96.19,120.09,-12.95,119.39
97.14,120.07,-14.93,119.14
98.10,120.00,-16.90,118.81
99.05,119.99,-18.87,118.49
100.00,119.46,-20.74,117.64
100.95,119.48,-22.70,117.30
101.90,119.46,-24.64,116.89
102.86,119.37,-26.56,116.38
103.81,119.46,-28.51,116.01
104.76,74.04,-18.86,71.59
105.71,73.59,-19.93,70.84
106.67,119.46,-34.26,114.44
107.62,119.46,-36.16,113.86
108.57,119.82,-38.16,113.58
109.52,74.38,-24.86,70.10
110.48,72.69,-25.43,68.10
111.43,73.51,-26.86,68.43
112.38,73.93,-28.15,68.36
113.33,73.13,-28.97,67.15
114.29,73.51,-30.23,67.00
115.24,72.52,-30.92,65.60
116.19,72.25,-31.89,64.83
117.14,73.05,-33.33,65.00
118.10,119.37,-56.22,105.31
119.05,73.49,-35.68,64.25
120.00,119.02,-59.51,103.07
120.95,73.05,-37.57,62.65
121.90,73.05,-38.61,62.01
122.86,72.61,-39.39,60.99
123.81,73.05,-40.65,60.70
124.76,73.05,-41.65,60.01
125.71,73.13,-42.69,59.38
126.67,119.12,-71.13,95.55
127.62,119.36,-72.86,94.54
128.57,119.82,-74.70,93.68
129.52,119.37,-75.97,92.08
130.48,119.82,-77.78,91.14
131.43,121.16,-80.17,90.84
132.38,55.73,-37.56,41.16
133.33,56.01,-38.44,40.74
134.29,54.20,-37.84,38.80
135.24,54.04,-38.37,38.06
136.19,54.04,-39.00,37.41
137.14,53.02,-38.87,36.06
138.10,53.35,-39.70,35.63
139.05,54.03,-40.80,35.41
140.00,53.02,-40.62,34.08
140.95,54.49,-42.31,34.32
141.90,52.51,-41.33,32.40
142.86,51.66,-41.18,31.19
143.81,52.00,-41.97,30.71
144.76,52.00,-42.47,30.00
145.71,52.33,-43.23,29.48
146.67,52.33,-43.72,28.75
147.62,51.83,-43.77,27.76
148.57,51.66,-44.08,26.94
149.52,51.17,-44.10,25.95
150.48,50.80,-44.20,25.03
151.43,50.83,-44.64,24.31
152.38,51.66,-45.78,23.95
153.33,52.17,-46.62,23.42
154.29,52.17,-47.01,22.64
155.24,52.17,-47.38,21.85
156.19,50.27,-45.99,20.29
157.14,40.82,-37.61,15.85
158.10,39.90,-37.02,14.88
159.05,40.10,-37.45,14.34
160.00,39.20,-36.84,13.41
160.95,40.80,-38.57,13.32
161.90,38.52,-36.62,11.96
162.86,38.06,-36.37,11.22
163.81,37.60,-36.11,10.49
164.76,37.60,-36.28,9.88
165.71,37.59,-36.42,9.27
166.67,37.60,-36.59,8.67
167.62,39.20,-38.29,8.41
168.57,38.28,-37.52,7.59
