angolo,distanza,x,y
0.95,69.70,69.69,1.16
1.90,67.68,67.64,2.25
2.86,69.43,69.34,3.46
3.81,68.24,68.09,4.53
4.76,67.40,67.17,5.60
5.71,69.16,68.81,6.89
6.67,66.71,66.26,7.74
7.62,70.23,69.61,9.31
8.57,70.77,69.98,10.55
9.52,71.21,70.23,11.78
10.48,71.21,70.03,12.95
11.43,71.21,69.80,14.11
12.38,71.65,69.99,15.36
13.33,71.20,69.28,16.42
14.29,71.21,69.01,17.57
15.24,71.65,69.14,18.83
16.19,72.10,69.24,20.10
17.14,72.18,68.98,21.28
18.10,73.86,70.21,22.94
19.05,80.55,76.14,26.29
20.00,74.32,69.84,25.42
20.95,73.86,68.98,26.41
21.90,73.86,68.53,27.56
22.86,80.53,74.21,31.28
23.81,80.53,73.68,32.51
24.76,80.09,72.72,33.54
25.71,80.87,72.86,35.09
26.67,100.10,89.45,44.92
27.62,79.37,70.33,36.80
28.57,79.75,70.04,38.14
29.52,80.87,70.37,39.85
30.48,79.36,68.39,40.25
31.43,78.39,66.89,40.87
32.38,78.18,66.03,41.87
33.33,78.30,65.42,43.03
34.29,78.22,64.63,44.06
35.24,78.13,63.82,45.08
36.19,78.03,62.97,46.07
37.14,77.50,61.78,46.80
38.10,77.86,61.27,48.04
39.05,77.40,60.11,48.76
40.00,77.32,59.23,49.70
40.95,77.15,58.26,50.56
41.90,76.98,57.29,51.41
42.86,76.79,56.29,52.23
43.81,76.72,55.37,53.11
44.76,76.70,54.46,54.01
45.71,76.62,53.50,54.85
46.67,76.53,52.52,55.67
47.62,76.45,51.53,56.47
48.57,75.99,50.28,56.98
49.52,76.35,49.56,58.08
50.48,75.90,48.31,58.55
51.43,75.90,47.33,59.34
52.38,75.80,46.27,60.04
53.33,75.79,45.26,60.79
54.29,75.80,44.25,61.55
55.24,75.80,43.22,62.27
56.19,75.38,41.94,62.63
57.14,75.63,41.03,63.53
58.10,75.29,39.79,63.92
59.05,75.74,38.95,64.95
60.00,75.74,37.87,65.59
60.95,75.65,36.73,66.13
61.90,75.65,35.63,66.74
62.86,75.74,34.55,67.39
63.81,75.63,33.38,67.87
64.76,75.72,32.28,68.49
65.71,75.72,31.14,69.02
66.67,75.72,29.99,69.53
67.62,75.38,28.70,69.70
68.57,75.36,27.53,70.15
69.52,75.41,26.38,70.65
70.48,75.29,25.16,70.96
71.43,75.28,23.97,71.36
72.38,74.85,22.66,71.34
73.33,74.75,21.44,71.61
74.29,75.21,20.37,72.40
75.24,75.29,19.18,72.81
76.19,75.72,18.07,73.53
77.14,75.74,16.85,73.84
78.10,76.26,15.73,74.62
79.05,76.35,14.51,74.96
80.00,76.43,13.27,75.27
80.95,76.43,12.02,75.48
81.90,76.52,10.78,75.75
82.86,76.18,9.47,75.59
83.81,76.55,8.25,76.10
84.76,76.53,6.99,76.21
85.71,76.62,5.73,76.40
86.67,76.64,4.46,76.51
87.62,76.62,3.18,76.55
88.57,76.26,1.90,76.24
89.52,75.87,0.63,75.87
90.48,75.99,-0.63,75.99
91.43,76.01,-1.89,75.98
92.38,75.99,-3.16,75.92
93.33,75.99,-4.42,75.86
94.29,75.63,-5.65,75.42
95.24,76.09,-6.95,75.77
96.19,75.74,-8.17,75.29
97.14,75.74,-9.42,75.15
98.10,75.80,-10.67,75.05
99.05,76.26,-11.99,75.31
100.00,75.90,-13.18,74.75
100.95,75.92,-14.42,74.54
101.90,76.01,-15.68,74.37
102.86,76.53,-17.03,74.62
103.81,77.06,-18.39,74.83
104.76,76.26,-19.43,73.74
105.71,78.47,-21.25,75.54
106.67,76.87,-22.05,73.64
107.62,76.45,-23.14,72.86
108.57,81.75,-26.04,77.50
109.52,77.06,-25.75,72.63
110.48,77.06,-26.96,72.19
111.43,86.21,-31.49,80.25
112.38,98.80,-37.62,91.36
113.33,90.29,-35.76,82.90
114.29,88.71,-36.48,80.86
115.24,77.23,-32.93,69.86
116.19,64.74,-28.57,58.09
117.14,64.19,-29.29,57.12
118.10,64.60,-30.42,56.99
119.05,64.06,-31.10,56.00
120.00,56.51,-28.25,48.94
120.95,63.77,-32.80,54.69
121.90,29.83,-15.77,25.33
122.86,29.46,-15.98,24.75
123.81,29.31,-16.31,24.35
124.76,29.31,-16.71,24.08
125.71,29.31,-17.11,23.80
126.67,28.80,-17.20,23.10
127.62,29.07,-17.74,23.03
128.57,28.51,-17.78,22.29
129.52,28.51,-18.14,21.99
130.48,28.51,-18.51,21.69
131.43,29.33,-19.40,21.99
132.38,27.95,-18.84,20.64
133.33,28.78,-19.75,20.93
134.29,27.37,-19.11,19.59
135.24,27.22,-19.33,19.17
136.19,27.37,-19.75,18.95
137.14,28.22,-20.69,19.19
