s,distanza
0.07,62.39
0.15,63.92
0.22,171.46
0.29,171.97
0.37,59.31
0.44,58.21
0.51,313.89
0.59,312.46
0.66,55.98
0.73,309.16
0.81,307.84
0.88,159.61
0.95,158.64
1.03,158.56
1.10,156.16
1.17,153.14
1.25,152.00
1.32,150.48
1.39,148.19
1.47,147.19
1.54,292.91
1.61,291.06
1.69,289.63
1.76,287.40
1.83,285.38
1.91,283.49
1.98,281.81
2.05,280.89
2.13,279.90
2.20,279.31
2.27,134.57
2.35,276.73
2.42,130.83
2.49,128.16
2.57,125.95
2.64,123.73
2.71,121.96
2.79,121.07
2.86,119.20
2.93,263.96
3.01,263.89
3.08,263.81
3.15,263.92
3.23,264.03
3.30,262.85
3.37,261.58
3.45,259.91
3.52,258.26
3.59,256.36
3.67,254.24
3.74,252.11
3.81,250.05
3.89,248.01
3.96,246.16
4.03,244.38
4.11,243.03
4.18,241.26
4.25,239.48
4.33,237.69
4.40,235.50
4.47,234.35
4.55,232.75
4.62,230.89
4.69,229.79
4.77,227.85
4.84,226.61
4.91,225.08
4.99,223.40
5.06,221.73
5.13,220.29
5.21,218.45
5.28,216.90
5.35,214.86
5.43,213.54
5.50,212.13
5.57,210.07
5.65,208.52
5.72,207.04
5.79,204.73
5.87,203.17
5.94,201.43
6.01,199.77
6.09,198.36
6.16,196.76
6.23,-1.00
6.30,537.47
6.38,192.15
6.45,191.61
6.52,188.85
6.60,269.79
6.67,187.17
6.74,57.63
6.82,56.81
6.89,-1.00
6.96,522.97
7.04,-1.00
7.11,-1.00
7.18,514.56
7.26,511.65
7.33,510.02
7.40,508.57
7.48,506.62
7.55,244.49
7.62,503.49
7.70,242.27
7.77,242.15
7.84,240.72
7.92,239.04
7.99,237.98
8.06,490.65
8.14,489.40
8.21,486.22
8.28,483.90
8.36,483.00
8.43,480.32
8.50,478.21
8.58,475.81
8.65,473.57
8.72,213.54
8.80,471.19
8.87,210.51
8.94,209.64
9.02,207.77
9.09,206.21
9.16,204.22
9.24,202.73
9.31,200.75
9.38,198.54
9.46,196.86
9.53,194.70
9.60,192.95
9.68,191.25
9.75,189.55
9.82,187.88
9.90,186.63
9.97,185.06
10.04,183.35
10.12,181.49
10.19,179.95
10.26,178.19
10.34,176.43
10.41,174.74
10.48,429.08
10.56,426.41
10.63,424.25
10.70,421.82
10.78,419.24
10.85,416.47
10.92,414.89
11.00,412.42
11.07,58.07
11.14,154.84
11.22,152.51
11.29,150.91
11.36,149.41
11.44,147.73
11.51,145.93
11.58,144.24
11.66,142.92
11.73,141.05
11.80,139.30
11.88,138.04
11.95,136.19
12.02,134.66
12.10,134.13
12.17,131.39
12.24,378.54
12.32,288.10
12.39,286.23
12.46,282.66
12.54,281.08
12.61,278.07
12.68,365.91
12.76,364.55
12.83,362.51
12.90,271.37
12.98,268.53
13.05,109.96
13.12,353.84
13.20,55.96
13.27,350.85
13.34,349.49
13.42,256.29
13.49,253.50
13.56,251.50
13.64,249.63
13.71,248.47
13.78,246.09
13.86,245.21
13.93,242.96
14.00,240.72
14.08,239.41
14.15,237.39
14.22,234.80
14.30,232.85
14.37,230.83
14.44,228.74
14.52,226.61
14.59,223.48
14.66,221.46
14.74,218.35
14.81,216.22
14.88,213.45
14.96,210.99
15.03,209.27
15.10,206.89
15.18,205.34
15.25,203.10
15.32,201.57
15.40,199.34
15.47,197.91
15.54,195.89
15.62,194.46
15.69,191.71
15.76,189.74
15.84,188.31
15.91,186.00
15.98,183.51
16.06,181.39
16.13,178.82
16.20,177.50
16.28,175.63
16.35,173.69
16.42,171.63
16.50,168.16
16.57,167.62
16.64,165.05
16.72,163.10
16.79,160.33
16.86,158.66
16.94,156.33
17.01,154.33
17.08,152.34
17.16,150.11
17.23,148.09
17.30,59.58
17.38,56.80
17.45,142.04
17.52,139.54
17.60,137.41
17.67,135.18
17.74,133.50
17.82,131.63
17.89,129.76
17.96,127.93
18.04,126.06
18.11,124.00
18.18,121.69
18.26,119.73
18.33,118.22
18.40,115.92
18.48,114.05
18.55,112.71
18.62,110.48
18.70,108.65
18.77,106.78
18.84,104.89
18.91,102.95
18.99,101.07
19.06,99.03
19.13,96.90
19.21,94.69
19.28,92.90
19.35,91.83
19.43,90.07
19.50,88.62
19.57,87.04
19.65,85.24
19.72,83.57
19.79,82.16
19.87,80.12
19.94,78.68
20.01,76.64
20.09,75.06
20.16,73.36
20.23,71.86
20.31,69.80
20.38,67.97
20.45,66.16
20.53,65.19
20.60,62.54
20.67,61.27
20.75,59.18
20.82,57.92
20.89,55.96
20.97,54.08
21.04,52.31
21.11,50.10
21.19,49.59
21.26,48.93
21.33,46.75
21.41,44.95
21.48,43.35
21.55,42.77
21.63,43.16
21.70,40.31
21.77,39.87
21.85,38.49
21.92,35.75
21.99,34.75
22.07,32.93
22.14,31.13
22.21,30.36
22.29,28.82
22.36,27.37
22.43,26.79
22.51,25.08
22.58,24.50
22.65,22.76
22.73,25.36
22.80,21.57
22.87,20.30
22.95,19.65
23.02,18.39
23.09,16.17
23.17,16.49
23.24,14.86
23.31,12.82
23.39,11.14
23.46,10.11
23.53,8.77
23.61,8.09
23.68,6.80
23.75,6.15
23.83,4.86
23.90,4.22
23.97,3.59
24.05,3.57
24.12,2.30
24.19,3.26
24.27,2.30
24.34,2.62
24.41,2.94
24.49,2.30
24.56,2.62
24.63,2.62
24.71,2.60
24.78,2.62
24.85,2.94
24.93,3.26
25.00,2.30
