angolo,distanza,x,y
0.95,44.78,44.77,0.74
1.90,70.29,70.26,2.34
2.86,44.37,44.31,2.21
3.81,44.37,44.27,2.95
4.76,44.39,44.23,3.68
5.71,44.78,44.56,4.46
6.67,70.29,69.82,8.16
7.62,70.29,69.67,9.32
8.57,70.29,69.51,10.48
9.52,70.28,69.31,11.63
10.48,70.28,69.11,12.78
11.43,70.28,68.88,13.93
12.38,70.28,68.64,15.07
13.33,70.28,68.38,16.21
14.29,68.80,66.67,16.98
15.24,70.28,67.81,18.47
16.19,70.28,67.49,19.60
17.14,70.28,67.16,20.71
18.10,70.28,66.80,21.83
19.05,70.23,66.38,22.92
20.00,70.28,66.04,24.04
20.95,70.29,65.65,25.14
21.90,70.29,65.22,26.22
22.86,70.28,64.76,27.30
23.81,70.28,64.30,28.37
24.76,69.84,63.42,29.25
25.71,69.84,62.92,30.30
26.67,69.84,62.41,31.34
27.62,70.29,62.28,32.59
28.57,71.62,62.90,34.25
29.52,70.82,61.63,34.90
30.48,70.82,61.04,35.92
31.43,70.38,60.05,36.70
32.38,70.46,59.51,37.74
33.33,70.46,58.87,38.72
34.29,70.48,58.23,39.70
35.24,70.46,57.55,40.66
36.19,70.46,56.87,41.61
37.14,70.55,56.24,42.60
38.10,70.55,55.52,43.53
39.05,70.55,54.79,44.44
40.00,70.64,54.11,45.40
40.95,70.29,53.09,46.07
41.90,70.29,52.32,46.95
42.86,70.38,51.59,47.87
43.81,70.23,50.68,48.62
44.76,70.55,50.09,49.68
45.71,70.65,49.33,50.58
46.67,70.65,48.48,51.39
47.62,71.18,47.98,52.58
48.57,71.26,47.15,53.43
49.52,71.26,46.26,54.21
50.48,71.35,45.41,55.04
51.43,71.47,44.56,55.88
52.38,71.98,43.94,57.01
53.33,72.50,43.30,58.16
54.29,72.61,42.38,58.95
55.24,72.61,41.40,59.65
56.19,72.68,40.44,60.39
57.14,72.71,39.45,61.08
58.10,73.30,38.74,62.23
59.05,73.85,37.98,63.33
60.00,73.58,36.79,63.72
60.95,74.63,36.24,65.24
61.90,84.86,39.97,74.86
62.86,76.33,34.82,67.92
63.81,75.97,33.53,68.17
64.76,75.97,32.39,68.72
65.71,75.97,31.25,69.25
66.67,84.08,33.30,77.21
67.62,84.07,32.01,77.73
68.57,83.72,30.59,77.94
69.52,84.64,29.61,79.30
70.48,85.05,28.42,80.16
71.43,86.38,27.51,81.88
72.38,86.46,26.17,82.41
73.33,86.21,24.72,82.59
74.29,87.43,23.68,84.16
75.24,118.73,30.25,114.81
76.19,117.47,28.04,114.07
77.14,117.47,26.14,114.52
78.10,117.45,24.23,114.93
79.05,117.49,22.32,115.35
80.00,122.91,21.34,121.04
80.95,117.50,18.48,116.04
81.90,117.93,16.61,116.75
82.86,117.93,14.66,117.01
83.81,118.39,12.77,117.70
84.76,118.83,10.85,118.33
85.71,118.03,8.82,117.70
86.67,119.29,6.94,119.09
87.62,118.92,4.94,118.81
88.57,118.92,2.96,118.88
89.52,118.92,0.99,118.91
90.48,118.92,-0.99,118.91
91.43,118.92,-2.96,118.88
92.38,118.92,-4.94,118.81
93.33,118.12,-6.87,117.92
94.29,118.12,-8.83,117.79
95.24,118.56,-10.82,118.06
96.19,118.10,-12.74,117.41
97.14,118.56,-14.74,117.64
98.10,118.56,-16.70,117.38
99.05,118.29,-18.60,116.81
100.00,121.48,-21.10,119.64
100.95,118.39,-22.49,116.23
101.90,118.37,-24.42,115.83
102.86,118.37,-26.34,115.40
103.81,118.39,-28.26,114.97
104.76,118.39,-30.17,114.48
105.71,118.81,-32.18,114.37
106.67,118.81,-34.08,113.82
107.62,118.66,-35.92,113.09
108.57,118.80,-37.83,112.61
109.52,118.56,-39.62,111.74
110.48,118.83,-41.57,111.32
111.43,117.93,-43.08,109.78
112.38,118.27,-45.03,109.36
113.33,118.18,-46.81,108.52
114.29,118.10,-48.57,107.65
115.24,118.46,-50.51,107.15
116.19,118.81,-52.44,106.61
117.14,118.39,-54.01,105.35
118.10,118.37,-55.75,104.42
119.05,118.35,-57.47,103.47
120.00,118.35,-59.18,102.50
120.95,118.27,-60.83,101.43
121.90,118.18,-62.46,100.33
122.86,118.10,-64.07,99.21
123.81,118.12,-65.72,98.14
124.76,118.10,-67.34,97.02
125.71,117.66,-68.68,95.53
126.67,117.66,-70.26,94.38
127.62,118.03,-72.05,93.49
128.57,118.03,-73.59,92.28
129.52,118.01,-75.10,91.03
130.48,70.72,-45.91,53.79
131.43,70.19,-46.45,52.63
132.38,69.77,-47.03,51.54
133.33,117.91,-80.92,85.77
134.29,117.91,-82.33,84.41
135.24,117.93,-83.73,83.04
136.19,117.93,-85.10,81.64
137.14,117.93,-86.45,80.21
138.10,72.33,-53.84,48.31
139.05,71.08,-53.68,46.59
140.00,69.75,-53.43,44.84
140.95,69.22,-53.76,43.61
141.90,118.80,-93.49,73.29
142.86,118.81,-94.71,71.74
143.81,68.85,-55.57,40.65
144.76,117.30,-95.81,67.68
145.71,69.77,-57.65,39.30
146.67,70.74,-59.10,38.87
147.62,49.35,-41.68,26.43
148.57,49.79,-42.49,25.96
149.52,49.45,-42.62,25.08
150.48,49.62,-43.18,24.45
151.43,49.45,-43.43,23.65
152.38,49.30,-43.68,22.86
153.33,49.10,-43.87,22.03
154.29,50.47,-45.47,21.90
155.24,50.46,-45.82,21.13
156.19,52.34,-47.89,21.13
157.14,50.98,-46.98,19.80
158.10,50.98,-47.30,19.02
159.05,51.83,-48.41,18.54
160.00,50.47,-47.43,17.26
160.95,49.96,-47.23,16.31
161.90,49.45,-47.01,15.36
162.86,49.47,-47.27,14.58
163.81,49.13,-47.18,13.70
164.76,49.62,-47.88,13.04
165.71,43.79,-42.44,10.81
166.67,44.37,-43.17,10.23
167.62,44.57,-43.54,9.56
168.57,43.79,-42.92,8.68
169.52,45.19,-44.43,8.22
170.48,45.78,-45.15,7.57
171.43,49.79,-49.24,7.42
172.38,48.96,-48.53,6.49
