s,distanza
0.08,58.48
0.16,58.34
0.24,314.26
0.32,313.73
0.40,313.09
0.48,312.49
0.56,311.61
0.63,310.33
0.71,308.82
0.79,307.82
0.87,306.42
0.95,305.93
1.03,304.86
1.11,273.38
1.19,302.28
1.27,301.12
1.35,300.05
1.43,298.21
1.51,296.19
1.59,294.66
1.67,292.72
1.75,290.87
1.83,289.27
1.90,287.78
1.98,286.35
2.06,284.46
2.14,283.22
2.22,281.21
2.30,279.62
2.38,278.10
2.46,276.83
2.54,274.99
2.62,273.82
2.70,271.78
2.78,269.59
2.86,267.63
2.94,265.34
3.02,263.47
3.10,261.56
3.17,260.63
3.25,261.34
3.33,261.38
3.41,261.36
3.49,260.93
3.57,260.93
3.65,261.32
3.73,-1.00
3.81,258.42
3.89,256.46
3.97,255.12
4.05,253.10
4.13,251.96
4.21,249.97
4.29,247.84
4.37,245.72
4.44,-1.00
4.52,-1.00
4.60,-1.00
4.68,-1.00
4.76,-1.00
4.84,-1.00
4.92,-1.00
5.00,-1.00
5.08,-1.00
5.16,-1.00
5.24,-1.00
5.32,-1.00
5.40,-1.00
5.48,316.85
5.56,-1.00
5.63,-1.00
5.71,-1.00
5.79,-1.00
5.87,-1.00
5.95,-1.00
6.03,-1.00
6.11,-1.00
6.19,-1.00
6.27,-1.00
6.35,-1.00
6.43,-1.00
6.51,-1.00
6.59,-1.00
6.67,578.65
6.75,-1.00
6.83,-1.00
6.90,-1.00
6.98,-1.00
7.06,-1.00
7.14,-1.00
7.22,-1.00
7.30,-1.00
7.38,-1.00
7.46,-1.00
7.54,-1.00
7.62,-1.00
7.70,-1.00
7.78,-1.00
7.86,-1.00
7.94,-1.00
8.02,-1.00
8.10,-1.00
8.17,-1.00
8.25,-1.00
8.33,-1.00
8.41,55.96
8.49,-1.00
8.57,-1.00
8.65,-1.00
8.73,572.80
8.81,570.74
8.89,568.57
8.97,566.47
9.05,564.38
9.13,562.33
9.21,508.30
9.29,505.15
9.37,-1.00
9.44,500.75
9.52,162.96
9.60,-1.00
9.68,499.34
9.76,499.32
9.84,498.41
9.92,498.73
10.00,498.70
10.08,498.63
10.16,499.00
10.24,498.58
10.32,498.95
10.40,498.52
10.48,498.52
10.56,498.52
10.63,498.08
10.71,498.13
10.79,498.56
10.87,498.95
10.95,498.52
11.03,498.10
11.11,498.56
11.19,498.56
11.27,498.17
11.35,498.56
11.43,498.12
11.51,498.58
11.59,498.58
11.67,498.58
11.75,498.98
11.83,498.59
11.90,498.56
11.98,498.98
12.06,498.13
12.14,498.54
12.22,498.56
12.30,498.93
12.38,549.98
12.46,123.10
12.54,153.56
12.62,152.42
12.70,115.19
12.78,111.93
12.86,111.13
12.94,69.11
13.02,69.00
13.10,84.00
13.17,79.05
13.25,76.36
13.33,73.80
13.41,64.75
13.49,69.46
13.57,60.44
13.65,55.69
13.73,52.02
13.81,48.81
13.89,46.04
13.97,42.87
14.05,40.44
14.13,37.71
14.21,35.43
14.29,32.08
14.37,30.02
14.44,29.00
14.52,27.30
14.60,29.00
14.68,25.58
14.76,29.00
14.84,26.16
14.92,25.58
15.00,26.16
15.08,80.36
15.16,81.87
15.24,82.48
15.32,92.94
15.40,84.00
15.48,-1.00
15.56,-1.00
15.63,-1.00
15.71,42.47
15.79,41.36
15.87,42.47
15.95,452.54
16.03,43.26
16.11,43.66
16.19,451.59
16.27,450.45
16.35,452.13
16.43,451.13
16.51,451.61
16.59,-1.00
16.67,-1.00
16.75,192.03
16.83,407.58
16.90,86.31
16.98,82.76
17.06,84.68
17.14,101.81
17.22,81.24
17.30,77.52
17.38,75.92
17.46,73.90
17.54,72.56
17.62,70.52
17.70,69.55
17.78,69.56
17.86,68.92
17.94,68.37
18.02,86.12
18.10,86.04
18.17,86.84
18.25,124.41
18.33,124.68
18.41,124.61
18.49,90.92
18.57,123.90
18.65,123.90
18.73,123.71
18.81,123.71
18.89,123.71
18.97,122.64
19.05,122.37
19.13,121.67
19.21,121.12
19.29,120.68
19.37,120.16
19.44,119.36
19.52,121.14
19.60,119.44
19.68,119.08
19.76,118.22
19.84,118.01
19.92,117.67
20.00,117.93
20.08,117.52
20.16,118.22
20.24,118.57
20.32,119.46
20.40,120.16
20.48,120.34
20.56,120.70
20.63,121.07
20.71,121.77
20.79,122.03
20.87,122.28
20.95,122.11
21.03,122.45
21.11,123.17
21.19,122.64
21.27,123.25
21.35,123.45
21.43,123.79
21.51,123.79
21.59,123.86
21.67,123.79
21.75,123.69
21.83,123.64
21.90,123.33
21.98,122.64
22.06,122.38
22.14,122.04
22.22,122.03
22.30,120.80
22.38,120.41
22.46,120.16
22.54,119.99
22.62,120.00
22.70,119.99
22.78,120.00
22.86,119.80
22.94,119.99
23.02,120.63
23.10,120.44
23.17,120.97
23.25,121.48
23.33,121.24
23.41,121.23
23.49,121.16
23.57,121.14
23.65,121.11
23.73,120.51
23.81,120.80
23.89,121.75
23.97,122.28
24.05,122.89
24.13,123.44
24.21,123.88
24.29,123.90
24.37,124.59
24.44,124.86
24.52,125.39
24.60,125.48
24.68,126.00
24.76,126.55
24.84,22.42
24.92,21.20
25.00,16.13
