angolo,distanza,x,y
181.40,42.69,-42.67,-1.04
182.34,42.28,-42.24,-1.72
183.27,42.28,-42.21,-2.41
184.21,42.28,-42.17,-3.10
185.14,42.24,-42.07,-3.79
186.08,42.28,-42.04,-4.48
187.01,42.67,-42.35,-5.21
187.95,42.69,-42.28,-5.90
188.88,42.67,-42.16,-6.59
189.82,42.69,-42.06,-7.28
190.75,43.08,-42.32,-8.04
191.69,42.48,-41.60,-8.61
192.62,42.48,-41.46,-9.28
193.56,42.48,-41.30,-9.96
194.49,42.48,-41.13,-10.63
195.43,42.48,-40.95,-11.30
196.36,43.08,-41.33,-12.14
197.30,42.28,-40.37,-12.57
198.23,42.28,-40.16,-13.23
199.17,42.28,-39.93,-13.88
200.10,42.28,-39.70,-14.53
201.04,42.28,-39.46,-15.18
201.97,42.28,-39.21,-15.82
202.91,42.28,-38.94,-16.46
203.84,42.28,-38.67,-17.09
204.78,42.28,-38.39,-17.72
205.71,42.30,-38.11,-18.35
206.65,42.30,-37.80,-18.97
207.58,42.30,-37.49,-19.59
208.52,42.28,-37.15,-20.19
209.45,42.28,-36.81,-20.79
210.39,42.28,-36.47,-21.39
211.32,42.28,-36.12,-21.98
212.26,42.28,-35.75,-22.57
213.19,42.48,-35.55,-23.26
214.13,42.48,-35.17,-23.84
215.06,42.48,-34.77,-24.41
216.00,42.48,-34.37,-24.97
216.94,42.48,-33.96,-25.53
217.87,42.47,-33.52,-26.07
218.81,42.48,-33.11,-26.62
219.74,42.48,-32.67,-27.16
220.68,42.48,-32.22,-27.69
221.61,42.48,-31.76,-28.21
222.55,43.08,-31.74,-29.13
223.48,42.69,-30.97,-29.37
224.42,43.28,-30.92,-30.29
225.35,44.10,-30.99,-31.37
226.29,43.86,-30.31,-31.70
227.22,43.88,-29.80,-32.20
228.16,43.88,-29.27,-32.69
229.09,43.47,-28.47,-32.85
230.03,44.08,-28.32,-33.78
230.96,45.05,-28.37,-34.99
231.90,44.66,-27.56,-35.14
232.83,44.68,-26.99,-35.60
233.77,44.28,-26.18,-35.72
234.70,45.66,-26.39,-37.27
235.64,44.86,-25.32,-37.03
236.57,44.86,-24.71,-37.44
237.51,46.26,-24.85,-39.02
238.44,44.86,-23.48,-38.23
239.38,46.26,-23.56,-39.81
240.31,45.85,-22.71,-39.83
241.25,46.85,-22.54,-41.08
242.18,45.66,-21.31,-40.38
243.12,46.10,-20.85,-41.12
244.05,49.33,-21.59,-44.36
244.99,49.01,-20.72,-44.41
245.92,64.36,-26.26,-58.76
246.86,63.53,-24.97,-58.42
247.79,63.10,-23.85,-58.42
248.73,49.50,-17.96,-46.13
249.66,56.13,-19.51,-52.63
250.60,71.37,-23.71,-67.31
251.53,56.01,-17.74,-53.13
252.47,55.73,-16.79,-53.14
253.40,55.59,-15.88,-53.27
254.34,58.51,-15.80,-56.34
255.27,55.59,-14.13,-53.76
256.21,55.86,-13.32,-54.25
257.14,54.06,-12.03,-52.70
258.08,53.55,-11.06,-52.39
259.01,53.57,-10.21,-52.59
259.95,53.06,-9.26,-52.24
260.88,53.38,-8.46,-52.71
261.82,53.38,-7.60,-52.84
262.75,52.87,-6.67,-52.45
263.69,52.90,-5.82,-52.58
264.62,52.89,-4.96,-52.65
265.56,53.21,-4.12,-53.05
266.49,52.38,-3.20,-52.28
267.43,52.38,-2.35,-52.32
268.36,52.38,-1.50,-52.36
269.30,52.38,-0.64,-52.37
270.23,52.72,0.22,-52.72
271.17,52.21,1.06,-52.20
272.10,52.19,1.92,-52.15
273.04,52.21,2.77,-52.13
273.97,52.21,3.62,-52.08
274.91,52.19,4.47,-52.00
275.84,52.04,5.30,-51.77
276.78,52.02,6.14,-51.66
277.71,52.04,6.99,-51.57
278.65,51.58,7.76,-50.99
279.58,51.71,8.61,-50.99
280.52,52.53,9.59,-51.65
281.45,51.70,10.27,-50.67
282.39,51.70,11.09,-50.49
283.32,52.04,11.99,-50.64
284.26,51.31,12.64,-49.73
285.19,51.87,13.59,-50.05
286.13,51.36,14.27,-49.34
287.06,51.53,15.12,-49.26
288.00,51.53,15.92,-49.01
288.94,51.53,16.72,-48.74
289.87,51.53,17.51,-48.46
290.81,51.54,18.31,-48.18
291.74,52.04,19.27,-48.34
292.68,52.04,20.06,-48.01
293.61,52.04,20.84,-47.68
294.55,52.04,21.62,-47.33
295.48,51.83,22.30,-46.79
296.42,52.04,23.15,-46.60
297.35,52.04,23.91,-46.22
298.29,52.55,24.90,-46.27
299.22,52.55,25.65,-45.86
300.16,52.55,26.40,-45.44
301.09,52.55,27.14,-45.00
302.03,52.22,27.69,-44.28
302.96,52.21,28.40,-43.80
303.90,52.38,29.21,-43.48
304.83,52.38,29.92,-42.99
305.77,52.38,30.61,-42.50
306.70,52.38,31.30,-41.99
307.64,52.89,32.30,-41.88
308.57,53.04,33.07,-41.47
309.51,52.70,33.53,-40.66
310.44,53.23,34.53,-40.51
311.38,53.23,35.18,-39.94
312.31,53.74,36.17,-39.74
313.25,53.40,36.58,-38.89
314.18,53.38,37.20,-38.28
315.12,53.40,37.83,-37.68
316.05,53.40,38.44,-37.06
316.99,53.57,39.17,-36.54
317.92,53.55,39.75,-35.89
318.86,54.06,40.71,-35.57
319.79,54.91,41.94,-35.45
320.73,54.59,42.26,-34.55
321.66,55.08,43.20,-34.17
