angolo,distanza,x,y
0.95,415.26,415.20,6.87
1.89,162.76,162.67,5.38
2.84,161.96,161.76,8.03
3.79,142.92,142.61,9.45
4.74,142.48,141.99,11.77
5.68,161.94,161.15,16.04
6.63,161.50,160.42,18.65
7.58,161.96,160.54,21.36
8.53,161.96,160.17,24.01
9.47,162.40,160.19,26.73
10.42,-1.00,-0.98,-0.18
11.37,416.42,408.24,82.08
12.32,141.51,138.25,30.18
13.26,141.05,137.29,32.36
14.21,140.62,136.32,34.52
15.16,140.61,135.72,36.77
16.11,140.61,135.09,39.00
17.05,140.98,134.78,41.34
18.00,141.41,134.49,43.70
18.95,124.42,117.68,40.40
19.89,124.34,116.92,42.31
20.84,123.45,115.38,43.92
21.79,123.03,114.24,45.67
22.74,122.93,113.37,47.51
23.68,122.38,112.08,49.16
24.63,122.76,111.59,51.16
25.58,122.74,110.71,52.99
26.53,122.30,109.42,54.62
27.47,122.32,108.52,56.43
28.42,122.67,107.89,58.39
29.37,122.04,106.36,59.85
30.32,120.51,104.03,60.83
31.26,119.20,101.89,61.86
32.21,118.66,100.40,63.25
33.16,117.54,98.40,64.29
34.11,117.76,97.51,66.03
35.05,117.76,96.40,67.63
36.00,117.76,95.27,69.22
36.95,117.67,94.04,70.73
37.89,117.23,92.51,72.01
38.84,117.13,91.23,73.46
39.79,117.15,90.02,74.97
40.74,117.15,88.76,76.45
41.68,117.13,87.48,77.89
42.63,116.69,85.85,79.03
43.58,117.04,84.79,80.69
44.53,116.08,82.75,81.40
45.47,116.45,81.66,83.02
46.42,115.53,79.64,83.69
47.37,116.43,78.86,85.66
48.32,115.99,77.14,86.62
49.26,36.92,24.10,27.98
50.21,36.91,23.62,28.36
51.16,35.99,22.57,28.03
52.11,35.55,21.83,28.05
53.05,35.53,21.36,28.40
54.00,35.55,20.89,28.76
54.95,35.55,20.42,29.10
55.89,35.53,19.92,29.42
56.84,35.55,19.44,29.76
57.79,35.53,18.94,30.06
58.74,37.15,19.28,31.75
59.68,37.13,18.74,32.05
60.63,35.53,17.42,30.96
61.58,37.59,17.89,33.06
62.53,104.45,48.19,92.67
63.47,104.41,46.63,93.42
64.42,104.18,44.98,93.97
65.37,104.35,43.49,94.85
66.32,104.45,41.96,95.65
67.26,104.06,40.22,95.97
68.21,104.46,38.78,97.00
69.16,35.77,12.73,33.43
70.11,36.23,12.33,34.06
71.05,36.69,11.91,34.70
72.00,35.53,10.98,33.79
72.95,35.53,10.42,33.97
73.89,36.01,9.99,34.59
74.84,36.47,9.53,35.20
75.79,36.91,9.06,35.78
76.74,33.37,7.66,32.48
77.68,35.28,7.52,34.46
78.63,35.77,7.05,35.07
79.58,35.77,6.47,35.18
80.53,35.77,5.89,35.28
81.47,35.75,5.30,35.36
82.42,35.77,4.72,35.46
83.37,35.77,4.13,35.53
84.32,35.53,3.52,35.36
85.26,35.85,2.96,35.73
86.21,35.02,2.31,34.94
87.16,35.53,1.76,35.49
88.11,36.91,1.22,36.89
89.05,36.23,0.60,36.22
90.00,36.91,-0.00,36.91
90.95,36.23,-0.60,36.22
91.89,44.59,-1.47,44.57
92.84,44.59,-2.21,44.54
93.79,44.18,-2.92,44.09
94.74,43.79,-3.62,43.64
95.68,44.18,-4.38,43.97
96.63,44.57,-5.15,44.28
97.58,44.57,-5.88,44.18
98.53,45.58,-6.76,45.07
99.47,45.58,-7.50,44.96
100.42,44.18,-7.99,43.45
101.37,45.58,-8.98,44.68
102.32,45.17,-9.63,44.13
103.26,44.78,-10.27,43.58
104.21,44.78,-10.99,43.41
105.16,45.78,-11.97,44.19
106.11,44.98,-12.48,43.22
107.05,29.87,-8.76,28.56
108.00,29.34,-9.07,27.91
108.95,48.37,-15.70,45.74
109.89,47.16,-16.05,44.34
110.84,27.68,-9.85,25.87
111.79,29.36,-10.90,27.26
112.74,27.10,-10.47,24.99
113.68,29.60,-11.89,27.10
114.63,26.52,-11.05,24.11
115.58,29.09,-12.56,26.24
116.53,29.09,-12.99,26.02
117.47,28.54,-13.17,25.32
118.42,26.81,-12.76,23.58
119.37,25.94,-12.72,22.61
120.32,25.96,-13.10,22.41
121.26,29.34,-15.23,25.08
122.21,26.23,-13.98,22.19
123.16,25.36,-13.87,21.23
124.11,23.73,-13.31,19.65
125.05,26.23,-15.07,21.47
126.00,27.11,-15.94,21.94
126.95,25.67,-15.43,20.52
127.89,25.67,-15.77,20.26
128.84,25.67,-16.10,19.99
129.79,25.67,-16.43,19.72
130.74,25.65,-16.74,19.44
131.68,25.67,-17.07,19.17
132.63,25.67,-17.39,18.89
133.58,26.52,-18.28,19.21
134.53,28.56,-20.03,20.36
135.47,28.54,-20.35,20.02
136.42,26.54,-19.22,18.29
137.37,26.52,-19.51,17.96
138.32,26.52,-19.81,17.64
139.26,24.97,-18.92,16.30
140.21,25.09,-19.28,16.06
141.16,26.54,-20.67,16.64
142.11,26.52,-20.93,16.29
143.05,26.54,-21.21,15.95
144.00,26.81,-21.69,15.76
144.95,25.09,-20.54,14.41
145.89,25.09,-20.78,14.07
146.84,25.09,-21.01,13.72
147.79,25.08,-21.22,13.37
148.74,25.26,-21.59,13.11
149.68,26.52,-22.89,13.39
150.63,25.09,-21.87,12.31
151.58,25.09,-22.07,11.94
152.53,25.09,-22.26,11.58
153.47,25.08,-22.44,11.20
154.42,25.09,-22.63,10.83
155.37,25.08,-22.79,10.45
156.32,26.54,-24.30,10.66
157.26,25.67,-23.68,9.92
158.21,25.65,-23.82,9.52
159.16,25.67,-23.99,9.13
160.11,24.80,-23.32,8.44
161.05,24.80,-23.46,8.05
162.00,25.67,-24.41,7.93
162.95,26.23,-25.08,7.69
163.89,26.25,-25.22,7.28
164.84,25.38,-24.50,6.64
165.79,26.16,-25.36,6.42
166.74,25.96,-25.27,5.96
167.68,27.68,-27.04,5.90
168.63,26.52,-26.00,5.23
169.58,25.65,-25.23,4.64
170.53,26.52,-26.16,4.37
171.47,26.23,-25.94,3.89
172.42,26.81,-26.57,3.54
173.37,26.81,-26.63,3.10
174.32,29.09,-28.94,2.88
175.26,27.39,-27.29,2.26
176.21,27.39,-27.33,1.81
177.16,28.83,-28.80,1.43
178.11,27.97,-27.95,0.92
179.05,29.34,-29.34,0.49
180.00,29.85,-29.85,-0.00
180.95,29.07,-29.07,-0.48
181.89,29.09,-29.07,-0.96
182.84,29.60,-29.56,-1.47
183.79,29.60,-29.53,-1.96
184.74,29.61,-29.51,-2.45
185.68,31.67,-31.52,-3.14
186.63,34.24,-34.01,-3.95
187.58,31.67,-31.39,-4.18
188.53,30.91,-30.56,-4.58
189.47,32.71,-32.26,-5.38
190.42,34.00,-33.44,-6.15
191.37,30.38,-29.78,-5.99
192.32,30.38,-29.68,-6.48
193.26,30.40,-29.59,-6.97
194.21,30.38,-29.45,-7.46
195.16,30.38,-29.32,-7.94
196.11,33.98,-32.65,-9.43
197.05,31.93,-30.52,-9.36
198.00,40.34,-38.37,-12.47
198.95,31.16,-29.47,-10.12
199.89,29.87,-28.09,-10.16
200.84,30.12,-28.15,-10.72
201.79,29.55,-27.44,-10.97
202.74,29.09,-26.83,-11.24
203.68,29.36,-26.89,-11.79
204.63,28.83,-26.21,-12.02
205.58,28.83,-26.01,-12.45
206.53,28.27,-25.29,-12.63
207.47,29.09,-25.81,-13.42
208.42,28.54,-25.10,-13.58
209.37,28.83,-25.13,-14.14
210.32,27.97,-24.14,-14.12
211.26,28.83,-24.65,-14.96
212.21,28.25,-23.91,-15.06
213.16,27.40,-22.94,-14.99
214.11,27.40,-22.69,-15.37
215.05,28.27,-23.14,-16.24
216.00,27.68,-22.39,-16.27
216.95,27.69,-22.13,-16.65
217.89,27.11,-21.40,-16.65
218.84,27.11,-21.12,-17.01
219.79,27.10,-20.82,-17.34
220.74,27.97,-21.19,-18.25
221.68,27.39,-20.45,-18.21
222.63,26.54,-19.52,-17.97
223.58,26.54,-19.22,-18.29
224.53,26.54,-18.92,-18.61
225.47,27.39,-19.20,-19.52
226.42,27.39,-18.88,-19.84
227.37,27.40,-18.56,-20.16
228.32,27.39,-18.21,-20.45
229.26,27.39,-17.87,-20.75
230.21,27.39,-17.53,-21.04
231.16,27.39,-17.18,-21.33
232.11,27.39,-16.82,-21.61
233.05,27.39,-16.46,-21.89
234.00,26.52,-15.59,-21.46
234.95,26.52,-15.23,-21.71
235.89,26.54,-14.88,-21.97
236.84,26.54,-14.51,-22.22
237.79,26.52,-14.14,-22.44
238.74,26.54,-13.77,-22.68
239.68,27.39,-13.82,-23.64
240.63,27.98,-13.72,-24.39
241.58,27.11,-12.91,-23.85
242.53,27.11,-12.51,-24.06
243.47,27.10,-12.10,-24.25
244.42,27.10,-11.70,-24.44
245.37,27.68,-11.53,-25.16
246.32,26.81,-10.77,-24.55
247.26,26.81,-10.36,-24.73
248.21,26.81,-9.95,-24.89
249.16,26.81,-9.54,-25.05
250.11,28.25,-9.61,-26.57
251.05,27.39,-8.89,-25.90
252.00,27.97,-8.64,-26.60
252.95,27.97,-8.20,-26.74
253.89,27.68,-7.68,-26.59
254.84,28.54,-7.46,-27.55
255.79,28.25,-6.94,-27.39
256.74,28.83,-6.61,-28.06
257.68,28.83,-6.15,-28.17
258.63,28.54,-5.63,-27.98
259.58,29.09,-5.26,-28.61
260.53,29.09,-4.79,-28.69
261.47,29.61,-4.39,-29.29
262.42,29.60,-3.90,-29.34
263.37,29.61,-3.42,-29.42
264.32,29.60,-2.93,-29.45
265.26,28.83,-2.38,-28.73
266.21,29.36,-1.94,-29.29
267.16,29.85,-1.48,-29.82
268.11,29.87,-0.99,-29.85
269.05,29.87,-0.49,-29.86
270.00,30.38,0.00,-30.38
270.95,30.38,0.50,-30.37
271.89,30.91,1.02,-30.89
272.84,31.40,1.56,-31.36
273.79,31.94,2.11,-31.87
274.74,41.48,3.43,-41.34
275.68,41.94,4.15,-41.73
276.63,42.79,4.94,-42.50
277.58,42.40,5.59,-42.03
