angolo,distanza,x,y
0.95,64.09,64.08,1.07
1.90,90.93,90.88,3.02
2.86,90.92,90.80,4.53
3.81,90.54,90.34,6.02
4.76,64.09,63.87,5.32
5.71,64.11,63.79,6.38
6.67,64.11,63.67,7.44
7.62,90.92,90.11,12.05
8.57,90.47,89.46,13.48
9.52,90.92,89.66,15.04
10.48,90.90,89.38,16.53
11.43,90.92,89.11,18.01
12.38,90.92,88.80,19.49
13.33,90.92,88.47,20.97
14.29,90.90,88.09,22.43
15.24,90.92,87.72,23.90
16.19,90.92,87.31,25.35
17.14,90.83,86.80,26.77
18.10,90.47,86.00,28.10
19.05,90.46,85.50,29.52
20.00,90.46,85.00,30.94
20.95,90.46,84.48,32.35
21.90,90.46,83.93,33.75
22.86,90.47,83.37,35.14
23.81,90.10,82.43,36.37
24.76,90.12,81.83,37.75
25.71,90.10,81.18,39.09
26.67,90.12,80.53,40.44
27.62,90.22,79.94,41.82
28.57,90.18,79.20,43.13
29.52,90.20,78.49,44.45
30.48,90.18,77.73,45.74
31.43,90.22,76.98,47.04
32.38,90.29,76.25,48.35
33.33,89.71,74.95,49.30
34.29,90.75,74.98,51.12
35.24,90.73,74.10,52.35
36.19,90.81,73.29,53.62
37.14,90.81,72.39,54.83
38.10,90.83,71.48,56.04
39.05,90.92,70.61,57.27
40.00,90.90,69.63,58.43
40.95,90.25,68.16,59.15
41.90,91.02,67.74,60.79
42.86,91.48,67.06,62.22
43.81,91.54,66.06,63.37
44.76,91.54,65.00,64.46
45.71,91.61,63.97,65.58
46.67,91.63,62.88,66.65
47.62,91.70,61.81,67.74
48.57,92.24,61.04,69.16
49.52,92.79,60.23,70.58
50.48,92.87,59.10,71.64
51.43,92.51,57.68,72.33
52.38,92.96,56.74,73.63
53.33,92.94,55.50,74.55
54.29,93.04,54.31,75.54
55.24,93.06,53.06,76.45
56.19,93.04,51.77,77.31
57.14,93.13,50.53,78.23
58.10,93.58,49.46,79.45
59.05,94.11,48.40,80.71
60.00,94.20,47.10,81.58
60.95,94.76,46.01,82.84
61.90,94.28,44.40,83.17
62.86,94.83,43.26,84.38
