s,distanza
0.08,214.34
0.15,243.63
0.23,243.34
0.30,243.29
0.38,242.79
0.46,242.44
0.53,241.55
0.61,241.09
0.68,241.11
0.76,241.09
0.84,241.15
0.91,240.70
0.99,239.85
1.06,239.21
1.14,238.61
1.22,238.09
1.29,237.44
1.37,236.67
1.44,235.94
1.52,234.68
1.60,234.26
1.67,233.34
1.75,232.48
1.82,231.71
1.90,230.93
1.98,229.93
2.05,228.11
2.13,226.49
2.20,224.81
2.28,223.63
2.36,222.70
2.43,221.17
2.51,219.84
2.58,218.67
2.66,217.24
2.74,216.65
2.81,216.63
2.89,216.36
2.96,215.13
3.04,214.00
3.12,213.37
3.19,212.76
3.27,211.43
3.34,211.04
3.42,210.97
3.50,209.34
3.57,208.98
3.65,208.05
3.72,206.60
3.80,206.63
3.88,598.72
3.95,204.31
4.03,202.98
4.10,489.41
4.18,487.34
4.26,593.16
4.33,485.89
4.41,591.24
4.48,482.17
4.56,536.78
4.64,477.61
4.71,476.14
4.79,581.30
4.86,473.99
4.94,578.58
5.02,469.42
5.09,467.42
5.17,56.00
5.24,464.27
5.32,463.88
5.40,461.89
5.47,460.48
5.55,459.99
5.62,457.76
5.70,456.91
5.78,455.11
5.85,452.91
5.93,451.83
6.00,449.63
6.08,448.00
6.16,446.56
6.23,445.79
6.31,443.79
6.38,443.05
6.46,442.05
6.53,440.50
6.61,439.47
6.69,438.14
6.76,436.83
6.84,435.30
6.91,433.33
6.99,432.00
7.07,430.15
7.14,429.06
7.22,426.48
7.29,425.61
7.37,423.55
7.45,421.60
7.52,420.07
7.60,418.30
7.67,416.53
7.75,414.90
7.83,413.98
7.90,212.43
7.98,213.16
8.05,411.45
8.13,410.48
8.21,209.42
8.28,208.68
8.36,207.59
8.43,206.04
8.51,204.65
8.59,202.84
8.66,201.50
8.74,199.75
8.81,198.87
8.89,197.37
8.97,196.28
9.04,195.31
9.12,194.12
9.19,192.64
9.27,192.52
9.35,190.84
9.42,190.71
9.50,189.79
9.57,188.84
9.65,188.19
9.73,187.80
9.80,185.86
9.88,184.71
9.95,183.38
10.03,182.07
10.11,376.79
10.18,374.39
10.26,371.98
10.33,369.33
10.41,366.55
10.49,364.14
10.56,361.83
10.64,359.70
10.71,357.41
10.79,355.44
10.87,353.43
10.94,351.19
11.02,348.69
11.09,154.41
11.17,151.84
11.25,149.72
11.32,147.92
11.40,146.13
11.47,333.64
11.55,331.43
11.63,329.65
11.70,327.15
11.78,325.11
11.85,323.53
11.93,322.20
12.01,320.79
12.08,319.11
12.16,317.24
12.23,315.20
12.31,313.17
12.39,311.08
12.46,309.01
12.54,307.09
12.61,305.25
12.69,303.55
12.77,301.43
12.84,300.07
12.92,298.42
12.99,296.17
13.07,294.66
13.15,292.88
13.22,291.01
13.30,288.88
13.37,287.47
13.45,285.87
13.53,283.56
13.60,282.00
13.68,279.99
13.75,277.97
13.83,275.81
13.91,274.48
13.98,272.82
14.06,270.49
14.13,268.60
14.21,266.90
14.29,265.30
14.36,263.65
14.44,261.89
14.51,260.63
14.59,258.40
14.67,256.63
14.74,255.02
14.82,253.96
14.89,251.99
14.97,250.60
15.05,249.08
15.12,247.47
15.20,245.62
15.27,243.56
15.35,241.38
15.43,239.29
15.50,237.25
15.58,234.96
15.65,88.49
15.73,231.23
15.81,230.06
15.88,228.43
15.96,226.70
16.03,224.98
16.11,222.85
16.19,221.14
16.26,219.27
16.34,217.12
16.41,215.30
16.49,213.52
16.57,212.04
16.64,209.90
16.72,208.28
16.79,206.57
16.87,205.16
16.95,203.57
17.02,201.98
17.10,200.65
17.17,198.37
17.25,196.38
17.33,194.31
17.40,192.27
17.48,190.50
17.55,188.33
17.63,186.68
17.71,184.67
17.78,182.70
17.86,181.00
17.93,179.23
18.01,177.43
18.09,175.49
18.16,173.18
18.24,153.82
18.31,150.96
18.39,150.16
18.47,164.56
18.54,162.96
18.62,161.38
18.69,159.77
18.77,158.27
18.84,156.38
18.92,154.45
19.00,152.57
19.07,150.28
19.15,147.92
19.22,145.60
19.30,143.87
19.38,141.18
19.45,139.16
19.53,137.10
19.60,135.17
19.68,133.20
19.76,130.97
19.83,129.27
19.91,127.43
19.98,125.48
20.06,123.69
20.14,121.72
20.21,119.60
20.29,117.57
20.36,115.77
20.44,114.44
20.52,112.93
20.59,111.26
20.67,109.74
20.74,108.04
20.82,106.33
20.90,105.11
20.97,104.12
21.05,102.71
21.12,101.56
21.20,100.30
21.28,98.79
21.35,97.31
21.43,95.86
21.50,94.11
21.58,92.24
21.66,90.80
21.73,89.20
21.81,87.52
21.88,85.54
21.96,83.61
22.04,81.65
22.11,79.88
22.19,78.10
22.26,76.13
22.34,74.38
22.42,72.68
22.49,70.36
22.57,68.54
22.64,67.15
22.72,65.35
22.80,63.67
22.87,61.44
22.95,59.77
23.02,58.92
23.10,57.10
23.18,56.05
23.25,55.71
23.33,54.20
23.40,52.84
23.48,51.49
23.56,49.96
23.63,49.28
23.71,47.16
23.78,45.76
23.86,43.96
23.94,42.36
24.01,41.02
24.09,38.96
24.16,37.59
24.24,35.02
24.32,33.71
24.39,31.93
24.47,30.38
24.54,28.53
24.62,27.97
24.70,25.96
24.77,24.21
24.85,23.05
24.92,21.27
25.00,18.72
