s,distanza
0.07,61.39
0.15,172.16
0.22,60.55
0.30,171.19
0.37,170.48
0.45,59.72
0.52,169.05
0.59,167.20
0.67,55.96
0.74,164.70
0.82,163.47
0.89,161.60
0.96,160.46
1.04,158.15
1.11,157.49
1.19,156.55
1.26,154.85
1.34,152.03
1.41,150.02
1.48,294.83
1.56,292.81
1.63,147.87
1.71,145.93
1.78,287.45
1.85,285.75
1.93,284.24
2.00,282.73
2.08,281.06
2.15,135.29
2.23,133.08
2.30,130.70
2.37,128.37
2.45,126.14
2.52,124.75
2.60,268.55
2.67,266.56
2.74,264.30
2.82,263.84
2.89,263.92
2.97,263.52
3.04,263.94
3.12,263.96
3.19,263.58
3.26,263.31
3.34,262.89
3.41,262.19
3.49,261.63
3.56,260.49
3.64,258.81
3.71,257.67
3.78,255.88
3.86,254.44
3.93,72.00
4.01,251.07
4.08,248.88
4.15,247.01
4.23,245.26
4.30,243.29
4.38,241.35
4.45,239.14
4.53,238.51
4.60,236.66
4.67,235.42
4.75,234.07
4.82,232.76
4.90,231.42
4.97,230.18
5.04,229.13
5.12,227.19
5.19,225.74
5.27,224.52
5.34,222.73
5.42,220.29
5.49,218.74
5.56,216.97
5.64,215.56
5.71,213.26
5.79,211.58
5.86,210.02
5.93,208.68
6.01,207.79
6.08,206.12
6.16,205.12
6.23,203.98
6.31,201.94
6.38,200.24
6.45,199.12
6.53,197.25
6.60,196.95
6.68,195.57
6.75,279.14
6.82,193.78
6.90,537.71
6.97,534.79
7.05,534.29
7.12,531.95
7.20,-1.00
7.27,55.83
7.34,-1.00
7.42,522.29
7.49,-1.00
7.57,-1.00
7.64,-1.00
7.72,510.58
7.79,507.67
7.86,505.07
7.94,501.96
8.01,500.28
8.09,497.32
8.16,496.08
8.23,494.14
8.31,492.63
8.38,490.13
8.46,487.88
8.53,486.22
8.61,483.84
8.68,481.44
8.75,478.89
8.83,477.11
8.90,475.10
8.98,473.77
9.05,472.28
9.12,473.55
9.20,472.67
9.27,470.85
9.35,56.80
9.42,467.69
9.50,55.96
9.57,464.34
9.64,462.26
9.72,459.42
9.79,198.92
9.87,196.79
9.94,194.38
10.01,191.56
10.09,189.62
10.16,188.39
10.24,186.86
10.31,185.10
10.39,183.60
10.46,182.17
10.53,181.29
10.61,179.77
10.68,178.99
10.76,177.85
10.83,433.28
10.91,431.58
10.98,429.69
11.05,428.01
11.13,425.73
11.20,422.82
11.28,421.52
11.35,420.09
11.42,418.78
11.50,415.43
11.57,414.39
11.65,413.30
11.72,411.55
11.80,330.31
11.87,328.22
11.94,151.16
12.02,148.49
12.09,146.79
12.17,144.98
12.24,143.19
12.31,141.05
12.39,139.74
12.46,138.65
12.54,138.04
12.61,298.96
12.69,295.97
12.76,293.93
12.83,381.60
12.91,379.18
12.98,376.80
13.06,285.23
13.13,281.76
13.20,278.05
13.28,275.01
13.35,355.33
13.43,274.48
13.50,64.60
13.58,266.44
13.65,265.17
13.72,263.14
13.80,261.90
13.87,259.78
13.95,257.50
14.02,254.54
14.09,251.80
14.17,248.88
14.24,245.94
14.32,243.05
14.39,333.80
14.47,238.17
14.54,235.60
14.61,234.02
14.69,232.59
14.76,230.55
14.84,227.80
14.91,224.72
14.99,221.95
15.06,218.65
15.13,216.49
15.21,213.33
15.28,211.58
15.36,209.20
15.43,207.43
15.50,205.24
15.58,204.05
15.65,202.73
15.73,200.70
15.80,198.99
15.88,197.20
15.95,194.94
16.02,192.90
16.10,190.77
16.17,188.82
16.25,187.05
16.32,185.37
16.39,183.51
16.47,66.27
16.54,179.88
16.62,62.10
16.69,61.27
16.77,59.57
16.84,56.93
16.91,171.00
16.99,168.95
17.06,167.18
17.14,164.71
17.21,162.95
17.28,161.35
17.36,159.49
17.43,156.93
17.51,154.79
17.58,152.57
17.66,150.64
17.73,149.28
17.80,147.53
17.88,59.31
17.95,56.66
18.03,55.96
18.10,140.34
18.18,138.58
18.25,136.60
18.32,134.57
18.40,132.45
18.47,129.79
18.55,127.19
18.62,124.93
18.69,122.72
18.77,120.56
18.84,118.54
18.92,116.60
18.99,114.73
19.07,112.98
19.14,111.28
19.21,109.68
19.29,108.26
19.36,106.74
19.44,104.96
19.51,103.02
19.58,100.64
19.66,98.70
19.73,97.19
19.81,94.81
19.88,92.85
19.96,65.03
20.03,88.69
20.10,86.63
20.18,84.63
20.25,83.01
20.33,55.98
20.40,55.85
20.47,77.43
20.55,75.39
20.62,73.36
20.70,71.76
20.77,69.19
20.85,67.39
20.92,65.03
20.99,63.09
21.07,61.13
21.14,58.89
21.22,56.80
21.29,55.69
21.36,53.86
21.44,52.00
21.51,50.49
21.59,48.03
21.66,45.83
21.74,44.64
21.81,42.26
21.88,39.76
21.96,37.71
22.03,35.43
22.11,34.15
22.18,31.06
22.26,30.53
22.33,5.49
22.40,30.53
22.48,29.77
22.55,5.49
22.63,28.17
22.70,27.59
22.77,25.58
22.85,5.81
22.92,23.29
23.00,21.83
23.07,19.62
23.15,17.39
23.22,16.13
23.29,14.48
23.37,13.46
23.44,12.12
23.52,10.44
23.59,9.74
23.66,8.72
23.74,7.41
23.81,7.43
23.89,6.14
23.96,4.52
24.04,5.49
24.11,3.91
24.18,3.57
24.26,4.22
24.33,3.57
24.41,3.89
24.48,3.25
24.55,3.25
24.63,3.26
24.70,3.25
24.78,3.25
24.85,3.25
24.93,3.25
25.00,3.26
